answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,2.9905926000064937,1044,4,0
A,C,True,2.413077599994722,957,4,0
D,C,True,2.2121469999983674,1062,4,0
C,C,True,2.499172700001509,984,4,0
B,D,True,3.170128699988709,1176,4,0
B,D,True,3.2535275000118418,1081,4,0
A,B,True,2.735063000000082,951,4,0
B,D,True,3.491527499994845,910,4,0
C,C,True,2.5104627999971854,1130,4,0
D,D,True,2.7168373000022257,1045,4,0
D,B,True,3.2289039000024786,1146,4,0
A,D,True,2.3333154000138165,1344,4,0
C,B,True,2.752019299994572,1070,4,0
D,D,True,2.3824526999960653,1201,4,0
C,B,True,3.403086999998777,1323,4,0
A,A,True,2.2200451999960933,1099,4,0
B,B,True,2.9302895000000717,1227,4,0
D,C,True,2.257398000001558,1318,4,0
C,C,True,2.1824137999938102,970,4,0
