answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,4.156238399998983,1634,1,696
A,A,True,3.606219499997678,1489,1,628
D,C,True,4.262831100000767,1696,1,734
C,A,True,4.928870100004133,1676,1,783
B,B,True,5.543052099994384,2063,1,999
B,B,True,5.166220899991458,1851,1,869
A,C,True,5.325988299999153,1703,1,832
B,D,True,4.131526900004246,1455,1,631
C,C,True,5.23193419999734,1880,1,873
D,D,True,4.528658900002483,1676,1,732
D,B,True,4.792217899987008,1835,1,797
A,B,True,6.7714906000037445,2362,1,1155
C,C,True,4.720597299994552,1806,1,830
D,D,True,4.6083409999992,1889,1,800
C,B,True,6.3817385000002105,2303,1,1113
A,A,True,9.63624290000007,2693,1,1697
B,B,True,6.659045699998387,2159,1,1043
D,D,True,7.078668200003449,2415,1,1232
C,C,True,4.735196499997983,1609,1,722
