answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,8.36021850000543,1811,1,873
A,A,True,9.301429499988444,1781,1,920
D,D,True,11.682098300007056,2089,1,1127
C,C,True,14.903669499995885,2512,1,1619
B,B,True,11.06098860000202,1892,1,828
B,A,True,9.714894400007324,1932,1,950
A,B,True,13.393781500009936,2196,1,1325
B,A,True,91.37855259999924,4880,1,4056
C,C,True,10.647211600007722,1929,1,922
D,D,True,12.607971000004909,2132,1,1188
D,B,True,9.01189730000624,1874,1,836
A,A,True,11.385037000000011,2341,1,1134
C,C,True,11.367636900002253,2158,1,1182
D,D,True,8.940583200004767,2033,1,944
C,B,True,10.63030049999361,2253,1,1063
A,A,True,15.34254470000451,2436,1,1440
B,B,True,11.587059900004533,2318,1,1202
D,D,True,10.68961539999873,2323,1,1140
C,B,True,11.202049900006386,2019,1,1132
