answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,"
A",True,5.861968999990495,948,3,0
A,"
B",True,1.0614100000093458,871,3,0
D,"
C",True,0.6045966000092449,972,3,0
C,"
A",True,2.1269122999947285,903,3,0
B,"
C",True,0.5428737999900477,1074,3,0
B,"
B",True,1.3983922000043094,992,3,0
A,"
C",True,1.4080197000002954,881,3,0
B,"
A",True,1.9665478999959305,834,3,0
C,"
B",True,1.901843599989661,1017,3,0
D,"
D",True,0.6427858000097331,954,3,0
D,"
B",True,1.1692547999991802,1048,3,0
A,"
A",True,1.572031000003335,1217,3,0
C,"
C",True,1.3583554999931948,986,3,0
D,"
D",True,1.9763985000026878,1099,3,0
C,"
C",True,1.1644570999924326,1200,3,0
A,"
A",True,0.5852855999983149,1006,3,0
B,"
B",True,1.1339027999929385,1126,3,0
D,"
C",True,0.5725185999908717,1193,3,0
C,"
A",True,1.541721100002178,897,3,0
