answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,7.215711500000907,1205,394,384
A,A,True,23.274766700007604,2035,1294,1280
D,C,True,18.035711600008653,1927,1098,1088
C,B,True,51.989094600008684,3147,2378,2368
B,B,True,71.858150199987,1575,650,640
B,B,True,19.435940900002606,1617,778,768
A,A,True,22.771308299998054,1827,1098,1088
B,A,True,9.943630900001153,1166,458,448
C,C,True,21.67136290000053,1639,778,768
D,D,True,10.129940400001942,1391,586,576
D,B,True,26.13689369999338,1743,842,832
A,D,True,37.18090990000928,2523,1482,1472
C,C,True,23.30504710000241,1430,586,576
D,D,True,7.613904099998763,1203,266,256
C,C,True,14.60321310001018,1886,842,832
A,A,True,26.601218200012227,2079,1226,1216
B,B,True,13.54986229998758,1356,394,384
D,D,True,13.207626299990807,1804,778,768
C,C,True,13.636584799998673,1344,586,576
