answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,4.29036049998831,961,150,140
A,A,True,6.727953499997966,987,246,236
D,C,True,5.788068299996667,1040,211,201
C,B,True,2.709566499979701,859,90,80
B,A,True,6.669654499972239,1157,232,222
B,B,True,5.3304852999863215,1022,183,173
A,A,True,7.830858499975875,1070,341,331
B,D,True,3.2728308999794535,862,154,144
C,C,True,3.3424667000072077,949,88,78
D,D,True,3.566854400036391,903,98,88
D,B,True,2.2977503000292927,965,64,54
A,A,True,5.618215099966619,1179,138,128
C,C,True,3.0475785000016913,949,105,95
D,D,True,1.2379120999830775,962,25,15
C,B,True,1.4381796999950893,1086,42,32
A,A,True,4.3185882000252604,1014,161,151
B,B,True,4.301516000006814,1089,127,117
D,B,True,9.18412689998513,1263,237,227
C,D,True,8.838807900028769,1086,328,318
