answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,D,True,2.8210175999993226,1473,4,0
A,C,True,2.4631134000010206,1442,4,0
D,D,True,2.281328200006101,1643,4,0
D,D,True,3.4666608000043198,1516,4,0
B,D,True,2.9848071999949752,1503,4,0
D,C,True,3.1237838999950327,1532,4,0
B,B,True,2.9401931000029435,1453,4,0
D,C,True,2.807399899997108,1662,4,0
B,D,True,3.275186599996232,1899,4,0
B,C,True,3.0461482999962755,1467,4,0
C,C,True,2.4925030000013066,1803,4,0
C,C,True,3.37165709999681,1605,4,0
A,C,True,2.706828599999426,1680,4,0
C,C,True,3.39405650000117,1578,4,0
C,D,True,3.005863300000783,1462,4,0
A,D,True,2.5208008000045083,1467,4,0
D,D,True,2.268228900000395,1741,4,0
B,B,True,2.6459983000022476,1477,4,0
A,B,True,2.2506511000028695,1744,4,0
A,C,True,2.5302921000038623,1924,4,0
D,D,True,2.4469728999974905,1473,4,0
B,D,True,2.5262855000037234,1417,4,0
D,D,True,3.619017700002587,1544,4,0
C,D,True,2.4933745000016643,1842,4,0
D,B,True,2.509713899999042,1776,4,0
C,C,True,2.5637701000014204,1869,4,0
B,B,True,2.984475500001281,1533,4,0
C,D,True,2.6917261999988114,1642,4,0
A,D,True,2.7265007000023616,1473,4,0
A,D,True,3.0823709000032977,1473,4,0
B,C,True,2.654425099994114,1767,4,0
D,D,True,3.2904226999962702,1677,4,0
C,D,True,2.8819931000034558,1473,4,0
A,C,True,2.7787263999998686,1840,4,0
C,D,True,2.5666860999990604,1542,4,0
C,C,True,2.4549941000004765,1889,4,0
B,C,True,2.462786199997936,1507,4,0
A,C,True,2.504778800001077,1444,4,0
