answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,42.28080980000232,2443,1290,1280
A,A,True,11.30123669999739,1526,394,384
D,D,True,21.123533199999656,2319,1034,1024
D,A,True,23.774819500002195,2148,970,960
B,C,True,24.743494999995164,2021,842,832
D,A,True,27.027947399998084,2366,1162,1152
B,A,True,39.24367809999967,2555,1418,1408
D,B,True,27.39209380000102,2217,906,896
B,D,True,22.638941400000476,2386,907,896
B,D,True,49.85019810000085,2884,1739,1728
C,C,True,24.06373739999981,2326,906,896
C,C,True,11.861253600000055,1780,522,512
A,C,True,26.954280899997684,2358,1034,1024
C,D,True,50.6223672000051,3487,2251,2240
C,B,True,25.15964850000455,1978,841,832
A,A,True,18.898298699998122,1924,778,768
D,D,True,10.437020699995628,1691,330,320
B,B,True,12.737326200003736,1878,714,704
A,B,True,15.86587850000069,2145,778,768
A,D,True,29.44515269999829,2993,1482,1472
D,D,True,21.430792300001485,1995,842,832
B,D,True,26.317533900000853,2400,1290,1280
D,D,True,12.225391299994953,1797,586,576
C,B,True,19.601710999995703,2476,1034,1024
D,B,True,17.15299260000029,1901,522,512
C,C,True,48.067025100004685,3570,2122,2112
B,B,True,13.062933499997598,1970,778,768
C,A,True,16.030678800001624,2186,906,896
A,D,True,10.261532600001374,1675,522,512
A,D,True,31.11572869999509,2187,1034,1024
B,B,True,12.133349300005648,2054,650,640
D,D,True,11.977294900003471,1964,650,640
C,D,True,15.319546299993817,1931,778,768
A,A,True,20.627710499997193,2224,778,768
C,C,True,19.705618299994967,2243,1034,1024
C,C,True,14.7539459000036,2149,650,640
B,B,True,7.648576400002639,1693,522,512
A,C,True,7.606528500000422,1529,394,384
