answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,4.496730099999695,1389,211,192
A,A,True,8.967907600001126,1853,722,704
D,D,True,10.916195899999366,2216,915,896
D,C,True,5.071173499998622,1476,275,256
B,B,True,9.21756540000024,1983,787,768
D,B,True,36.29797080000026,4362,3155,3136
B,D,True,19.48470289999932,3141,2004,1984
D,A,True,4.790609300000142,1751,403,384
B,D,True,2.511907699999938,1626,147,128
B,D,True,15.43132230000083,2828,1683,1664
C,C,True,5.978352599999198,2021,595,576
C,D,True,2.863184400001046,1479,211,192
A,A,True,9.587743399999454,2185,851,832
C,C,True,16.24531990000105,2662,1427,1408
C,D,True,3.372885900000256,1355,211,192
A,C,True,6.693955200000346,1803,659,640
D,D,True,11.61452349999854,2212,851,832
B,B,True,7.567462400000295,1958,787,768
A,B,True,9.597806100000525,2282,915,896
A,D,True,10.855181900000389,2614,1107,1088
D,B,True,8.768976999999722,2050,659,640
B,D,True,10.898016600000119,2145,1043,1024
D,D,True,4.0664360000009765,1486,275,256
C,C,True,9.751465800000005,2309,915,896
D,B,True,6.037257199999658,1909,531,512
C,B,True,7.142460799999753,2130,659,640
B,B,True,3.625991500000964,1466,275,256
C,C,True,5.4757016000003205,2097,531,512
A,A,True,22.889475899999525,3792,2451,2432
A,B,True,4.172142400000666,1776,339,320
B,B,True,11.874855199999729,2323,915,896
D,D,True,6.459362400000828,1830,531,512
C,B,True,13.137600800000655,2593,1235,1216
A,A,True,6.177813700000115,1977,531,512
C,C,True,9.54571169999872,1856,659,640
C,C,True,9.155525399999533,2240,723,704
B,B,True,9.967427400000815,1776,595,576
A,D,True,9.980570500001704,2054,915,896
