answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,B,True,12.347760699998616,1780,366,392
A,D,True,8.7206170999998,1608,251,285
D,D,True,10.651655399999072,1916,363,433
D,D,True,20.58370560000003,1975,536,651
B,D,True,12.026741600000605,1826,398,427
D,D,True,22.8948762,2164,712,704
B,C,True,12.309715499999584,1729,365,423
D,B,True,10.815045900000769,1963,321,418
B,A,True,15.75574609999967,2273,485,580
B,D,True,8.624214999999822,1766,394,450
C,D,True,15.28075109999918,2214,507,518
C,B,True,13.011884699999428,1892,379,489
A,D,True,8.76493279999886,1888,294,355
C,D,True,31.373450300001423,2496,1019,1187
C,D,True,11.873842000000877,1805,431,544
A,A,True,17.24646869999924,1835,465,514
D,D,True,10.42015210000136,1929,281,370
B,C,True,19.55463559999953,1851,452,459
A,C,True,16.335004200000185,2136,511,641
A,C,True,23.276633800000127,2644,836,875
D,B,True,21.307036999998672,2472,806,836
B,C,True,17.42453039999964,1910,587,595
D,D,True,10.677879400000165,1659,207,292
C,B,True,14.618360000000393,2258,571,687
D,D,True,17.401972899999237,2248,587,710
C,C,True,13.17610269999932,2188,427,551
B,B,True,2.117274500000349,1435,1,0
C,A,True,10.806984299999385,2167,320,391
A,B,True,12.674307000001136,1904,294,374
A,B,True,11.16290459999982,2021,310,360
B,B,True,13.980233700000099,2217,530,711
D,D,True,3.7744694000011805,2049,497,615
C,B,True,23.19835199999943,1971,350,440
A,B,True,13.716377499998998,2133,404,474
C,C,True,1.711699800000133,1743,314,397
C,C,True,12.322374100000161,2236,438,474
B,B,True,20.42917960000159,1937,510,696
A,D,True,4.7485765000001265,2230,859,1043
