answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,C,True,0.4239526000019396,1031,1,
D,C,True,0.8320394000038505,1074,1,
C,C,True,0.9668837999925017,1142,1,
C,C,True,0.4833874000032665,1093,1,
B,B,True,0.7584957000071881,1128,1,
B,B,True,1.0362191000021994,1082,1,
C,A,True,1.0886690999905113,1114,1,
D,B,True,0.8818611000024248,1097,1,
C,C,True,0.8741871999955038,1350,1,
B,B,True,1.028387099999236,1223,1,
A,C,True,1.0277172999922186,1139,1,
C,A,True,1.027910899996641,1205,1,
B,C,True,0.9360133000009228,1130,1,
B,A,True,1.003167199989548,1430,1,
B,C,True,0.9240871000074549,1463,1,
C,B,True,0.924782599991886,1289,1,
A,A,True,0.9223974000051385,1203,1,
B,C,True,1.0257621000055224,1109,1,
A,A,True,0.9571277999930317,1180,1,
B,B,True,0.9230240000033518,1203,1,
B,A,True,0.965070399994147,1271,1,
B,C,True,0.9130545999942115,1183,1,
C,C,True,1.1042785000026925,1200,1,
D,A,True,0.9757894999929704,1382,1,
D,B,True,1.0159746000135783,1223,1,
D,B,True,0.8558224000007613,1315,1,
B,B,True,1.1309149000007892,1307,1,
B,D,True,0.9568870999937644,1243,1,
A,A,True,0.8163728000072297,1049,1,
A,C,True,0.9689071000029799,1232,1,
A,D,True,0.9188922999892384,1229,1,
C,D,True,1.0125833000056446,1513,1,
A,B,True,1.0954650000057882,1547,1,
B,A,True,0.9249052999948617,1233,1,
C,D,True,1.0259074000059627,1329,1,
C,C,True,1.0238290000124834,1290,1,
B,D,True,0.8929090000019642,1517,1,
C,C,True,0.9519619000056991,1197,1,
A,C,True,0.6591623999993317,1117,1,
C,C,True,1.0278847000008682,1003,1,
