answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,7.221105200000238,1804,1,757
D,D,True,9.841510799999014,2044,1,968
C,D,True,78.11087140000018,9722,1,8590
C,C,True,11.309096999997564,2325,1,1198
B,B,True,16.510755499999505,2698,1,1561
B,B,True,13.455758100000821,2348,1,1242
C,C,True,12.603882300001715,2428,1,1308
D,D,True,7.388066100000287,1920,1,775
C,A,True,11.270925600001647,2439,1,1078
B,B,True,13.872834800000419,2762,1,1537
A,A,True,13.017727000002196,2206,1,1068
C,A,True,13.265338399996836,2419,1,1213
B,D,True,11.271209100003034,2283,1,1104
B,B,True,21.8886328999979,4012,1,2566
B,D,True,16.133351799999218,3143,1,1653
C,C,True,8.95686840000053,2193,1,904
A,C,True,9.390193899998849,2084,1,860
B,B,True,11.753333900000143,2367,1,1259
A,A,True,14.974549700000352,2903,1,1710
B,D,True,9.46695600000021,2148,1,955
B,A,True,45.06743850000203,6019,1,4743
B,A,True,11.84414409999954,2094,1,912
C,C,True,12.20676270000331,2124,1,926
D,D,True,12.548148000001675,2656,1,1273
D,D,True,11.969154599999456,2392,1,1169
D,D,True,10.92154109999683,2484,1,1153
B,B,True,16.271197900001425,3051,1,1688
B,B,True,16.95453389999966,3016,1,1765
A,A,True,10.110842400001275,2044,1,968
A,A,True,13.806566499999462,3000,1,1488
A,A,True,10.115577100001246,2214,1,978
C,C,True,13.518795899999532,3044,1,1482
A,A,True,15.282133800003066,3082,1,1520
B,B,True,16.08484039999894,2834,1,1593
C,C,True,25.683649700000387,4351,1,3002
C,C,True,10.216196200002742,2309,1,1019
B,A,True,13.156244500001776,2958,1,1477
C,A,True,14.368115400000534,3124,1,1606
A,A,True,10.278332599998976,2205,1,1076
C,C,True,8.267209699999512,1829,1,801
