answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,A,True,11.897285599996394,2033,1107,1088
D,C,True,5.662339000002248,1425,467,448
C,D,True,5.110959500001627,1484,467,448
C,D,True,13.815595799998846,2273,1301,1280
B,B,True,7.532069699998829,1725,724,704
B,B,True,4.084915899999032,1300,339,320
C,B,True,4.156707799993455,1340,339,320
D,D,True,15.09996140000294,2148,1172,1152
C,A,True,7.714735599998676,1985,787,768
B,D,True,13.441703700002108,2327,1236,1216
A,A,True,7.969273100003193,1929,915,896
C,D,True,6.207583299998078,1867,787,768
B,C,True,8.348281400001724,2043,1043,1024
B,D,True,8.293507399997907,2325,1043,1024
B,D,True,4.225347200001124,1775,467,448
C,D,True,6.194397600003867,1810,660,640
A,D,True,8.41068400000222,1914,850,832
B,C,True,11.435804699998698,2224,1235,1216
A,A,True,10.04304769999726,2231,1171,1152
B,D,True,7.2167035000020405,1924,851,832
B,B,True,15.848326199993608,3255,2131,2112
B,B,True,5.868320000001404,1644,595,576
C,C,True,5.2615894000045955,1531,467,448
D,D,True,11.122254499998235,2610,1363,1344
D,D,True,13.847579100001894,2844,1747,1728
D,D,True,9.613306600003853,2338,1169,1152
B,C,True,7.4227380999946035,1955,787,768
B,C,True,10.023874400008935,2205,1107,1088
A,A,True,4.561054599995259,1335,403,384
A,B,True,20.062723600000027,3168,2067,2048
A,A,True,11.300588700003573,2396,1299,1280
C,D,True,9.590134199999738,2481,1108,1088
A,B,True,4.837104200007161,1928,531,512
B,B,True,9.603113599994686,2212,1107,1088
C,C,True,26.31306260000565,4021,2834,2816
C,C,True,5.089777699991828,1619,467,448
B,B,True,13.207042400012142,2707,1363,1344
C,C,True,5.522551300004125,1605,531,512
A,C,True,14.177941499990993,2682,1683,1664
C,C,True,5.567004199998337,1427,531,512
