answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,10.983810799996718,1568,487,600
D,A,True,6.012969000003068,1457,332,441
C,D,True,87.29481519999536,2127,933,1015
C,D,True,20.041394499996386,1907,774,875
B,C,True,16.328733700000157,1571,399,484
B,C,True,6.019936199998483,1534,402,541
C,B,True,7.047088200000871,2408,1235,1370
D,A,True,12.153643000005104,2043,887,1058
C,D,True,11.933266799998819,2002,593,756
B,B,True,8.590744199995243,1651,384,485
A,B,True,12.798775600000226,1891,705,919
C,B,True,13.497177500001271,1911,645,783
B,B,True,8.137908299999253,1683,507,696
B,,True,234.9794006000011,17906,16384,19856
B,C,True,3.3701978999888524,2363,823,1117
C,B,True,2.9699264999944717,1814,471,492
A,C,True,29.358092499998747,1937,672,669
B,B,True,37.00502979999874,2034,874,872
A,B,True,28.157783999995445,1808,562,656
B,B,True,7.907629599998472,1528,266,347
B,B,True,52.085072000001674,3147,1811,1991
B,B,True,1.7805108000029577,1569,329,424
C,B,True,5.033234100003028,1486,222,267
D,D,True,11.178250899989507,1896,429,498
D,A,True,6.1917843999981415,1664,383,421
D,D,True,90.13801520000561,2054,668,789
B,A,True,16.58780690000276,2278,901,944
B,B,True,9.414305199999944,1557,266,357
A,A,True,10.872564200006309,1589,493,486
A,C,True,10.765072700000019,1699,400,475
A,B,True,6.913878300008946,1766,477,626
C,B,True,14.333054500006256,2910,1325,1383
A,D,True,16.78636899999401,2402,766,1002
B,C,True,5.080054000005475,1526,236,314
C,A,True,10.372417799997493,1905,512,591
C,C,True,10.77197069999238,1860,503,674
B,B,True,17.300565499986988,2204,627,747
C,C,True,8.503418299995246,1851,592,698
A,B,True,7.457432499999413,1575,405,509
C,B,True,9.239750500011723,1335,287,361
