answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,C,True,2.8577009999999063,2084,4,0
C,C,True,4.801245200000267,1995,4,0
D,D,True,2.469673700000385,1874,4,0
B,C,True,2.4202486000003773,1796,4,0
A,D,True,2.7032369000007748,1897,4,0
D,D,True,2.857756700000209,2033,4,0
D,B,True,3.1733412000003227,2088,4,0
B,C,True,3.2986072000003333,2054,4,0
B,C,True,2.6253317999999126,2126,4,0
A,C,True,3.363623700000062,1879,4,0
C,D,True,3.0925523999994766,1847,4,0
C,C,True,2.317050300000119,1983,4,0
A,C,True,2.4986893000004784,1845,4,0
C,C,True,3.0222782999999254,2110,4,0
C,C,True,2.656215500000144,2019,4,0
C,D,True,2.7074055000002772,2247,4,0
D,D,True,3.594766499999423,2206,4,0
C,C,True,2.295654900000045,1901,4,0
C,C,True,2.903798999999708,1989,4,0
D,C,True,3.997601400000349,2095,4,0
A,C,True,2.378325899999254,1939,4,0
B,C,True,2.7653625999992073,1918,4,0
C,C,True,3.0831260000004477,1973,4,0
D,B,True,2.768041799999992,2043,4,0
A,C,True,2.253716500000337,1763,4,0
B,B,True,2.6089574000006905,1959,4,0
C,C,True,3.1892429999998058,1947,4,0
C,C,True,3.048164099999667,2086,4,0
C,C,True,3.7972202000000834,2190,4,0
B,C,True,2.585149300000012,2084,4,0
B,C,True,4.107408600000781,2080,4,0
D,D,True,2.8737838000006377,2134,4,0
B,C,True,2.665345200000047,2626,4,0
C,C,True,3.4824657999997726,1902,4,0
D,D,True,2.1145161999993434,2009,4,0
B,C,True,2.773682600000029,2226,4,0
D,D,True,2.518779699999868,2193,4,0
