answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,D,True,1.0223287000044365,1783,1,
C,B,True,0.9282039999961853,1657,1,
D,B,True,1.0269199999966077,1620,1,
B,A,True,1.1319046999997227,1593,1,
A,D,True,0.8196563000019523,1670,1,
D,D,True,0.9096804999935557,1797,1,
D,C,True,0.835119899995334,1847,1,
B,B,True,0.918805400004203,1807,1,
B,B,True,0.9214907000059611,1866,1,
A,B,True,1.022659599999315,1591,1,
C,B,True,1.2602094000030775,1629,1,
C,A,True,1.0126461000036215,1748,1,
A,C,True,1.1111918000024161,1635,1,
C,B,True,1.0515233999976772,1870,1,
C,C,True,1.0282101999982842,1593,1,
C,D,True,0.8243194000024232,1989,1,
D,B,True,1.038529000004928,1657,1,
C,A,True,0.9450352000058047,1675,1,
C,C,True,1.008190900000045,1760,1,
D,A,True,0.921943100001954,1879,1,
A,B,True,0.9251100000037695,1706,1,
B,C,True,1.019595500001742,1648,1,
C,C,True,1.1345414000024903,1740,1,
D,B,True,0.986243999999715,1783,1,
A,A,True,0.948772600000666,1560,1,
B,A,True,0.8194922000038787,1718,1,
C,C,True,1.0277859999987413,1739,1,
C,C,True,0.9524576000039815,1793,1,
C,C,True,0.9196919000023627,1942,1,
B,B,True,1.1194886000012048,1760,1,
B,A,True,1.0263909999994212,1818,1,
D,D,True,0.8368182999984128,1902,1,
B,A,True,0.9174771000034525,2280,1,
C,D,True,0.9050066000054358,1700,1,
D,C,True,1.01450019999902,1716,1,
B,D,True,1.0070772999970359,1973,1,
D,B,True,1.2583049000022584,1914,1,
