answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,4.495448700006818,2397,1.0,614
C,A,True,14.58733020001091,3963,1.0,2306
D,D,True,3.1515062999969814,2043,1.0,423
B,B,True,3.5233693000045605,2111,1.0,517
A,C,True,5.609887999977218,2458,1.0,788
D,D,True,2.975160500005586,2219,1.0,422
D,D,True,5.100207900017267,2595,1.0,743
B,B,True,15.70142389999819,4377,1.0,2566
B,A,True,13.634103499993216,4029,1.0,2158
A,A,True,3.3739119000092614,2092,1.0,501
C,C,True,3.7937291999987792,2165,1.0,532
C,C,True,17.825199500017334,4795,1.0,3047
A,A,True,3.1566056000010576,2092,1.0,456
C,C,True,13.4350509000069,4029,1.0,2154
C,A,True,19.499159700004384,4888,1.0,3291
C,C,True,17.465708200004883,4729,1.0,2740
D,A,True,14.852609599998686,3963,1.0,2306
C,C,True,3.9433451000077184,2243,,565
C,C,True,7.519360400008736,2929,1.0,1168
D,A,True,301.6074001000088,64789,,62911
A,A,True,7.018414799997117,2744,1.0,1037
B,C,True,7.59653789998265,2856,1.0,1208
C,C,True,38.6936876999971,8157,1.0,6416
D,A,True,5.548593099985737,2634,1.0,850
A,A,True,5.52923029998783,2410,,849
B,B,True,2.809985100000631,2090,1.0,371
C,A,True,17.467786900000647,4765,,3023
C,C,True,3.291537499986589,2256,1.0,463
C,C,True,4.457800400006818,2650,1.0,708
B,B,True,3.885800799995195,2327,1.0,567
B,B,True,7.81113099999493,3071,1.0,1249
D,D,True,4.714872600015951,2591,1.0,689
B,B,True,9.400168399995891,3804,1.0,1524
C,C,True,3.4266848000115715,2154,1.0,454
D,D,True,8.92406699998537,3092,1.0,1376
B,B,True,48.82065249999869,10252,1.0,8274
D,D,True,6.5145498999918345,2943,1.0,1029
