answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,82.63276459999997,3442,1802,1792
C,C,True,7.086372599999777,1827,266,256
D,D,True,16.98371810000026,1932,458,448
B,B,True,14.156924199999594,2058,650,640
A,C,True,16.231752800000322,2327,842,832
D,D,True,7.438934199999494,1922,330,320
D,D,True,13.312514100000044,2373,714,704
B,B,True,17.16531010000017,2311,714,704
B,A,True,24.674764100000175,2762,1098,1088
A,A,True,26.590766999999687,2704,1226,1216
C,D,True,22.761233700000048,2360,906,896
C,C,True,8.158695799999805,1949,394,384
A,A,True,35.31445860000076,3060,1610,1600
C,B,True,26.086699000000408,2883,1226,1216
C,C,True,11.030180699999619,2110,522,512
C,D,True,12.208196399999906,2338,586,576
D,D,True,25.404550799999924,2695,970,960
C,C,True,12.381140599999526,2144,650,640
C,C,True,29.290331700000024,2465,906,896
D,A,True,13.411683899999844,2237,586,576
A,A,True,14.883742500000153,2229,714,704
B,B,True,30.9839680999994,2994,1482,1472
C,C,True,31.446270800000093,2897,1355,1344
D,B,True,14.825314300000173,2370,778,768
A,B,True,22.523744199999783,2546,1163,1152
B,B,True,9.890813799999705,1872,330,320
C,B,True,125.20423709999977,4476,2954,2944
C,C,True,11.703189899999416,2180,586,576
C,C,True,22.5024870999996,3015,1290,1280
B,B,True,15.761113399999886,2405,778,768
B,B,True,8.584415299999819,2092,458,448
D,B,True,26.374338999999964,2986,1290,1280
B,B,True,27.804665999999997,3025,970,960
C,D,True,14.37365039999986,2202,714,704
D,B,True,15.105313400000341,2419,842,832
B,C,True,32.79953469999964,3743,1994,1984
D,D,True,24.706875400000172,3200,1482,1472
