answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,C,True,10.352614499999618,2559,979,960
C,D,True,3.4785652000064147,1746,275,256
D,D,True,9.114353500001016,2355,915,896
B,C,True,3.466633299998648,1559,147,128
A,C,True,11.269052700001339,2656,1171,1152
D,D,True,10.085211900004651,2379,787,768
D,C,True,9.010860499998671,2446,787,768
B,C,True,23.025531999999657,3666,2068,2048
B,A,True,10.046466200001305,2515,851,832
A,A,True,6.2691348000007565,1881,467,448
C,B,True,4.839609700000437,1726,276,256
C,C,True,5.445600300001388,2022,467,448
A,A,True,6.25495840000076,2047,595,576
C,C,True,5.589228799995908,2124,467,448
C,B,True,15.723223499997403,2977,1555,1536
C,D,True,8.930011199998262,2477,723,704
D,D,True,4.657084999998915,1874,403,384
C,C,True,4.645887499995297,1892,403,384
C,C,True,5.192345399998885,2031,467,448
D,A,True,11.255966400000034,2763,1106,1088
A,D,True,4.991789799998514,1857,339,320
B,C,True,4.166956500004744,1862,403,384
C,D,True,7.979698900002404,2460,915,896
D,B,True,7.931395199993858,2433,851,832
A,A,True,10.640834500001802,2624,1235,1216
B,B,True,14.420216300000902,2894,1363,1344
C,C,True,8.920283699997526,2198,659,640
C,C,True,9.728378299994802,2245,659,640
C,B,True,8.170189299999038,2579,851,832
B,B,True,4.922946899998351,2025,467,448
B,C,True,8.285654100000102,2607,979,960
D,B,True,7.972417199998745,2359,660,640
B,D,True,9.945830500000739,3005,979,960
C,D,True,8.012519500000053,2176,659,640
D,B,True,9.034144299999753,2452,915,896
B,C,True,9.513656600000104,2472,723,704
D,C,True,17.449521399998048,3196,1491,1472
