answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,D,True,2.5951468999992358,1487,4,0
A,C,True,3.195599900005618,1149,4,0
B,C,True,3.9939700000104494,1149,4,0
C,D,True,2.7029230000043754,1180,4,0
C,C,True,2.480377599989879,1395,4,0
D,D,True,2.9318562999978894,1686,4,0
D,D,True,3.284107999992557,1257,4,0
C,C,True,3.3717838000011398,1244,4,0
B,A,True,4.072597399994265,1331,4,0
D,D,True,3.3078020000102697,1286,4,0
C,D,True,2.6798740000085672,1180,4,0
C,D,True,3.2232242000027327,1180,4,0
C,C,True,2.457671500000288,1327,4,0
C,C,True,2.540677199998754,1450,4,0
B,C,True,2.423227399995085,1370,4,0
C,C,True,2.5307629000017187,1328,4,0
D,D,True,2.4693670999986352,1492,4,0
B,C,True,2.6625214999949094,1281,4,0
D,D,True,3.3384890999877825,1357,4,0
D,D,True,3.72798789999797,1232,4,0
B,D,True,3.89230010000756,1352,4,0
A,B,True,2.6696301999909338,1271,4,0
B,C,True,2.4599034999992,1547,4,0
A,D,True,2.3934043000044767,1180,4,0
C,D,True,2.5606400999968173,1347,4,0
B,B,True,3.0686506999918493,1526,4,0
C,D,True,2.2651304000028176,1791,4,0
B,C,True,2.769757200003369,1894,4,0
B,B,True,2.7810657000081846,1741,4,0
C,C,True,4.134547900001053,1241,4,0
