answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,C,True,8.37640230001125,2860,1,1560
A,C,True,11.853684500005329,3093,1,2082
B,D,True,6.373683300000266,2094,1,1092
C,D,True,4.479563100001542,1839,1,802
C,C,True,5.696494399991934,2200,1,969
D,B,True,8.099239000002854,3048,1,1595
D,A,True,5.374933700004476,2176,1,1063
C,B,True,4.7077109000092605,1888,1,799
B,D,True,5.75514480000129,2226,1,1055
D,D,True,3.9494492999947397,1822,1,688
C,D,True,3.9397740999993403,1700,1,663
C,D,True,4.1445750999992015,1700,1,663
C,C,True,4.925737600002321,1984,1,826
C,C,True,9.82290980000107,3159,1,1884
B,A,True,7.455225700003211,2442,1,1242
C,B,True,5.738586599996779,2177,1,1012
D,D,True,6.413708299995051,2635,1,1321
B,C,True,4.673185399995418,1956,1,833
D,C,True,4.657969899999443,2010,1,823
D,D,True,4.245779899996705,1875,1,793
B,B,True,6.419006000010995,2286,1,1097
A,C,True,4.791087300007348,1994,1,888
B,B,True,4.806053299995256,2159,1,825
A,D,True,3.9194646999967517,1700,1,663
C,D,True,5.774421900001471,2172,1,998
B,C,True,6.797810799995204,2682,1,1340
C,D,True,5.457938599996851,2590,1,1009
B,D,True,8.548475600007805,3463,1,1803
B,B,True,5.880577300005825,2626,1,1121
C,D,True,4.58422679999785,1933,1,844
