answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,B,True,13.074593199999072,2569,1,1269
A,D,True,10.092880900003365,2072,1,1061
B,D,True,12.659712099994067,2244,1,1242
C,A,True,10.159877600002801,1975,1,938
C,C,True,11.436315600003581,2336,1,1105
D,D,True,21.071652200000244,3673,1,2220
D,D,True,13.649566899999627,2495,1,1382
C,B,True,9.949673700000858,2061,1,972
B,A,True,12.859110999997938,2494,1,1323
D,D,True,8.624322399991797,2064,1,930
C,A,True,9.27029390000098,1966,1,929
C,A,True,9.664429600001313,1931,1,894
C,C,True,9.56304039999668,2087,1,929
C,C,True,19.332123799991678,3363,1,2088
B,B,True,14.19192440000188,2446,1,1246
C,C,True,10.830140899997787,2311,1,1146
D,D,True,9.656609400000889,2245,1,931
B,B,True,11.476973600001656,2340,1,1217
D,D,True,8.653802799992263,1934,1,747
D,D,True,8.948873100001947,1934,1,852
B,B,True,11.499478500001715,2251,1,1062
A,A,True,12.893530200002715,2434,1,1328
B,B,True,12.06582060000801,2323,1,989
A,A,True,9.401609500011546,1968,1,931
C,D,True,11.144637399993371,2194,1,1020
B,B,True,11.220558700006222,2481,1,1139
C,B,True,15.4912253000075,3130,1,1549
B,D,True,14.873816399995121,3066,1,1406
B,B,True,13.405356300005224,2943,1,1438
C,C,True,17.54480909999984,2908,1,1819
