answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,B,True,8.132852300012019,2677,,1377
A,D,True,6.272537200013176,1946,1.0,931
B,D,True,6.866713399998844,2055,1.0,1053
C,B,True,101.63610070000868,18307,1.0,17270
C,C,True,3.333689000020968,1622,1.0,391
D,B,True,298.4675043000025,64366,1.0,62913
D,A,True,308.4508345000213,64027,,62911
C,C,True,22.945100700017065,4815,1.0,3726
B,B,True,11.076347900001565,2981,1.0,1806
D,D,True,4.2113690999976825,1795,1.0,661
C,B,True,100.323959500005,18307,1.0,17270
C,B,True,102.77035929998965,18307,1.0,17270
C,C,True,3.715962199989008,1725,1.0,562
C,C,True,10.187117199995555,2901,1.0,1626
B,A,True,303.02896689999034,64112,,62912
C,C,True,5.673454700008733,2046,,882
D,D,True,4.463071700010914,1909,1.0,590
B,B,True,5.258747599989874,1896,1.0,769
D,D,True,3.16640039999038,1686,1.0,498
D,D,True,5.640079200005857,1886,1.0,803
B,B,True,10.867322100006277,2875,1.0,1686
A,B,True,16.19241059999331,3754,1.0,2647
B,B,True,10.184638600010658,2859,1.0,1525
A,B,True,99.8758639000007,18307,1.0,17270
C,D,True,4.88716199999908,1883,1.0,709
B,B,True,4.692104499990819,2082,1.0,736
C,B,True,11.455082700005732,3349,,1741
B,C,True,11.452476600010414,3494,,1835
B,B,True,4.221610299980966,2068,1.0,558
C,C,True,21.439156800013734,4611,1.0,3522
