answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,"
C",True,2.3845540000002075,1347,3,0
A,"
B",True,2.033413400000427,1109,3,0
B,"
C",True,1.4265892000003078,1013,3,0
C,"
D",True,2.642273000001296,1241,3,0
C,B,True,1.4478362999980163,1286,2,0
D,D,True,1.7255103999996209,1462,2,0
D,"
B",True,0.7725164000003133,1147,3,0
C,"
C",True,1.2265427999991516,1123,3,0
B,"
D",True,0.6285360000001674,1181,3,0
D,"
A",True,0.700105200001417,1132,3,0
C,"
A",True,0.7285082999987935,1190,3,0
C,"
B",True,1.5430206999990332,1283,3,0
C,"
C",True,0.6893587999984447,1167,3,0
C,B,True,0.5007179999993241,1287,2,0
B,"
B",True,0.8261801000007836,1198,3,0
C,C,True,0.46222499999930733,1183,2,0
D,"
A",True,0.7299282999993011,1324,3,0
B,"
C",True,0.7845190000007278,1155,3,0
D,"
C",True,0.8094305000013264,1203,3,0
D,C,True,0.8892906000000949,1110,2,0
B,"
C",True,0.807627300000604,1186,3,0
A,"
B",True,0.6021784999975353,1118,3,0
B,D,True,0.8816274999990128,1348,2,0
A,B,True,0.8393106000003172,1291,2,0
C,"
B",True,1.4433520000020508,1194,3,0
B,B,True,0.4820940999998129,1382,2,0
C,"
B",True,0.6523397999990266,1630,3,0
B,"
A",True,0.729854900000646,1673,3,0
B,B,True,1.1566569999995409,1514,2,0
C,"
B",True,0.6191585999986273,1102,3,0
