answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,C,True,1.719662099989364,1309,2,0
A,B,True,1.0254692000016803,1020,2,0
B,C,True,1.0115823000087403,1011,2,0
C,D,True,0.9845605000009527,1046,2,0
C,C,True,1.100473200000124,1240,2,0
D,C,True,0.5567810999928042,1462,2,0
D,B,True,0.518748799993773,1122,2,0
C,A,True,0.5173250000079861,1098,2,0
B,D,True,1.0383875999978045,1180,2,0
D,C,True,0.5307768999919062,1143,2,0
C,D,True,1.2559808999940287,1046,2,0
C,D,True,1.1239081999956397,1046,2,0
C,C,True,0.5582317999942461,1167,2,0
C,C,True,1.0383980000042357,1284,2,0
B,C,True,0.48404119999031536,1209,2,0
C,C,True,0.974370199997793,1174,2,0
D,C,True,0.4849035999941407,1323,2,0
B,C,True,0.9742074999958277,1132,2,0
D,C,True,1.0373545000038575,1196,2,0
D,C,True,0.4831396999943536,1091,2,0
B,C,True,0.4984777999925427,1198,2,0
A,C,True,0.4867270999966422,1115,2,0
B,C,True,1.035955200000899,1343,2,0
A,D,True,0.5014146999892546,1046,2,0
C,C,True,0.5363437000050908,1183,2,0
B,C,True,1.4128777000005357,1351,2,0
C,C,True,0.9801769000041531,1590,2,0
B,C,True,0.5502217000030214,1669,2,0
B,C,True,0.5143718999897828,1514,2,0
C,C,True,0.48636770001030527,1098,2,0
