answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,C,True,18.565683799999533,2215,1034,1024
A,D,True,40.30704589999732,3470,2506,2496
B,C,True,11.29980280000018,1600,714,704
C,C,True,23.79710039999918,2308,1226,1216
C,C,True,23.43210099999851,2295,1162,1152
D,B,True,25.365001699999993,2457,1162,1152
D,A,True,54.61277189999964,3445,2442,2432
C,C,True,29.72129320000022,2463,1482,1472
B,A,True,11.713092199999664,1686,650,640
D,D,True,13.462915399999474,1767,778,768
C,C,True,25.783764799998607,2453,1418,1408
C,C,True,10.185086599998613,1714,586,576
C,C,True,8.650772199998755,1350,330,320
C,D,True,20.253842999998596,2538,1418,1408
B,B,True,10.834637899999507,1692,650,640
C,C,True,17.4392334999975,2068,1034,1024
D,D,True,18.088233900001796,2061,906,896
B,C,True,23.090167700000165,2302,1290,1280
D,C,True,25.811647799997445,1826,778,768
D,D,True,36.09848590000183,2647,1674,1664
B,D,True,14.426821699998982,1741,714,704
A,B,True,30.57258880000154,1891,906,896
B,C,True,53.56476489999841,3243,2058,2048
A,B,True,13.429562599998462,1901,778,768
C,D,True,32.144315800000186,1946,906,896
B,B,True,12.544554299998708,1725,522,512
C,B,True,26.06136250000054,2728,1290,1280
B,C,True,43.294567899996764,3287,1802,1792
B,B,True,17.770356100001663,1799,458,448
C,C,True,32.362077099998714,2377,1418,1408
