answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,B,True,4.358284200017806,1287,135,125
A,C,True,7.637520599993877,1190,305,295
B,D,True,3.4125529000302777,990,105,95
C,D,True,2.3825001000077464,987,74,64
C,C,True,5.031837699993048,1219,129,119
D,D,True,4.941795499995351,1449,154,144
D,A,True,9.022754799982067,1339,361,351
C,B,True,11.31793140002992,1493,532,522
B,A,True,4.511884199979249,1185,150,140
D,D,True,4.060834700008854,1126,119,109
C,D,True,3.800025900010951,1036,123,113
C,D,True,8.01528110000072,1218,305,295
C,C,True,2.9466144999605604,1096,76,66
C,C,True,6.026559799967799,1339,219,209
B,C,True,7.065579799993429,1353,302,292
C,C,True,4.688784600002691,1231,203,193
D,D,True,5.12027960002888,1343,188,178
B,B,True,8.910439200000837,1397,400,390
D,C,True,4.207010000012815,1215,171,161
D,D,True,6.42270210001152,1082,126,116
B,B,True,5.879309699987061,1288,248,238
A,A,True,5.304118099971674,1168,186,176
B,B,True,5.473635900008958,1388,208,198
A,D,True,2.6644214000552893,1001,88,78
C,C,True,5.209887199976947,1212,183,173
B,B,True,6.703965699998662,1370,186,176
C,B,True,8.831411899998784,1689,284,274
B,D,True,6.751192900002934,1679,197,187
B,B,True,3.4351514000445604,1445,104,95
C,B,True,6.309881399967708,1204,244,234
