answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,B,True,5.968030000003637,1745,593,576
A,C,True,9.749127999995835,1928,1043,1024
B,C,True,10.914192500000354,2120,1235,1216
C,D,True,5.682782799995039,1572,659,640
C,C,True,7.978707000002032,1941,851,832
D,D,True,5.67220920001273,1826,531,512
D,A,True,10.999421700005769,2341,1363,1344
C,C,True,7.495179199991981,1684,723,704
B,C,True,18.52248729999701,3231,2196,2176
D,D,True,4.896026800008258,1410,403,384
C,D,True,5.344950300001074,1444,531,512
C,D,True,5.669717500000843,1444,531,512
C,C,True,6.1869796999963,1679,659,640
C,C,True,10.460990500010666,2484,1364,1344
B,B,True,6.006147199994302,1710,659,640
C,B,True,9.09700029999658,2071,1043,1024
D,D,True,3.7128942999988794,1558,403,384
B,B,True,6.664242999991984,1784,787,768
D,C,True,4.767747799996869,1447,403,384
D,D,True,4.108448899991345,1359,403,384
B,C,True,8.211430299998028,1763,723,704
A,C,True,7.760855300002731,1897,915,896
B,D,True,12.426997399990796,2544,1364,1344
A,D,True,4.405512600002112,1316,403,384
C,D,True,6.722642399996403,1624,595,576
B,A,True,9.734189399998286,2227,1043,1024
C,D,True,5.724025500006974,1936,531,512
B,D,True,18.225201299996115,3421,1939,1920
B,B,True,6.453071900003124,2000,659,640
C,C,True,7.326382899991586,1747,787,768
