answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,C,True,4.658963699999731,1871,487,554
A,C,True,26.79967160000524,2251,1190,1188
B,D,True,8.309900299995206,1470,414,515
C,C,True,5.504577400002745,1428,334,402
C,C,True,5.792382399988128,1700,411,498
D,D,True,24.817776500000036,2065,524,581
D,B,True,11.128530599991791,1681,511,529
C,A,True,13.075616499991156,1739,593,616
B,D,True,12.310742400004528,1675,440,518
D,B,True,9.052410100004636,1572,383,456
C,D,True,8.526671699990402,1099,1,0
C,D,True,6.076420500001404,1487,392,463
C,B,True,3.6652578999928664,1707,493,609
C,C,True,8.783586199991987,1876,537,506
B,A,True,5.6696837000054074,1675,418,530
C,C,True,17.097151900001336,1774,546,629
D,A,True,25.198383800001466,2360,978,1056
B,A,True,32.52507190000324,1550,371,471
D,C,True,17.489140000005136,2193,952,1077
D,D,True,17.35576010000659,1789,658,722
B,C,True,16.108995300004608,1916,662,609
A,A,True,12.585123000011663,1800,637,690
B,C,True,3.5963040000060573,1416,1,0
A,B,True,7.699212499996065,1395,300,345
C,C,True,8.133501400006935,1671,438,554
B,D,True,2.9417815000051633,1812,399,490
C,B,True,15.185396000000765,2620,962,1256
B,D,True,25.316388000006555,2002,253,317
B,B,True,10.27119820000371,2459,858,1167
C,C,True,4.734933300002012,1143,1,0
