answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,B,True,2.841792599996552,2343,4,0
A,D,True,2.487374800010002,2535,4,0
D,D,True,2.7244599999976344,2503,4,0
C,B,True,2.477141599985771,2531,4,0
D,D,True,3.365409999998519,2428,4,0
B,D,True,2.4108356999931857,2644,4,0
C,C,True,2.9213380000001052,2529,4,0
D,D,True,2.5882740000088234,2588,4,0
D,D,True,2.480886300007114,2948,4,0
C,D,True,2.7168451999896206,2361,4,0
B,D,True,2.5144826999894576,2516,4,0
C,C,True,2.6807967999920947,2554,4,0
A,A,True,2.9135888000018895,2706,4,0
C,D,True,2.5548331000027247,2373,4,0
A,C,True,2.3492911999928765,2672,4,0
A,D,True,2.630457799998112,2861,4,0
C,C,True,3.140836599995964,2928,4,0
C,D,True,2.9899268000008306,2373,4,0
B,B,True,2.1642589999974007,2787,4,0
C,D,True,2.3556590999942273,2763,4,0
D,A,True,2.5412494000047445,2530,4,0
A,B,True,2.7637006000004476,2552,4,0
D,D,True,2.628466499998467,2373,4,0
D,D,True,2.5232741000072565,2877,4,0
D,D,True,3.3207242999924347,2572,4,0
A,A,True,2.8709440999955405,3247,4,0
B,C,True,2.6794844000105513,2657,4,0
A,D,True,3.8628399000008358,2373,4,0
A,A,True,3.65807340000174,2977,4,0
D,D,True,3.4644947000051616,2640,4,0
C,D,True,2.5102180000103544,2373,4,0
