answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,7.4278985999990255,2776,1,728
A,A,True,9.936425799998688,3137,1,928
D,D,True,9.756922499989741,3138,1,947
C,C,True,12.734501300001284,3513,1,1301
D,D,True,9.550477699987823,2933,1,818
B,D,True,14.279664299989236,3737,1,1436
C,C,True,10.465943399991374,3226,1,1018
D,D,True,11.916864800004987,3479,1,1206
D,D,True,13.417165399994701,3907,1,1310
C,C,True,11.000664499995764,3047,1,981
B,C,True,13.379636700003175,3516,1,1329
C,C,True,12.37740239998675,3320,1,1081
A,A,True,14.821045999997295,3779,1,1421
C,D,True,9.701785099998233,2927,1,856
A,A,True,12.560878699994646,3544,1,1203
A,A,True,15.413965200001257,4063,1,1572
C,C,True,14.412999799998943,3871,1,1323
C,A,True,13.748810000004596,3189,1,1118
B,B,True,10.53985780000221,3402,1,968
C,C,True,16.232095699990168,3987,1,1575
D,D,True,14.855840600008378,3719,1,1500
A,D,True,12.236870299995644,3349,1,1126
D,A,True,10.642397100004018,3040,1,969
D,D,True,13.405916100004106,3811,1,1308
D,B,True,12.31385049999517,3502,1,1256
A,A,True,20.014976500009652,4854,1,2012
B,B,True,12.549396299989894,3501,1,1179
A,A,True,10.236529599991627,3004,1,933
A,A,True,13.238380099995993,4001,1,1396
D,D,True,11.318904799991287,3208,1,902
C,A,True,13.627379400000791,3189,1,1118
