answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,3.3622006000077818,2531,1.0,483
A,A,True,37.00006979997852,8133,1.0,5924
D,D,True,3.968848100019386,2699,1.0,508
C,B,True,3.905924300022889,2734,1.0,518
D,D,True,13.80516859999625,4280,1.0,2159
B,D,True,10.367157700005919,4075,1.0,1770
C,C,True,3.69585369998822,2767,1.0,555
D,D,True,10.814460199995665,3957,1.0,1680
D,D,True,290.3092343999888,65524,,62911
C,C,True,4.613783600012539,2701,1.0,635
B,C,True,309.1977793999831,65097,,62911
C,C,True,6.060142600006657,3081,1.0,841
A,A,True,22.25531159999082,6035,,3678
C,B,True,15.449551000026986,4587,1.0,2516
A,B,True,9.070510699995793,3748,1.0,1403
A,B,True,13.129207499994664,4639,1.0,2148
C,C,True,5.025395800010301,3300,1.0,748
C,B,True,15.565859800000908,4587,1.0,2516
B,B,True,8.678837899991777,3773,1.0,1335
C,C,True,25.931712999998126,6751,1.0,4338
D,D,True,6.307878699997673,3315,1.0,1096
A,D,True,21.617851199989673,5661,1.0,3434
D,B,True,15.491843099996913,4587,1.0,2516
D,D,True,9.703100199985784,4020,,1513
D,D,True,314.2947603999928,65161,,62912
A,A,True,18.977175799984252,5778,1.0,2935
B,B,True,20.86826230000588,5731,1.0,3409
A,B,True,15.377312199998414,4587,1.0,2516
A,A,True,3.653881599981105,3099,1.0,491
D,D,True,316.8664837999968,65220,,62912
C,B,True,15.426759599999059,4587,1.0,2516
