answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,8.427647700009402,2526.0,1.0,478.0
A,A,True,10.142083500046283,2758.0,1.0,549.0
D,D,True,6.662971599958837,2549.0,1.0,358.0
C,C,True,41.54482629999984,5114.0,1.0,2902.0
D,,False,,,,
B,D,True,45.75396269996418,5403.0,1.0,3102.0
C,C,True,9.271969599998556,2717.0,1.0,509.0
D,D,True,55.573623200005386,6192.0,1.0,3919.0
D,D,True,10.676854000019375,3203.0,1.0,606.0
C,C,True,11.51058549998561,2691.0,1.0,625.0
B,B,True,28.859508700028528,4469.0,1.0,2282.0
C,C,True,13.906542000011541,3046.0,,808.0
A,A,True,11.792447899992112,3131.0,1.0,773.0
C,A,True,11.812201499997173,2748.0,1.0,677.0
A,A,True,45.882228899979964,5561.0,1.0,3220.0
A,A,True,11.30330969998613,3174.0,,684.0
C,C,True,10.263028500019573,3058.0,1.0,510.0
C,A,True,11.37754680000944,2748.0,1.0,677.0
B,B,True,12.678908200003207,3222.0,1.0,788.0
C,C,True,23.331811900017783,3810.0,1.0,1398.0
D,D,True,19.121259399980772,3530.0,1.0,1311.0
A,D,True,14.830051299999468,3239.0,,1017.0
D,A,True,11.281781299971044,2748.0,1.0,677.0
D,D,True,7.738228200003505,2980.0,,478.0
D,D,True,18.843240700021852,3563.0,1.0,1317.0
A,A,True,9.438281300012022,3337.0,1.0,495.0
B,B,True,13.197505399992224,3202.0,1.0,880.0
A,A,True,11.932127199950628,2748.0,1.0,677.0
A,A,True,10.336981300031766,3216.0,1.0,611.0
D,D,True,11.373579800012521,3021.0,1.0,715.0
C,A,True,11.174407500016969,2748.0,1.0,677.0
