answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,"
B",True,3.9090894000109984,2058,3,0
A,"
C",True,4.152002300004824,2219,3,0
D,"
D",True,1.480714800010901,2201,3,0
C,"
C",True,1.641091099998448,2222,3,0
D,"
C",True,1.5792816000030143,2125,3,0
B,"
D",True,1.4751132000092184,2311,3,0
C,"
C",True,3.061236599998665,2218,3,0
D,"
A",True,1.435652600004687,2283,3,0
D,"
A",True,1.1849946000002092,2607,3,0
C,"
D",True,1.122669100004714,2076,3,0
B,"
C",True,2.462082599988207,2197,3,0
C,"
A",True,1.1534092000074452,2249,3,0
A,"
C",True,1.5136395000008633,2368,3,0
C,"
B",True,1.0672023000079207,2081,3,0
A,"
A",True,1.1748102999990806,2351,3,0
A,"
A",True,1.5338291999942157,2501,3,0
C,"
A",True,1.6715426000009757,2558,3,0
C,"
B",True,2.565410499999416,2081,3,0
B,"
B",True,1.5312028999906033,2444,3,0
C,"
C",True,1.2494181000074605,2422,3,0
D,"
A",True,1.0303787000011653,2229,3,0
A,"
B",True,1.5400969999900553,2233,3,0
D,"
B",True,1.4638445000018692,2081,3,0
D,"
B",True,1.0042308999982197,2513,3,0
D,"
A",True,1.4151822999992874,2256,3,0
A,"
A",True,1.2473928999970667,2852,3,0
B,"
C",True,1.0262570999911986,2332,3,0
A,"
B",True,1.4197093000111636,2081,3,0
A,"
A",True,1.4212077999982284,2615,3,0
D,"
A",True,1.434144600003492,2316,3,0
C,"
B",True,1.0082098999992013,2081,3,0
