answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,5.49899199999345,2131,339,320
A,B,True,5.292822100003832,2345,403,384
D,A,True,7.578066399990348,2580,659,640
C,C,True,13.394935099990107,2659,723,704
D,C,True,8.349781099997927,2196,339,320
B,D,True,18.211352199999965,3519,1491,1472
C,C,True,10.037988700001733,2793,851,832
D,D,True,8.995201900004758,2782,787,768
D,D,True,5.111581000004662,2614,339,320
C,D,True,15.642767500001355,2983,1171,1152
B,A,True,10.160188599998946,2648,723,704
C,D,True,10.707989100003033,2868,915,896
A,A,True,7.061099700003979,2657,595,576
C,D,True,7.279680799998459,2411,595,576
A,A,True,14.439161799993599,3429,1363,1344
A,B,True,9.001213499999722,3055,851,832
C,A,True,14.163742300006561,3539,1299,1280
C,D,True,8.937058600000455,2603,787,768
B,B,True,8.067776600000798,2876,723,704
C,D,True,22.995698399987305,4448,2323,2304
D,B,True,8.165684699997655,2735,787,768
A,B,True,6.445807299998705,2544,595,576
D,D,True,5.804053500003647,2219,403,384
D,B,True,7.838792399998056,2740,531,512
D,B,True,20.87652920000255,3895,1939,1920
A,A,True,11.301497300009942,3482,979,960
B,C,True,9.735531900005299,2761,723,704
A,D,True,7.397278400007053,2347,531,512
A,A,True,8.773010900011286,3059,787,768
D,B,True,5.08668230001058,2413,403,384
C,D,True,6.326858699991135,2347,531,512
