answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,3.5812466999923345,2133,,470
A,C,True,41.159264000016265,8812,1.0,6959
D,D,True,2.7074760000105016,2085,1.0,383
C,C,True,3.041612900007749,2145,1.0,386
A,C,True,3.586737000005087,2145,,494
D,D,True,4.5104373000212945,2254,1.0,591
B,B,True,3.243504000012763,2010,1.0,422
C,D,True,13.771205299999565,3736,1.0,2093
A,C,True,3.682659000012791,2161,1.0,486
B,B,True,2.7903237999998964,2032,1.0,359
D,D,True,2.6929791000147816,2177,1.0,375
D,D,True,23.39650370000163,5536,1.0,3907
A,A,True,7.334104999987176,2898,1.0,1093
B,B,True,4.342733800003771,2353,1.0,653
D,D,True,10.315920399996685,3562,1.0,1566
B,B,True,2.8575615999870934,2052,1.0,367
D,A,True,307.57225100000505,64617,,62912
A,B,True,22.625575600017328,5178,1.0,3402
C,C,True,7.966345699998783,3100,1.0,1361
B,B,True,3.6126687999931164,2299,1.0,515
D,D,True,5.55793119998998,2595,1.0,743
A,A,True,9.816973900015,3122,1.0,1490
D,D,True,5.546426799992332,2691,,785
D,A,True,4.539837400021497,2615,1.0,707
C,C,True,6.942085099988617,2831,1.0,1041
D,D,True,14.98178880001069,4118,1.0,2327
A,A,True,5.9535673999926075,2723,1.0,934
B,B,True,4.20825260001584,2623,1.0,625
C,D,True,13.716056800010847,3913,1.0,2193
B,B,True,3.201892399985809,2107,1.0,419
B,B,True,5.171117299993057,2680,1.0,872
B,B,True,10.29048620001413,3318,1.0,1547
D,D,True,5.502989700005855,2562,,780
C,A,True,3.193273200013209,2280,1.0,461
A,A,True,4.573214100004407,2481,1.0,639
B,C,True,9.190655099984724,3408,1.0,1440
C,C,True,3.2363776999991387,2310,1.0,416
C,C,True,13.363724199996796,3831,1.0,2109
C,C,True,5.6548406000074465,2922,1.0,922
B,A,True,13.388851600000635,4029,1.0,2158
D,D,True,6.523522800009232,3337,,965
C,A,True,92.03194819999044,17555,,15854
B,B,True,9.892230199999176,3263,1.0,1571
C,C,True,12.35978920001071,3791,1.0,1924
B,B,True,6.251407000003383,2874,1.0,967
C,C,True,3.3158034999796655,2290,,497
C,C,True,3.9241148000000976,2344,1.0,543
C,B,True,25.85463859999436,5960,1.0,4002
A,A,True,12.268489600013709,3726,1.0,2060
C,A,True,13.66801000002306,3761,1.0,2109
C,C,True,3.461713400000008,2175,1.0,535
A,A,True,5.577026899991324,2547,1.0,802
C,C,True,3.6439966000034474,2241,1.0,459
B,B,True,3.7081800999876577,2347,1.0,476
C,C,True,6.86281130000134,2843,1.0,1090
C,A,True,23.580550400016364,5425,1.0,3558
B,B,True,4.216252300015185,2514,1.0,658
C,C,True,308.84297709999373,64632,1.0,62910
A,A,True,2.928181700001005,2018,1.0,384
A,A,True,3.959244600002421,2293,1.0,550
D,D,True,3.2707119999977294,2142,1.0,447
D,D,True,10.144413900008658,3280,1.0,1503
C,B,True,4.716373800009023,2676,1.0,720
C,C,True,3.5772052999818698,2394,1.0,516
B,B,True,3.274036699993303,2139,1.0,437
B,B,True,306.40347990000737,64626,,62912
A,A,True,11.986417200008873,3756,1.0,1823
B,B,True,3.644207200006349,2264,1.0,590
B,B,True,5.603672900004312,2633,1.0,718
C,C,True,4.670447400014382,2525,1.0,651
C,C,True,22.552411599986954,5641,1.0,3772
B,B,True,12.915301400003955,3847,1.0,2047
C,C,True,4.090504499996314,2438,1.0,571
B,D,True,317.64633190000313,64892,,62912
C,C,True,13.537531499983743,4029,1.0,2154
C,C,True,5.67318179999711,2617,1.0,832
D,D,True,5.991043300018646,2563,1.0,880
D,D,True,8.032760200003395,3038,1.0,1196
C,D,True,16.24151239998173,4518,1.0,2538
A,A,True,288.3268825999985,64852,,62912
A,A,True,5.441713100008201,2671,,849
D,D,True,7.311535000015283,3077,1.0,1137
D,A,True,4.023080199985998,2220,1.0,550
A,D,True,5.3252068999863695,2600,1.0,771
C,C,True,4.374551500019152,2299,1.0,609
C,C,True,4.704761800006963,2482,1.0,720
C,C,True,5.953948799986392,2764,1.0,907
D,D,True,12.609121899993625,3803,1.0,2024
B,B,True,4.348338200012222,2276,,557
C,C,True,4.910475899989251,2625,,690
C,C,True,5.783732600015355,2686,1.0,856
B,B,True,5.600842300016666,2868,1.0,767
D,D,True,35.06024060002528,7811,1.0,5643
A,A,True,3.5214834999933373,2209,1.0,533
D,A,True,5.257951000006869,2760,1.0,884
D,D,True,3.9326108999957796,2124,,475
D,D,True,5.236824499996146,2609,1.0,831
B,B,True,4.125229700002819,2562,1.0,543
D,D,True,10.629891899996437,3415,1.0,1588
B,B,True,4.478327599994373,2609,1.0,657
A,D,True,310.0749419000058,64718,,62912
A,C,True,7.595738800009713,3021,1.0,1181
A,A,True,9.984476399986306,3444,,1526
C,C,True,5.727682800003095,2657,1.0,893
B,B,True,5.827201400010381,2775,1.0,890
B,C,True,25.534945299994433,5548,1.0,3751
A,A,True,4.762427099980414,2504,1.0,713
D,A,True,45.91811379999854,9763,1.0,7823
D,D,True,9.659855600009905,3431,1.0,1455
A,A,True,4.142637200013269,2317,1.0,609
B,B,True,4.86840750000556,2350,1.0,647
B,B,True,5.7946274999994785,2623,1.0,867
