answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,3.521247300086543,1386,4,0
C,C,True,3.0444224001839757,1528,4,0
A,D,True,2.575564800063148,1292,4,0
C,C,True,4.2076981998980045,1547,4,0
D,D,True,4.025565899908543,1363,4,0
A,A,True,2.6370679000392556,1551,4,0
D,B,True,2.6990755000151694,1251,4,0
A,B,True,3.39141309983097,1247,4,0
C,D,True,2.5534584000706673,1345,4,0
B,C,True,3.7300411998294294,1150,4,0
C,C,True,2.813667600043118,1462,4,0
C,C,True,2.2338690001051873,1394,4,0
C,C,True,3.145386500051245,1435,4,0
D,C,True,2.938817400019616,1330,4,0
C,C,True,2.6711065999697894,1465,4,0
C,C,True,2.69032570021227,1313,4,0
B,B,True,2.4497858001850545,1569,4,0
D,C,True,2.7498983000405133,1324,4,0
B,D,True,2.9765047000255436,1295,4,0
D,D,True,3.64991689985618,1686,4,0
B,D,True,3.8858845999930054,1367,4,0
A,C,True,2.7454649000428617,1812,4,0
C,B,True,2.667480800068006,1123,4,0
C,B,True,3.099435100099072,1392,4,0
D,D,True,3.8369694999419153,1291,4,0
D,D,True,3.526762400055304,1415,4,0
A,C,True,2.5001850000116974,1448,4,0
C,D,True,2.4977951000910252,1595,4,0
A,C,True,2.3899465000722557,1135,4,0
A,D,True,2.512681799940765,1305,4,0
C,D,True,3.118678699946031,1823,4,0
C,B,True,2.6385051999241114,1396,4,0
D,D,True,2.5984423998743296,1421,4,0
C,D,True,3.319734500022605,1289,4,0
B,C,True,3.0895749998744577,1320,4,0
C,C,True,2.8917756001465023,1274,4,0
B,D,True,3.618133099982515,1109,4,0
D,D,True,3.2944939001463354,1142,4,0
B,A,True,3.386899100150913,1329,4,0
D,D,True,2.99718359997496,1213,4,0
A,D,True,2.6679621001239866,1366,4,0
C,C,True,3.2474720999598503,1274,4,0
B,C,True,2.5473060000222176,1384,4,0
D,C,True,6.524961299961433,1289,4,0
C,C,True,2.9746851997915655,1349,4,0
A,C,True,3.089685699902475,1399,4,0
C,D,True,2.4748418000526726,1216,4,0
C,C,True,2.361002700170502,1462,4,0
C,C,True,2.541737799998373,1327,4,0
A,C,True,2.677190599963069,1672,4,0
C,C,True,2.738375100074336,1453,4,0
D,C,True,2.829700900008902,1373,4,0
B,C,True,2.9684829998295754,1495,4,0
B,C,True,3.214929100126028,1394,4,0
B,C,True,2.6830719001591206,1366,4,0
A,D,True,3.0635359999723732,1345,4,0
B,D,True,4.533326100092381,1301,4,0
B,C,True,6.5767054001335055,1410,4,0
C,C,True,2.24321770016104,1532,4,0
A,C,True,2.5183919998817146,1236,4,0
C,D,True,2.4826547999400645,1485,4,0
C,C,True,2.897625199984759,1600,4,0
C,C,True,3.5261645999271423,1335,4,0
D,D,True,2.5779982001986355,1492,4,0
B,C,True,3.2208897001110017,1248,4,0
B,C,True,2.6671589000616223,1304,4,0
D,C,True,2.5364494000095874,1298,4,0
D,D,True,3.3108182998839766,1367,4,0
D,D,True,2.7082515999209136,1253,4,0
A,B,True,3.4304663999937475,1154,4,0
B,B,True,2.5887877999339253,1356,4,0
B,D,True,2.727995399851352,1334,4,0
C,B,True,2.642449100036174,1531,4,0
D,D,True,3.381931700045243,1609,4,0
C,C,True,4.09508390002884,1565,4,0
C,D,True,3.048149599926546,1518,4,0
C,C,True,3.1741129998117685,1377,4,0
C,C,True,3.4413598999381065,1429,4,0
B,C,True,2.4269972001202404,1524,4,0
A,C,True,2.558233000105247,1188,4,0
A,B,True,2.6626176999416202,1274,4,0
B,C,True,2.8847936999518424,1165,4,0
B,B,True,3.1774437001440674,1525,4,0
D,C,True,2.7187449000775814,2793,4,0
B,D,True,2.4135602000169456,1556,4,0
A,B,True,3.592657000059262,1467,4,0
A,B,True,2.4200268001295626,1560,4,0
C,C,True,2.59794249990955,1562,4,0
C,C,True,3.072322899941355,1359,4,0
D,D,True,3.289387699915096,1457,4,0
A,C,True,3.2493406999856234,1425,4,0
B,B,True,2.852792700054124,1584,4,0
A,B,True,3.621054799994454,1379,4,0
A,C,True,2.0742991000879556,1402,4,0
B,B,True,2.6060693999752402,1279,4,0
D,C,True,3.839792100014165,1399,4,0
C,D,True,2.7186944999266416,2486,4,0
C,D,True,3.2242850998882204,1838,4,0
B,C,True,2.4962490999605507,1363,4,0
C,C,True,4.364397800061852,1789,4,0
B,D,True,3.6800869000144303,1902,4,0
C,C,True,2.6237837998196483,1354,4,0
D,C,True,3.3699745000340044,2032,4,0
A,C,True,2.7396871999371797,1364,4,0
D,B,True,2.5346246999688447,1395,4,0
C,B,True,3.3741964001674205,1793,4,0
C,C,True,2.636657599825412,1701,4,0
C,C,True,2.910542899975553,1281,4,0
B,B,True,6.1762218999210745,1741,4,0
C,C,True,2.3814393000211567,1246,4,0
