answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,0.6782092000357807,1225,1,
C,C,True,1.0581230998504907,1342,1,
A,D,True,1.229269800009206,1156,1,
C,C,True,1.4560597999952734,1375,1,
D,B,True,1.1752866001334041,1198,1,
A,B,True,1.1901400000788271,1374,1,
D,C,True,1.2431310000829399,1097,1,
A,B,True,1.2914148999843746,1104,1,
C,A,True,1.2009153999388218,1183,1,
B,D,True,1.263271100120619,1008,1,
C,C,True,1.0876945999916643,1284,1,
C,C,True,1.4145649001002312,1236,1,
C,D,True,1.3293647998943925,1270,1,
D,B,True,1.4287101000081748,1177,1,
C,D,True,1.3979956000111997,1282,1,
C,C,True,1.3247654000297189,1150,1,
B,B,True,1.3743507999461144,1397,1,
D,D,True,1.2662456000689417,1166,1,
B,B,True,1.5062392000108957,1140,1,
D,D,True,1.406153499847278,1458,1,
B,C,True,1.3969622000586241,1213,1,
A,A,True,1.2719048999715596,1644,1,
C,A,True,1.1624841999728233,991,1,
C,B,True,1.1922420000191778,1226,1,
D,B,True,0.7341738999821246,1143,1,
D,D,True,1.136341400211677,1246,1,
A,C,True,1.38936259993352,1269,1,
C,D,True,1.2627781999763101,1396,1,
A,B,True,1.285054499981925,998,1,
A,D,True,1.3966038001235574,1150,1,
C,C,True,1.2041175998747349,1572,1,
C,B,True,1.251155599951744,1226,1,
D,D,True,1.4758023000322282,1243,1,
C,D,True,1.0574101000092924,1135,1,
B,D,True,1.213071099948138,1166,1,
C,B,True,1.4215850001201034,1118,1,
B,A,True,1.3662837001029402,983,1,
D,B,True,1.3455080999992788,1005,1,
B,A,True,1.2919149999506772,1176,1,
D,A,True,1.3731893000658602,1057,1,
A,A,True,1.246575400000438,1192,1,
C,A,True,1.2615875999908894,1118,1,
B,C,True,1.1421364000998437,1226,1,
D,C,True,1.424919500015676,1128,1,
C,C,True,1.281935199862346,1186,1,
A,D,True,1.2750343000516295,1221,1,
C,B,True,1.264812699984759,1065,1,
C,C,True,1.3529535999987274,1278,1,
C,B,True,1.1449638998601586,1163,1,
A,A,True,0.6452033000532538,1461,1,
C,B,True,0.8083113001193851,1283,1,
D,B,True,0.7594947998877615,1207,1,
B,C,True,0.5494613999035209,1300,1,
B,A,True,0.6545555000193417,1226,1,
B,B,True,0.7147864999715239,1194,1,
A,D,True,0.7608374000992626,1192,1,
B,B,True,0.7482445000205189,1150,1,
B,C,True,0.6227108999155462,1244,1,
C,B,True,0.6851601998787373,1338,1,
A,C,True,0.7837758001405746,1085,1,
C,C,True,0.7563306000083685,1319,1,
C,D,True,0.7766687998082489,1409,1,
C,B,True,0.7826680999714881,1179,1,
D,D,True,0.7791480000596493,1319,1,
B,C,True,0.6002883000764996,1096,1,
B,A,True,0.4928146000020206,1151,1,
D,C,True,0.6709016000386328,1151,1,
D,D,True,0.7556016000453383,1199,1,
D,D,True,0.8004445000551641,1106,1,
A,D,True,0.7899182999972254,1020,1,
B,B,True,0.8365545999258757,1199,1,
B,C,True,0.8326192998792976,1181,1,
C,B,True,0.6865082001313567,1359,1,
D,D,True,0.8275440998841077,1388,1,
C,C,True,0.5809518999885768,1366,1,
C,C,True,0.7622456999961287,1320,1,
C,C,True,0.7402836999390274,1205,1,
C,C,True,0.5161515001673251,1269,1,
B,C,True,0.7820721999742091,1336,1,
A,D,True,0.7786972001194954,1034,1,
A,B,True,0.7927002999931574,1114,1,
B,C,True,0.762815099908039,1032,1,
B,B,True,0.6395582999102771,1334,1,
D,C,True,0.7171537999529392,2546,1,
B,C,True,0.5982284999918193,1344,1,
A,B,True,0.48018090007826686,1287,1,
A,B,True,0.6728036000858992,1373,1,
C,C,True,0.4656352000311017,1372,1,
C,B,True,0.7710448999423534,1188,1,
D,B,True,0.7958575999364257,1281,1,
A,A,True,0.5778017998673022,1249,1,
B,B,True,0.7907263999804854,1378,1,
A,B,True,0.7373201998416334,1207,1,
A,C,True,0.49936489993706346,1238,1,
B,D,True,0.7923702001571655,1120,1,
D,C,True,0.6208166999276727,1250,1,
C,C,True,0.8191694999113679,2159,1,
C,D,True,0.7425784000661224,1649,1,
B,C,True,0.7231858999002725,1199,1,
C,B,True,0.5760535998269916,1579,1,
B,C,True,0.6325496998615563,1668,1,
C,C,True,0.7870229999534786,1199,1,
D,A,True,0.6018374999985099,1737,1,
A,C,True,0.8025107998400927,1197,1,
D,B,True,0.6295624999329448,1221,1,
C,B,True,0.7595632998272777,1565,1,
C,C,True,0.7714917999692261,1492,1,
C,B,True,0.6046270001679659,1130,1,
B,B,True,0.7488191002048552,1510,1,
C,C,True,0.734142400091514,1097,1,
