answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,13.380989199969918,1721,650,640
C,C,True,30.06575780012645,2986,1802,1792
A,D,True,15.556002399884164,1913,906,896
C,C,True,14.820817600004375,1975,778,768
D,D,True,47.08287490019575,3496,2443,2432
A,A,True,14.18145429994911,1783,586,576
D,B,True,19.70378930005245,1878,906,896
A,B,True,39.66972419992089,3409,2442,2432
C,A,True,37.84613720001653,3149,2122,2112
B,C,True,18.384184800088406,1858,970,960
C,B,True,27.938439500052482,2689,1546,1536
C,C,True,18.888542299857363,2055,970,960
C,C,True,27.619935200084,2720,1610,1600
D,D,True,26.80178020009771,2769,1738,1728
C,C,True,18.89486230001785,1914,778,768
C,C,True,18.454250999959186,1850,842,832
B,B,True,17.342675700085238,1990,778,768
D,C,True,35.417513499967754,2706,1674,1664
B,A,True,15.158433599863201,1845,842,832
D,B,True,10.876603400101885,1756,458,448
B,B,True,34.767593499971554,2986,1930,1920
A,A,True,15.860717100091279,2190,778,768
C,A,True,32.02620940003544,2672,1803,1792
C,C,True,23.956464800052345,2440,1355,1344
D,A,True,16.405191199854016,1848,842,832
D,D,True,18.77648689993657,2064,970,960
A,C,True,17.932146799983457,2022,906,896
C,C,True,42.50296019995585,3733,2506,2496
A,A,True,7.683278999989852,1205,330,320
A,D,True,12.079408599995077,1600,586,576
C,C,True,17.51647000014782,2298,906,896
C,C,True,14.90253600012511,1730,650,640
D,D,True,15.690739100100473,2013,906,896
C,D,True,11.616101199993864,1654,650,640
B,C,True,41.851255600107834,2577,1547,1536
C,C,True,19.063735299976543,2148,1163,1152
B,B,True,19.89951550005935,1768,906,896
D,D,True,17.09883480006829,1600,714,704
B,A,True,16.927538899937645,1753,714,704
D,D,True,16.965073100058362,1843,906,896
A,C,True,24.263844199944288,1915,842,832
C,B,True,59.46871679998003,3685,2699,2688
B,B,True,10.777333700098097,1601,522,512
D,D,True,19.262795200105757,1579,586,576
C,A,True,36.14758679992519,2327,1290,1280
A,D,True,16.44185009994544,1733,650,640
C,C,True,32.696353199891746,2734,1803,1792
C,C,True,11.06367400009185,1653,522,512
C,C,True,18.2486557001248,1609,586,576
A,A,True,50.890512299956754,2658,1354,1344
C,D,True,26.606730199884623,2157,1034,1024
D,D,True,21.525017800042406,1952,906,896
B,B,True,19.621714300010353,2123,970,960
B,A,True,12.936700699850917,1727,650,640
B,B,True,19.035989499883726,1951,906,896
A,D,True,15.647556599928066,1884,842,832
B,B,True,14.34483619988896,1663,650,640
B,C,True,36.32032830012031,3216,2123,2112
C,C,True,30.377126400126144,2551,1354,1344
A,B,True,43.1211841001641,2183,1226,1216
C,C,True,12.953943699831143,1865,714,704
C,C,True,38.64092510007322,3626,2378,2368
C,C,True,38.18519000010565,3030,1994,1984
D,D,True,29.708597700111568,2448,1290,1280
B,A,True,17.566717400215566,1806,842,832
B,B,True,30.65933409985155,2304,1290,1280
D,D,True,22.639429499860853,2371,1354,1344
D,C,True,11.990523400017992,1766,714,704
D,D,True,27.074649299960583,1818,842,832
A,A,True,44.73841409990564,2501,1610,1600
B,B,True,13.942303900141269,1696,650,640
B,D,True,24.841432200046256,2000,970,960
C,D,True,21.931315999943763,1592,394,384
D,D,True,10.306793800089508,1635,396,384
C,B,True,21.256569100078195,2192,970,960
C,D,True,28.13250569999218,2000,842,832
C,C,True,23.611373499967158,2347,1290,1280
C,C,True,15.258427100023255,1819,714,704
B,C,True,34.5977626000531,2485,1290,1280
A,A,True,12.500722300028428,1432,522,512
A,C,True,24.959793800022453,2341,1354,1344
B,B,True,17.76517940009944,1619,714,704
B,B,True,22.854191299993545,2017,842,832
D,D,True,58.145542700076476,3825,1674,1664
B,C,True,72.29488739999942,3693,2506,2496
A,B,True,15.921774599933997,2032,906,896
A,A,True,19.23180909990333,2570,1355,1344
C,C,True,37.721122900024056,2443,1226,1216
C,C,True,21.843324900139123,1948,906,896
D,D,True,26.580921800108626,2425,1290,1280
A,C,True,29.40022309985943,2639,1546,1536
B,B,True,16.486877999966964,2112,906,896
A,B,True,15.12798780016601,1904,842,832
A,C,True,35.238220900064334,2518,1418,1408
B,B,True,18.00363970012404,1886,906,896
D,C,True,21.122058500070125,1992,906,896
C,D,True,14.1071721999906,2587,650,640
C,D,True,36.86316609987989,2923,1482,1472
B,C,True,13.490742299938574,1766,714,704
C,C,True,54.18865479994565,4447,3082,3072
B,C,True,54.92651390004903,3802,2314,2304
C,C,True,25.301172900013626,2733,1674,1664
D,D,True,22.804140500025824,2261,714,704
A,C,True,13.976583000039682,1771,714,704
D,B,True,42.66978139989078,2681,1610,1600
C,B,True,49.48516899999231,2779,1418,1408
C,C,True,29.27349320007488,2993,1674,1664
C,C,True,27.73650910006836,2541,1546,1536
B,B,True,14.361345699988306,2058,714,704
C,D,True,41.511144400108606,3020,2058,2048
