answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,C,True,9.499134700046852,1730,659,640
C,C,True,15.245325799798593,2355,1171,1152
A,C,True,12.105789100052789,2050,1043,1024
C,C,True,14.265188899822533,2432,1235,1216
D,C,True,35.74339870014228,4401,3348,3328
A,A,True,12.689718100009486,2240,1043,1024
D,C,True,14.33387629990466,2143,1171,1152
A,C,True,9.81665789987892,1818,851,832
C,C,True,12.539906600024551,2198,1171,1152
B,C,True,6.229590700007975,1483,595,576
C,C,True,5.2969604001846164,1610,467,448
C,D,True,7.470721200108528,1808,723,704
C,A,True,13.110707999905571,2217,1107,1088
D,C,True,7.594901900039986,1754,723,704
C,A,True,7.566397300222889,1859,723,704
C,C,True,16.21085790009238,2371,1363,1344
B,A,True,26.806973099941388,4303,3091,3072
D,D,True,12.52501849993132,2331,1299,1280
B,C,True,5.586570899933577,1470,467,448
D,D,True,5.766701300162822,1701,403,384
B,C,True,13.691336800111458,2419,1363,1344
A,A,True,13.711002700030804,2775,1363,1344
C,A,True,20.9934690000955,3000,2131,2112
C,B,True,8.950708700111136,1936,851,832
D,B,True,8.695787500124425,1793,787,768
D,D,True,7.9505358000751585,1753,659,640
A,D,True,8.256360699888319,1903,787,768
C,C,True,5.640809400007129,1694,467,448
A,A,True,5.152802699944004,1150,275,256
A,C,True,7.6329472998622805,1673,659,640
C,C,True,20.774085600161925,3395,2003,1984
C,C,True,7.156812000088394,1739,659,640
D,D,True,6.5749806999228895,1702,595,576
C,A,True,5.561549999983981,1471,467,448
B,C,True,13.88043210003525,2393,1363,1344
C,C,True,5.103101399959996,1388,403,384
B,A,True,4.22486890014261,1137,275,256
D,D,True,4.6037916000932455,1225,339,320
B,D,True,5.571997199906036,1442,403,384
D,D,True,5.616548300022259,1404,467,448
A,D,True,7.74464049981907,1732,659,640
C,C,True,10.948203400010243,1837,851,832
B,C,True,6.640797300031409,1546,467,448
D,D,True,6.586986100068316,1588,595,576
C,C,True,18.134404300013557,1888,851,832
A,D,True,7.829243800137192,1614,531,512
C,A,True,7.288851999910548,1526,595,576
C,D,True,12.255608800100163,2174,1043,1024
C,C,True,6.415465800091624,1426,403,384
A,A,True,20.20351309981197,2987,1683,1664
C,D,True,9.15026480006054,1782,659,640
D,D,True,9.748627600027248,1897,851,832
B,B,True,9.373627400025725,1940,787,768
B,D,True,7.6801938998978585,1736,659,640
B,B,True,18.393187399953604,2920,1875,1856
A,A,True,8.542506100144237,1829,787,768
B,B,True,11.508079799823463,1928,915,896
B,A,True,17.91507270000875,2776,1683,1664
C,C,True,11.279707300011069,2048,851,832
A,C,True,6.588581599993631,1488,531,512
C,D,True,4.312305600149557,1490,339,320
C,D,True,7.934441300109029,1907,659,640
C,C,True,11.110772400163114,2079,1043,1024
D,D,True,15.453632299788296,2649,1491,1472
B,A,True,9.302814499940723,1751,787,768
B,B,True,16.20327920001,2569,1555,1536
D,C,True,6.399684999836609,1484,467,448
D,D,True,9.654989100061357,1967,915,896
D,C,True,15.075065599987283,2467,1491,1472
A,D,True,4.91342579992488,1294,403,384
B,B,True,12.181289199972525,2217,1171,1152
B,D,True,9.636139300186187,1881,851,832
C,A,True,4.745939600048587,1537,339,320
D,B,True,7.229461899958551,1898,659,640
C,B,True,9.993698099860922,2073,851,832
C,D,True,15.314039699966088,2457,1299,1280
C,C,True,4.681398399872705,1332,275,256
C,C,True,10.361740899970755,1636,531,512
B,C,True,25.019927700050175,2494,1299,1280
A,A,True,9.585624100174755,1697,787,768
A,B,True,10.287494500167668,1838,851,832
B,B,True,3.7702211998403072,1180,275,256
B,B,True,10.434545200085267,2090,915,896
D,C,True,8.163697300013155,2810,659,640
B,D,True,9.739179800031707,2102,915,896
A,B,True,6.61908459989354,1657,531,512
A,A,True,10.592737999977544,1938,723,704
C,C,True,8.27594570000656,1876,659,640
C,D,True,11.212860099971294,1957,915,896
D,D,True,6.545658400049433,1602,467,448
A,A,True,8.104129999876022,1752,659,640
B,B,True,9.318502299953252,2057,851,832
A,B,True,8.216606399975717,1721,659,640
A,C,True,11.370179699966684,2079,979,960
B,D,True,4.1543494001962245,1255,275,256
D,C,True,11.162387500051409,2065,979,960
C,D,True,10.77636900008656,2788,851,832
C,D,True,23.80445779999718,3508,2067,2048
B,C,True,11.800672999816015,2031,979,960
C,C,True,23.728194399969652,3496,2131,2112
B,D,True,11.729285700013861,2531,1043,1024
C,C,True,2.8073072999250144,1206,147,128
D,C,True,19.95024870010093,3550,2003,1984
A,C,True,8.283759000012651,1780,723,704
D,A,True,9.10401300014928,1730,659,640
C,B,True,12.128909700084478,2532,1171,1152
C,D,True,22.269534900086,3578,2259,2240
C,C,True,7.33138360013254,1462,467,448
B,B,True,10.182473799912259,2131,787,768
C,B,True,5.6982594998553395,1429,467,448
