answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,0.5034130999993067,2088,1,
B,C,True,0.9145474999968428,2180,1,
A,A,True,1.0393705000024056,2022,1,
A,A,True,0.8406910000048811,2020,1,
A,C,True,1.0394817000051262,2211,1,
C,C,True,0.9736422999994829,2098,1,
C,D,True,0.8061744000006001,2316,1,
A,A,True,0.9657957000017632,2049,1,
A,A,True,1.0071685000002617,2251,1,
B,A,True,1.1029854000080377,2038,1,
C,D,True,1.0243284000025596,2199,1,
A,C,True,0.9997699000086868,2204,1,
A,A,True,1.0545396999950754,2213,1,
B,B,True,0.9119766999938292,2274,1,
C,D,True,0.8521268000040436,2203,1,
B,A,True,0.7882536000106484,2155,1,
D,A,True,0.8709092999924906,2203,1,
C,A,True,0.917929200004437,2421,1,
A,A,True,0.9390915999974823,2104,1,
A,B,True,1.0583785000053467,2085,1,
C,C,True,0.8755046000005677,2044,1,
D,B,True,1.022519000005559,2097,1,
C,B,True,0.8665878000028897,2212,1,
D,C,True,0.864595700011705,2132,1,
D,B,True,0.8463114000041969,2073,1,
C,D,True,1.0006264000112424,2070,1,
C,C,True,0.8059052000025986,2207,1,
A,C,True,0.9439306999993278,2225,1,
C,B,True,0.9728059000044595,2161,1,
B,D,True,0.8550510999921244,2393,1,
A,C,True,1.0167024999973364,2298,1,
D,A,True,0.9682981999940239,2306,1,
B,C,True,1.0767602999985684,2169,1,
C,A,True,0.9136909000080777,2130,1,
C,C,True,1.1059517999965465,2212,1,
D,C,True,1.041320000003907,2164,1,
B,D,True,0.9044536000001244,2372,1,
C,B,True,0.9387685999972746,2359,1,
B,B,True,0.8529266999976244,2307,1,
D,D,True,0.8284224000090035,2294,1,
C,C,True,0.9715246999985538,2262,1,
D,A,True,0.9985125999955926,2614,1,
A,C,True,0.9625376999902073,2078,1,
D,B,True,0.8365847999957623,2145,1,
C,B,True,0.8447276999941096,2101,1,
B,B,True,0.9044043000030797,2218,1,
A,A,True,0.9777456000010716,2256,1,
A,B,True,0.8474179999902844,2058,1,
B,C,True,0.9570681000041077,2158,1,
B,A,True,0.6893065000040224,2459,1,
C,B,True,0.48166439999477006,2341,1,
A,B,True,0.5269619000027888,2460,1,
C,D,True,0.5398554999992484,2249,1,
A,B,True,0.546713899995666,2370,1,
B,B,True,0.49447439999494236,2449,1,
B,A,True,0.632119200003217,2170,1,
C,C,True,0.5596350999985589,2178,1,
D,A,True,0.43721329999971204,2370,1,
A,A,True,0.5701785999990534,2305,1,
A,A,True,0.44706250001036096,2491,1,
C,C,True,0.4545012000016868,2516,1,
D,C,True,0.49996689999534283,2613,1,
C,B,True,0.507366899997578,2292,1,
B,B,True,0.5970920999970986,2461,1,
D,B,True,0.4514638999971794,2294,1,
C,C,True,0.5035819000040647,2304,1,
A,C,True,0.4809790999861434,2346,1,
C,D,True,0.4523196999944048,2439,1,
A,A,True,0.41962709999643266,2702,1,
C,A,True,0.5584791999863228,2464,1,
D,C,True,0.7726056999963475,2719,1,
D,A,True,0.6357462000014493,2481,1,
D,B,True,0.507658900009119,2678,1,
A,B,True,0.4036400000040885,2246,1,
D,B,True,0.5480790000001434,2541,1,
C,B,True,0.5577366999932565,2935,1,
D,D,True,0.4440094000019599,2498,1,
D,B,True,0.6347578999993857,2508,1,
B,A,True,0.4665021999971941,2355,1,
A,C,True,0.4992707000055816,2211,1,
D,B,True,0.5478814999951283,2242,1,
C,C,True,0.5802117999992333,2343,1,
A,B,True,0.6091493999992963,2329,1,
A,B,True,0.6702478000079282,2169,1,
A,A,True,0.4824654999974882,2845,1,
A,B,True,0.41042999998899177,2196,1,
D,B,True,0.5635351999953855,2352,1,
D,A,True,0.39559149999695364,2463,1,
B,C,True,0.49868699999933597,2519,1,
B,C,True,0.5526646999933291,2328,1,
A,C,True,0.4990460999979405,2396,1,
D,D,True,0.4901447000011103,2308,1,
B,B,True,0.40649090000079013,2514,1,
C,D,True,0.6613776000012876,2354,1,
A,A,True,0.4505621999996947,2612,1,
C,B,True,0.5540286000032211,2359,1,
D,D,True,0.4725373999972362,2423,1,
D,C,True,0.6048038000008091,2327,1,
D,C,True,0.6198158000042895,2553,1,
C,A,True,0.5463687999872491,2541,1,
C,C,True,0.4385650999902282,2585,1,
B,B,True,0.6688219999923604,2373,1,
A,D,True,0.5854667999956291,2350,1,
D,D,True,0.5907790000055684,2145,1,
A,B,True,0.6324443000048632,2169,1,
D,B,True,0.5101422000007005,2291,1,
