answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,10.099216699993121,3116,1,1028
B,C,True,20.751056000008248,4411,1,2231
A,A,True,7.028945400001248,2702,1,680
A,A,True,10.808243799998309,3054,1,1034
A,A,True,11.739230699997279,3465,1,1254
C,C,True,10.826109899993753,3085,1,987
C,B,True,9.68622879999748,3264,1,948
A,A,True,8.615939399998751,2887,1,838
A,A,True,10.342643599986332,3108,1,857
B,B,True,8.46827189999749,2813,1,775
C,D,True,12.88111210000352,3312,1,1113
A,A,True,11.001139100000728,3282,1,1078
A,A,True,9.059540499991272,3096,1,883
B,B,True,11.465307699996629,3446,1,1172
C,D,True,12.704391399995075,3447,1,1244
B,A,True,11.797388400009368,3379,1,1224
D,D,True,10.630347699989215,3147,1,944
C,C,True,11.768859800009523,3594,1,1173
A,A,True,9.49460010000621,2987,1,883
A,D,True,11.43606279999949,3168,1,1083
C,C,True,9.532778400011011,3031,1,987
D,B,True,10.375773699997808,3180,1,1083
C,C,True,13.985205399992992,3735,1,1523
D,D,True,7.496620699996129,2890,1,758
D,D,True,9.393879800001741,2793,1,720
C,A,True,9.038345000008121,2851,1,781
C,C,True,8.462456100009149,3082,1,875
A,A,True,14.549016100005247,3674,1,1449
C,A,True,10.766441400002805,3257,1,1096
B,D,True,13.172548499991535,3730,1,1337
A,A,True,9.861879499992938,3289,1,991
D,D,True,10.477712399995653,3411,1,1105
B,B,True,9.713436400008504,3100,1,931
C,C,True,10.038912100004382,3148,1,1018
C,C,True,7.693565800000215,2925,1,713
D,D,True,10.066563999993377,3128,1,964
B,D,True,12.865961200004676,3624,1,1252
C,A,True,13.492185199997039,3625,1,1266
B,C,True,10.52733189999708,3381,1,1074
D,D,True,27.841388000000734,5336,1,3042
C,C,True,10.604988999999478,3355,1,1093
D,D,True,12.137463900013245,3746,1,1132
A,A,True,10.605181299994001,3039,1,961
D,B,True,8.13000400000601,2938,1,793
C,C,True,9.805809099998442,3058,1,957
B,B,True,11.410712600001716,3385,1,1167
A,A,True,10.290647699992405,3306,1,1050
A,B,True,21.7221930000087,4259,1,2201
B,B,True,14.948498400000972,3498,1,1340
B,D,True,12.375218899993342,3653,1,1194
C,C,True,11.05178259999957,3442,1,1101
A,B,True,10.522665500000585,3296,1,836
C,C,True,12.889766299995244,3629,1,1380
A,A,True,11.963986700007808,3557,1,1187
B,B,True,12.416222200001357,3674,1,1225
B,A,True,8.978130899995449,3079,1,909
C,C,True,9.662901599993347,3153,1,975
D,D,True,12.85855669999728,3746,1,1376
A,A,True,13.189346799990744,3729,1,1424
A,A,True,13.543147799995495,3969,1,1478
C,C,True,15.066039500001352,3879,1,1363
D,A,True,12.673607199991238,3923,1,1310
C,C,True,11.466998999996576,3489,1,1197
B,B,True,11.863318800009438,3603,1,1142
D,B,True,13.40331929999229,3746,1,1452
C,B,True,12.51417070000025,3646,1,1342
A,B,True,12.73254869999073,3654,1,1308
C,C,True,14.566500700006145,4052,1,1613
A,A,True,12.47244650000357,3987,1,1285
C,C,True,10.88157830000273,3499,1,1035
D,D,True,13.620018499990692,4227,1,1508
D,D,True,13.01216050000221,3875,1,1394
D,D,True,16.812930800006143,4344,1,1666
A,A,True,10.218439899996156,3274,1,1028
D,B,True,14.074549100012518,3971,1,1430
C,D,True,15.393631700004335,4409,1,1474
D,D,True,11.688930200005416,3800,1,1302
D,D,True,13.827771800002665,3981,1,1473
B,B,True,11.479214400009369,3511,1,1156
A,C,True,9.354532500001369,3108,1,897
D,D,True,10.554801000005682,3436,1,1194
C,C,True,9.62842510000337,3330,1,987
A,B,True,10.027786399994511,3413,1,1084
A,B,True,18.714449899998726,4192,1,2023
A,A,True,17.91147999999521,4836,1,1991
A,A,True,9.445791499994812,3146,1,950
D,D,True,12.82649720000336,3524,1,1172
D,D,True,17.07368139999744,4213,1,1750
B,B,True,11.62412539999059,3681,1,1162
B,C,True,12.082095599995228,3622,1,1294
A,A,True,9.190578599998844,3266,1,870
D,D,True,10.894561399996746,3429,1,1121
B,B,True,12.795371900007012,3936,1,1422
C,D,True,12.624219300007098,3525,1,1171
A,A,True,12.582916999992449,4038,1,1426
C,C,True,13.379713000002084,3796,1,1437
D,D,True,18.553821599998628,4258,1,1835
D,D,True,9.885936599996057,3264,1,937
D,D,True,14.389437399993767,4051,1,1498
C,C,True,13.952723000009428,3922,1,1381
C,C,True,10.643456000005244,3642,1,1057
B,B,True,9.74966790000326,3388,1,1015
A,B,True,13.996258099999977,3807,1,1457
D,A,True,8.064543100001174,2934,1,789
A,C,True,8.222868400000152,2985,1,816
D,B,True,15.828834200001438,4093,1,1802
