answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,9.523272600024939,2129,295,285
B,B,True,3.969556800031569,2036,126,116
A,A,True,3.7478405000292696,1845,78,68
A,A,True,3.1133109999937005,1852,82,72
A,C,True,5.925606000004336,2094,161,151
C,C,True,3.5803996000322513,1923,86,76
C,B,True,2.7853727000183426,2082,64,54
A,A,True,3.101995499979239,1822,28,18
A,A,True,3.6011684000259265,2060,90,80
B,B,True,1.5968526999931782,1820,34,24
C,D,True,6.548636400024407,2123,198,188
A,B,True,5.306824700033758,2089,151,141
A,A,True,4.240008699998725,2062,124,114
B,B,True,4.223591400019359,2133,150,140
C,D,True,4.132661100011319,2046,113,103
B,B,True,1.7559330000076443,1933,49,39
D,D,True,3.895457099948544,2031,109,99
C,C,True,4.278860700025689,2223,101,91
A,A,True,4.952628500002902,2056,214,204
A,C,True,6.596075200010091,2090,262,252
C,C,True,2.6995377999846824,1869,83,73
D,D,True,6.15204110002378,2061,224,214
C,C,True,4.490547799970955,2167,228,218
D,D,True,6.881666300003417,2066,199,189
D,D,True,3.0071497000171803,1886,70,60
C,A,True,2.669006099982653,1900,86,76
C,C,True,2.9312915999908,1998,83,73
A,B,True,9.678997899987735,2232,287,277
C,D,True,8.176225400005933,2135,241,231
B,D,True,4.606437199981883,2240,130,120
A,A,True,4.25946530001238,2140,131,121
D,D,True,4.839202800008934,2154,136,126
B,B,True,3.4492223999695852,2058,157,147
C,C,True,2.2047094000154175,1926,59,49
C,C,True,2.199306299968157,1984,44,34
D,D,True,5.842446399969049,2007,112,102
B,D,True,6.548849800019525,2328,241,231
C,A,True,4.979826399998274,2227,158,148
B,B,True,3.030047200038098,2098,79,69
D,D,True,4.170587799977511,2118,110,100
C,C,True,3.8143068000208586,2088,112,102
D,D,True,3.9094344999757595,2404,126,116
A,A,True,2.680777100031264,1905,87,77
D,B,True,3.4195154000190087,1954,72,62
C,C,True,2.5168166999937966,1924,83,73
B,B,True,2.605859600007534,2024,82,72
A,A,True,4.335711000021547,2093,135,125
A,A,True,2.8858991999877617,1956,156,146
B,B,True,2.9408428000169806,1996,102,92
B,D,True,4.02317130001029,2278,127,117
C,C,True,6.356798299995717,2236,186,176
A,B,True,3.647975000028964,2262,97,87
C,C,True,3.902064900030382,2054,93,83
A,A,True,5.908533499983605,2237,169,159
B,B,True,3.8241143000195734,2254,100,90
B,B,True,6.670721500006039,2124,227,217
C,C,True,2.841989599983208,1991,87,77
D,D,True,3.778720500005875,2198,127,117
A,A,True,4.590322100033518,2157,137,127
A,B,True,3.476027400000021,2301,100,90
C,C,True,4.055820400011726,2325,114,104
D,D,True,6.097026400035247,2456,165,155
C,C,True,4.549124900018796,2156,160,150
B,B,True,2.9700330999912694,2242,68,58
D,D,True,5.222742600017227,2154,155,145
C,C,True,4.887860400020145,2190,171,161
A,B,True,6.0006642999942414,2248,210,200
C,D,True,6.003604500030633,2336,195,185
A,A,True,4.124543600017205,2489,127,117
C,C,True,4.447525100025814,2254,105,95
D,D,True,7.057363600004464,2602,223,213
D,A,True,8.982902100018691,2510,328,318
D,D,True,9.169677099969704,2654,289,279
A,B,True,6.4604057999677025,2163,198,188
D,B,True,6.680219699977897,2404,176,166
C,B,True,3.9173586000106297,2617,108,98
D,D,True,6.666270099987742,2402,215,205
D,D,True,3.7395622999756597,2326,114,104
B,A,True,3.610816399974283,2142,89,79
A,C,True,4.694620400026906,2094,152,142
D,D,True,5.156202799989842,2153,198,188
C,C,True,2.784308600006625,2144,97,87
A,B,True,4.19283810001798,2162,114,104
A,A,True,3.673615699983202,2016,128,118
A,A,True,5.677444600034505,2693,181,171
A,C,True,4.8286629000213,2103,182,172
D,D,True,3.7644762999843806,2150,93,83
D,C,True,10.293156999978237,2552,402,392
B,B,True,2.5956139000481926,2277,69,59
B,C,True,8.981241999950726,2272,231,221
A,D,True,5.975545199995395,2307,202,192
D,D,True,4.2508803000091575,2153,131,121
B,B,True,2.864670399983879,2286,81,71
C,D,True,4.232326400000602,2211,151,141
A,A,True,3.0094843999831937,2373,95,85
C,A,True,5.924948300002143,2292,228,218
D,D,True,5.092060599999968,2299,180,170
D,D,True,4.08711459999904,2143,107,97
D,D,True,5.202097900037188,2412,180,170
C,C,True,3.122224399994593,2330,103,93
C,C,True,4.556535899988376,2438,168,158
B,B,True,6.535385600000154,2242,160,150
A,C,True,6.248042099992745,2269,199,189
D,A,True,5.315723299980164,2021,141,131
A,C,True,2.85551470000064,2003,101,91
D,B,True,6.980598299996927,2315,299,289
