answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,3.519065899999987,2160,,475
A,A,True,3.070315599998139,2286,1.0,411
D,D,True,3.0714871999989555,2186,1.0,462
C,C,True,3.2709936999999627,2299,1.0,518
A,C,True,3.4056535000017902,2167,,494
D,D,True,3.276539499998762,2200,1.0,515
B,B,True,3.0704029999978957,2069,1.0,459
C,D,True,14.435077199999796,4105,1.0,2440
A,C,True,3.0718239000016183,2122,1.0,425
B,B,True,3.2597531999999774,2240,1.0,545
D,D,True,3.380740500000684,2343,1.0,519
D,D,True,2.978909500001464,2118,1.0,467
A,A,True,5.42147549999936,2636,1.0,809
B,B,True,3.1222357000006014,2173,1.0,451
D,D,True,3.6446297000002232,2512,,495
B,B,True,3.55854669999826,2255,1.0,548
D,C,True,25.670743200000288,6197,1.0,4469
A,B,True,23.64920599999823,5631,1.0,3833
C,C,True,3.5384690999999293,2319,1.0,558
B,B,True,3.882805900000676,2391,1.0,585
D,D,True,4.61281980000058,2569,1.0,695
A,C,True,14.6947325000001,3831,1.0,2177
D,D,True,4.186890699998912,2527,1.0,598
D,A,True,5.208157300003222,2774,,845
C,C,True,8.86082080000051,3245,1.0,1433
D,B,True,8.063057800001843,3091,1.0,1278
A,C,True,4.506836900000053,2571,1.0,760
B,B,True,3.5839500000001863,2582,1.0,562
C,D,True,9.949712400000863,3336,1.0,1594
B,B,True,4.188613500002248,2405,1.0,695
B,B,True,4.0018127000003005,2478,1.0,648
B,B,True,6.8817524000005506,2780,1.0,987
D,D,True,4.124744299999293,2415,1.0,610
C,A,True,3.8190114999997604,2455,1.0,614
A,A,True,4.240247399997315,2495,1.0,631
B,C,True,6.230577900001663,3024,1.0,1034
C,C,True,3.8328146999992896,2459,1.0,543
C,C,True,4.894498699999531,2439,1.0,695
C,C,True,4.707877400000143,2731,1.0,709
B,A,True,5.287402400001156,2705,,813
D,D,True,5.148572800000693,3174,1.0,779
C,D,True,9.070979599997372,3273,1.0,1549
B,B,True,17.39366869999867,4594,1.0,2880
C,C,True,8.850046999999904,3272,1.0,1383
B,A,True,20.054161799998838,5045,1.0,3116
