answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,14.440995400000247,2650,1.0,964
A,A,True,16.951520800000253,3262,1.0,1387
D,D,True,9.838515399999778,2511,1.0,787
C,C,True,10.26929950000067,2431,1.0,650
A,C,True,10.05676719999974,2367,1.0,693
D,D,True,10.88864569999987,2447,1.0,762
B,B,True,14.229192599999806,2765,1.0,1155
C,C,True,47.82754429999932,5888,1.0,4223
A,C,True,9.042284500000278,2340,1.0,643
B,B,True,8.270517099999779,2332,1.0,637
D,D,True,8.749832700000297,2475,1.0,651
D,D,True,18.24865150000005,2938,1.0,1287
A,A,True,19.41385519999949,3286,1.0,1459
B,B,True,10.126960300000064,2491,1.0,769
D,D,True,10.227463799999896,2775,1.0,757
B,B,True,12.64806739999949,2541,1.0,834
D,C,True,20.44691839999996,3270,1.0,1542
A,A,True,21.035864200000105,3624,,1827
C,C,True,11.503454200000306,2732,1.0,971
B,B,True,11.387891000000309,2638,1.0,832
D,D,True,13.381097699999373,2832,1.0,958
A,B,True,20.374633299999914,3143,1.0,1489
D,D,True,14.038448500000413,2860,1.0,931
D,A,True,14.634784500000023,3174,,1245
C,C,True,15.069915199999741,3220,1.0,1408
D,D,True,48.63356659999954,5868,,4056
A,C,True,14.8479755999997,2948,1.0,1137
B,B,True,10.692777599999317,2709,1.0,689
C,C,True,15.83568220000052,3045,1.0,1303
B,B,True,10.768956699999762,2411,1.0,701
B,B,True,13.575928199999908,2761,1.0,931
B,C,True,27.868687399999544,3983,1.0,2190
D,D,True,13.636721200000466,2772,1.0,967
C,A,True,11.245904599999449,2665,1.0,824
A,A,True,14.245537900000272,2904,1.0,1040
B,C,True,17.695452300000397,3277,1.0,1287
C,C,True,11.937120700000378,2786,1.0,870
C,D,True,19.767553399999997,3231,1.0,1487
C,C,True,10.991728599999988,2798,1.0,776
B,B,True,27.831957399999737,4158,1.0,2265
D,D,True,12.409566500000437,3217,1.0,822
C,C,True,28.258687999999893,4456,1.0,2732
B,B,True,13.221647299999859,2719,1.0,1005
C,C,True,35.8021617000004,4709,1.0,2820
B,B,True,15.597622899999806,3229,1.0,1300
C,C,True,11.235301800000343,2574,1.0,758
C,C,True,12.80848270000024,2878,1.0,1055
C,B,True,13.057380799999919,3042,1.0,1062
A,A,True,32.94914710000012,4386,1.0,2698
C,C,True,9.270739800000229,2329,1.0,655
C,C,True,18.850166700000045,3025,1.0,1363
A,A,True,14.161366899999848,2900,,1134
C,C,True,10.340695199999573,2655,1.0,851
B,B,True,13.011709800000062,2861,1.0,968
C,C,True,15.069293900000048,2903,1.0,1128
C,A,True,26.251774600000317,3814,1.0,1925
B,B,True,12.954179500000464,2749,1.0,871
C,C,True,10.64755629999945,2562,,819
A,A,True,11.502127500000825,2435,,780
A,A,True,9.671410199999627,2493,1.0,728
D,D,True,10.132386700000097,2433,1.0,716
D,D,True,15.1025024999999,2953,1.0,1154
C,C,True,20.975529500000448,3544,1.0,1566
C,C,True,9.482198200000312,2683,1.0,783
B,B,True,9.760051299999759,2621,1.0,897
B,B,True,39.73918759999924,4656,1.0,2919
A,A,True,59.056476900000234,6605,1.0,4650
B,B,True,18.402022400000533,3157,1.0,1461
B,B,True,12.74599709999984,2884,1.0,947
C,C,True,12.155123700000331,2954,1.0,1058
C,C,True,22.094724900000074,3447,,1557
B,B,True,25.670033800000056,3955,1.0,2133
C,C,True,12.510708699999668,2839,1.0,950
B,B,True,36.182794499999545,4601,1.0,2598
C,C,True,14.637956900000063,3098,1.0,1201
C,C,True,13.369136700000126,2670,1.0,863
D,D,True,12.061242699999639,2622,1.0,917
D,D,True,31.662659199999325,4203,1.0,2339
C,C,True,15.155855399999382,3130,1.0,1128
A,A,True,37.20045560000017,5018,1.0,3055
A,A,True,13.903046200000063,2926,1.0,1081
D,D,True,13.335119599999416,3097,1.0,1135
D,A,True,31.319615100000192,4004,1.0,2312
A,A,True,18.02848670000003,3254,1.0,1403
C,C,True,12.565427900000032,2598,1.0,886
C,C,True,12.021478900000147,2730,1.0,946
C,C,True,12.036671500000011,2719,1.0,840
D,D,True,13.411021800000526,2845,1.0,1044
B,B,True,9.908108900000116,2461,1.0,719
C,C,True,11.515729199999441,2799,1.0,841
C,C,True,9.846808199999941,2572,1.0,720
B,B,True,15.34680810000009,3372,1.0,1249
D,D,True,26.561648800000512,4227,1.0,2037
A,A,True,13.528704299999845,2689,1.0,991
D,A,True,14.171747200000027,3119,1.0,1221
D,D,True,10.724788200000148,2564,1.0,892
D,D,True,12.162481200000002,2707,1.0,907
B,B,True,9.837732100000721,2734,1.0,693
D,D,True,11.656187200000204,2816,1.0,967
B,B,True,13.62858419999975,3002,1.0,1028
A,B,True,33.97541799999999,4449,1.0,2620
A,C,True,13.83174710000003,2940,1.0,1078
A,A,True,15.470040100000006,3092,1.0,1151
C,C,True,13.585477600000559,2813,1.0,1027
B,B,True,11.424144399999932,2690,,784
B,D,True,18.071360199999617,3133,1.0,1314
A,A,True,13.796857499999533,2928,1.0,1115
D,A,True,20.980446499999744,3622,1.0,1660
D,D,True,18.0647869000004,3664,1.0,1666
A,A,True,15.752831199999491,2808,1.0,1078
B,B,True,17.510909300001003,3121,1.0,1396
B,B,True,10.199956899999961,2551,,774
A,C,True,73.72815489999994,7830,1.0,5905
B,B,True,13.245643799999016,2969,1.0,1126
D,C,True,12.237683199999083,2771,1.0,890
C,C,True,19.863329099998737,3364,1.0,1379
B,B,True,17.886713200001395,3355,1.0,1457
B,D,True,11.395266199999242,2843,,944
B,B,True,11.380028499999753,2576,1.0,907
C,C,True,13.119634600001518,2897,1.0,995
C,D,True,13.264016099999935,2689,1.0,916
D,B,True,11.70108000000073,2775,1.0,948
B,B,True,11.94051330000002,2690,1.0,933
C,C,True,11.30320859999847,2804,,945
A,C,True,26.375804699999208,3593,1.0,2009
B,B,True,12.171063099998719,2747,1.0,873
A,A,True,14.645604900000762,3170,1.0,1137
A,A,True,48.17662580000069,6538,1.0,4365
C,C,True,15.461098400000992,3228,1.0,1298
A,A,True,12.822231800000736,3188,1.0,1214
D,D,True,15.8802040999999,3149,1.0,1130
C,C,True,15.29484550000052,3220,1.0,1174
