answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,12.451579799992032,2951,1,1265
A,C,True,14.633468699990772,3400,1,1525
D,D,True,7.79787129999022,2455,1,731
C,C,True,10.09516120000626,2630,1,849
A,C,True,11.315670300013153,2778,1,1104
D,D,True,6.713541900011478,2301,1,616
B,C,True,8.162821000005351,2411,1,801
C,D,True,19.57372650000616,3858,1,2193
A,C,True,7.925671499979217,2478,1,781
B,B,True,9.11425130002317,2540,1,845
D,D,True,7.364730800007237,2531,1,707
D,D,True,7.519193600019207,2288,1,637
A,A,True,8.682608100003563,2664,1,837
B,D,True,9.77470790001098,2753,1,1031
D,D,True,11.812318000011146,3009,1,991
B,B,True,7.386986799974693,2405,1,698
D,C,True,37.845322300010594,2732,1,1004
A,A,True,25.051151699997718,4506,1,2708
C,C,True,10.875685800012434,2868,1,1107
B,B,True,8.152065300004324,2476,1,670
D,D,True,14.59954039999866,3359,1,1485
A,B,True,10.528895499999635,2622,1,968
D,D,True,10.268051699997159,2924,1,995
D,A,True,9.975744700001087,2961,1,1031
C,C,True,11.60034660002566,2988,1,1176
D,D,True,8.679132699995534,2639,1,826
A,C,True,11.74594569997862,3010,1,1199
B,B,True,10.70406560000265,3123,1,1103
C,C,True,21.593546200019773,4031,1,2289
B,B,True,11.528361600008793,2783,1,1073
B,B,True,14.600115600012941,3069,1,1239
B,B,True,9.086693699995521,2592,1,799
D,D,True,11.394784400006756,2950,1,1145
C,C,True,22.637589599995408,4294,1,2453
A,A,True,9.616775700007565,2728,1,864
B,B,True,15.847070999996504,3581,1,1591
C,C,True,9.871344599989243,2894,1,978
C,D,True,19.594765099987853,3608,1,1864
C,C,True,11.193468199984636,3099,1,1077
B,A,True,18.835261000000173,3808,1,1915
D,D,True,15.022236299992073,3820,1,1425
C,A,True,13.198153300007107,2523,1,799
B,B,True,11.983809199999087,2923,1,1209
C,C,True,12.619849699985934,3162,1,1273
B,B,True,12.434330299991416,3088,1,1159
C,C,True,9.753195700002834,2771,1,955
C,C,True,9.483302100008586,2703,1,880
C,C,True,29.41726660000859,5226,1,3246
A,A,True,15.33066669999971,3326,1,1638
C,C,True,10.559499700000742,2643,1,969
C,C,True,9.087059800018324,2631,1,969
A,A,True,10.227321399986977,2810,1,1043
C,C,True,10.031587400007993,2802,1,998
B,B,True,12.376750900002662,3141,1,1248
C,C,True,10.246968999999808,2817,1,1042
C,A,True,8.18522829998983,2678,1,789
B,B,True,7.215682899986859,2608,1,730
C,C,True,9.774529600021197,2756,1,1012
A,A,True,4.946310400002403,2115,1,459
A,A,True,8.236624600016512,2662,1,897
D,D,True,6.413607899972703,2370,1,653
D,B,True,10.46218930001487,2853,1,1054
C,C,True,15.856172100000549,3589,1,1611
C,C,True,9.87619489998906,2928,1,1028
B,B,True,9.810071999992942,2692,1,968
B,B,True,14.71175210000365,3392,1,1655
A,C,True,13.08224310001242,3210,1,1255
B,B,True,6.70004379999591,2347,1,651
B,B,True,8.366492800007109,2726,1,789
C,C,True,11.443041199992876,2955,1,1059
C,C,True,11.55372460000217,3073,1,1182
B,B,True,13.2874376999971,3136,1,1314
C,C,True,10.31462720001582,2932,1,1043
B,B,True,16.72904160001781,3801,1,1798
C,C,True,12.707218499999726,3135,1,1238
C,C,True,10.169307400006801,2798,1,991
D,D,True,8.99408560001757,2564,1,859
D,D,True,12.03313719999278,3020,1,1156
C,C,True,13.025064699992072,3314,1,1312
A,A,True,16.47220289998222,3531,1,1568
A,A,True,15.996370900014881,3332,1,1487
D,D,True,9.164759000006597,2949,1,987
D,A,True,12.326795600005426,2858,1,1166
A,A,True,11.121612999995705,2871,1,1020
C,C,True,12.76392460000352,3113,1,1401
C,C,True,11.185126800002763,2735,1,951
C,C,True,12.523349499999313,3090,1,1211
D,D,True,8.980008999991696,2645,1,844
B,B,True,7.406566499994369,2542,1,800
C,C,True,8.470952700008638,2766,1,808
C,C,True,7.597191499982728,2642,1,790
B,B,True,11.784171000006609,3366,1,1243
D,A,True,18.749037400004454,4255,1,2065
A,A,True,9.311198600014905,2554,1,856
