answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,C,True,0.5307287000032375,1724,1,
A,A,True,1.0076230999984546,1859,1,
D,D,True,1.1330778999981703,1724,1,
C,A,True,1.167682400002377,1805,1,
A,C,True,0.8546193999936804,1658,1,
D,A,True,1.1886824999965029,1692,1,
B,A,True,1.2929166000103578,1656,1,
C,A,True,1.00732479999715,1664,1,
A,A,True,1.0302671999961603,1725,1,
B,B,True,0.7427575000037905,1707,1,
D,D,True,1.0674751000042306,1747,1,
D,B,True,0.8246830999996746,1655,1,
A,C,True,1.009028300002683,10497,1,
B,C,True,1.1218627000052948,1761,1,
D,D,True,0.7924506999988807,1804,1,
B,D,True,1.0796976999990875,1714,1,
D,C,True,1.269580699998187,1761,1,
A,C,True,1.3989629999996396,1805,1,
C,C,True,1.0129735999944387,1807,1,
B,B,True,0.9812001999962376,1794,1,
D,B,True,1.2265153000043938,1868,1,
A,B,True,0.9312439000059385,1645,1,
D,A,True,0.9474770000088029,1982,1,
D,B,True,1.2294174999988172,1954,1,
C,D,True,1.152845399992657,1835,1,
D,B,True,1.0301276000100188,1816,1,
A,B,True,1.2321239000011701,1835,1,
B,C,True,1.1381732000008924,2028,1,
C,A,True,0.782523100002436,1748,1,
B,A,True,1.2616840999980923,1685,1,
B,B,True,1.328631199998199,1872,1,
B,D,True,1.0020708000083687,1818,1,
D,C,True,0.9606966999999713,1823,1,
C,C,True,1.250092100002803,1855,1,
A,C,True,1.2724895999999717,1906,1,
B,C,True,1.1210227999981726,1972,1,
C,B,True,0.8160530000022845,1966,1,
C,C,True,1.0216999999975087,1783,1,
C,A,True,1.1130345999990823,2070,1,
B,A,True,1.1814956999878632,1926,1,
D,C,True,0.8891207000124268,2456,1,
C,C,True,0.9934353999997256,1726,1,
B,D,True,0.9556982000067364,1730,1,
C,A,True,1.1562881999998353,1909,1,
B,C,True,0.744551900002989,2044,1,
C,B,True,1.4232765000051586,1844,1,
C,D,True,1.0484232000017073,1855,1,
C,A,True,1.3984292999957688,2002,1,
A,C,True,1.1334214999951655,1647,1,
C,A,True,0.8058503000065684,1661,1,
C,D,True,0.702367999998387,1700,1,
A,B,True,0.47888270000112243,1781,1,
C,C,True,0.5340629999991506,1841,1,
B,B,True,0.5819776999996975,1894,1,
C,C,True,0.5662472999974852,1769,1,
C,C,True,0.7683663000061642,1900,1,
B,B,True,0.58562919999531,1923,1,
C,B,True,0.3798963000008371,1743,1,
A,C,True,0.5831727000040701,1690,1,
A,C,True,0.7549561000050744,1788,1,
D,B,True,0.823020899988478,1724,1,
D,B,True,0.6898883000103524,1826,1,
C,A,True,0.7559907000104431,1981,1,
C,C,True,0.7166233000025386,1902,1,
