answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,8.00465079996502,1784,205,195
A,C,True,6.025546399992891,1866,170,160
D,D,True,4.5012420999701135,1700,122,112
C,A,True,5.089905300003011,1816,159,149
A,A,True,4.73738730000332,1689,171,161
D,D,True,3.1483878000290133,1685,137,127
B,D,True,2.8838806999847293,1641,133,123
C,D,True,10.956298200006131,2086,565,555
A,C,True,3.043633699999191,1674,93,83
B,B,True,1.3720647000009194,1594,36,26
D,D,True,1.672017999982927,1651,55,45
D,C,True,5.486057300004177,1797,290,279
A,C,True,8.028351200046018,9803,377,367
B,B,True,5.073345400043763,1815,207,197
D,D,True,5.820084900013171,1873,223,213
B,B,True,7.366824299970176,1893,328,318
D,D,True,10.636619900004007,2075,470,460
A,A,True,6.681395500025246,1923,272,262
C,C,True,5.196540699980687,1829,180,170
B,B,True,7.903959800023586,1934,304,294
D,D,True,4.2214184000040404,1839,119,109
A,C,True,4.975147999997716,1706,204,194
D,D,True,4.503984900016803,1979,170,160
D,B,True,4.606781799986493,1916,131,121
C,D,True,2.5888737000059336,1781,99,89
D,B,True,7.091824200004339,1981,324,314
A,C,True,6.252230399986729,1955,271,260
B,B,True,15.06462169997394,2591,737,727
C,C,True,11.042238100024406,2214,621,611
B,D,True,5.471061100019142,1734,192,182
B,B,True,5.815992399991956,1871,170,160
B,D,True,8.357704900030512,1971,307,297
D,D,True,2.805749899998773,1775,108,98
C,A,True,4.248912500042934,1813,118,108
A,A,True,2.831642400007695,1830,78,68
B,D,True,6.1599406999885105,2008,209,199
C,C,True,2.925846799975261,1894,80,70
C,C,True,3.570527299947571,1759,127,117
C,C,True,3.1006909999996424,1989,102,92
B,B,True,4.534128999977838,1935,175,165
D,D,True,3.1858606000314467,2335,109,99
C,D,True,14.519057700003032,2256,677,667
B,D,True,6.847106800007168,1885,313,303
C,B,True,4.3687744999770075,1910,174,164
B,B,True,4.288462899974547,2047,181,171
C,B,True,7.787416899984237,2081,395,385
C,B,True,7.4414627000223845,2053,353,343
C,B,True,5.498847400012892,2017,211,201
A,A,True,4.804212199989706,1622,119,109
C,C,True,4.878620800038334,1737,216,206
C,D,True,3.0303880000137724,1680,130,120
A,B,True,6.347557200002484,1916,286,276
C,A,True,5.795139900001232,1925,242,232
B,B,True,6.2655185999465175,2009,280,270
C,D,True,7.911398299969733,2035,414,404
C,A,True,5.960856300021987,1954,228,218
B,B,True,2.9271202000090852,1924,136,126
C,B,True,6.981686999963131,1909,308,298
A,C,True,5.834528199979104,1799,253,243
A,C,True,7.506414800009225,1932,287,277
D,D,True,7.368912299978547,1845,266,256
D,D,True,5.589329099981114,1874,211,201
C,D,True,3.4018826000392437,1920,115,105
C,A,True,4.911441400006879,1910,178,168
B,C,True,5.402345900016371,1777,177,167
B,B,True,4.072387400025036,1807,167,157
A,B,True,3.00187909998931,1922,124,114
B,B,True,10.531859099981375,2108,538,528
B,B,True,3.760880999965593,1964,134,124
C,C,True,5.940950300020631,1917,258,248
C,C,True,2.840898800001014,1854,101,91
B,B,True,8.130330400017556,2101,386,376
C,D,True,4.293269200017676,1875,170,160
B,B,True,7.303956500021741,2164,332,322
C,C,True,4.475400900002569,2003,204,194
C,C,True,2.3068276999983937,1754,87,77
D,D,True,3.125088900036644,1696,118,108
D,D,True,3.588692900026217,1870,136,126
C,D,True,2.963826200051699,1902,56,46
A,D,True,9.417597899970133,2088,457,447
A,B,True,8.151515899982769,1961,266,256
D,A,True,5.983075700001791,2083,253,243
D,D,True,9.797396899957675,1864,311,301
A,D,True,8.357764100015629,2074,359,349
C,C,True,9.964811899990309,2035,470,460
C,C,True,4.100892499962356,1803,154,144
C,D,True,2.2450801999657415,1806,83,73
D,D,True,2.816319999983534,1779,105,95
B,B,True,2.6382497999584302,1728,91,81
C,C,True,3.068418400012888,1922,101,91
C,C,True,4.882571700029075,1945,254,244
B,B,True,2.70293169998331,2055,91,81
D,D,True,11.562643500044942,2473,493,483
A,A,True,2.9198619999806397,1628,117,107
D,C,True,22.020981499983463,2900,1122,1112
D,D,True,3.6463986999588087,1644,94,84
D,C,True,3.609450000047218,1757,114,104
B,D,True,3.777733700000681,2086,150,140
D,D,True,6.2044891999685206,1907,180,170
B,B,True,3.808383900031913,2091,176,166
A,B,True,14.083358699979726,2337,637,627
A,A,True,3.983727499959059,1927,168,158
A,B,True,4.5957369999960065,1935,165,155
C,B,True,5.6878521999460645,1880,232,222
B,D,True,9.623376900039148,2192,443,433
B,D,True,4.997734600037802,1870,196,186
A,D,True,6.816605900006834,1968,281,271
D,B,True,8.205489999963902,2126,345,335
D,B,True,3.0472402999876067,1960,117,107
A,A,True,3.788651100010611,1746,138,128
B,D,True,3.039138099993579,1744,136,126
B,C,True,3.24830729997484,1778,123,113
A,C,True,4.277980100014247,1972,182,171
B,C,True,7.35377950000111,1971,285,275
D,C,True,3.8458770000142977,1880,133,123
C,C,True,4.08157660003053,2387,154,144
B,C,True,3.4622748999972828,1877,116,106
B,C,True,5.14230890001636,1761,192,182
B,A,True,7.4851709000067785,1921,377,367
C,C,True,2.7099459000164643,1830,83,73
C,C,True,3.8309239000082016,1828,156,146
D,A,True,6.0776846000226215,1924,232,222
B,B,True,6.723451900004875,1935,298,288
C,C,True,5.884376400033943,1873,164,154
A,B,True,3.8130431000026874,1729,190,180
B,B,True,5.468071799958125,1932,219,209
A,A,True,6.723598300013691,2082,202,192
A,B,True,3.6705701000173576,2160,132,122
C,C,True,4.112240899994504,1968,145,135
A,C,True,4.0193515999708325,1936,156,146
D,D,True,6.5013264999724925,2159,289,279
C,C,True,4.730771500035189,2035,142,132
B,B,True,2.246848799986765,1718,80,70
D,D,True,3.6152482999605127,2151,142,132
D,B,True,4.429860699980054,1944,169,159
B,D,True,1.7169438999844715,1935,59,49
C,B,True,4.24180380004691,1803,155,145
C,D,True,4.2144956000265665,1812,188,178
C,D,True,4.451897199964151,1910,174,164
B,B,True,3.2595819999696687,1829,151,141
C,C,True,3.765933100017719,1839,152,142
D,C,True,10.898166699975263,2252,484,474
C,C,True,12.140521699970122,2493,558,548
A,A,True,2.421175100025721,1830,72,62
B,B,True,5.618680400017183,2934,236,226
B,D,True,2.843905600020662,1799,99,89
B,D,True,14.230573599983472,2488,681,671
C,C,True,4.817850499995984,1955,235,225
A,A,True,2.786109699984081,1587,38,28
B,D,True,15.43786830001045,2429,703,693
C,C,True,4.2152962000109255,1823,142,132
B,B,True,5.855986000038683,1847,148,138
D,B,True,5.575146199960727,2186,165,155
