answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,16.84906680000131,2558,979,960
A,B,True,16.651744399991003,2995,1299,1280
D,A,True,14.609983000002103,2685,1107,1088
C,A,True,7.731579300001613,2188,531,512
A,B,True,12.429693099998985,2561,1043,1024
D,B,True,8.583478699991247,2273,725,704
B,D,True,5.272844200007967,1719,211,192
C,A,True,40.72127660000115,5190,3669,3648
A,C,True,6.847613899997668,1984,403,384
B,B,True,6.654114199991454,1961,403,384
D,D,True,8.070795199993881,2191,595,576
D,D,True,7.734056800007238,1975,468,448
A,C,True,19.09237509999366,10981,1555,1536
B,C,True,16.847258499998134,2907,1299,1280
D,C,True,36.15627649999806,4742,3092,3072
B,C,True,5.514928700009477,1968,403,384
D,A,True,9.784994999994524,2392,787,768
A,A,True,15.833337699994445,2822,1171,1152
C,C,True,11.640530999997281,2564,915,896
B,D,True,9.509584300001734,2289,659,640
D,B,True,11.338292099986575,2571,851,832
A,C,True,17.15615140000591,2864,1362,1344
D,B,True,10.605947200005176,2596,787,768
D,B,True,12.771201399998972,2700,915,896
C,D,True,8.9336433000135,2341,659,640
D,C,True,10.81760629999917,2636,979,960
A,D,True,7.963214200004586,2343,659,640
B,C,True,24.322963500002516,4113,2259,2240
C,D,True,17.074064100001124,3148,1555,1536
B,D,True,10.19285970000783,2201,659,640
B,B,True,23.710038899997016,3448,1747,1728
B,C,True,13.91752779998933,2899,1235,1216
D,D,True,6.946440700005041,2134,467,448
C,A,True,4.106192599996575,1970,275,256
A,D,True,14.747058299995842,3051,1299,1280
B,C,True,6.598720199996023,2394,595,576
C,B,True,16.06417440000223,3305,1491,1472
C,C,True,5.714836600003764,2099,467,448
C,D,True,10.890676299997722,2866,979,960
B,D,True,17.868740099991555,3379,1619,1600
D,C,True,8.326637400008622,2885,659,640
C,A,True,23.799246700000367,3710,2131,2112
B,A,True,6.858227100005024,2167,595,576
C,D,True,6.566207299998496,2267,531,512
B,D,True,11.874737300007837,2973,1107,1088
C,A,True,10.121805700007826,2537,851,832
C,A,True,9.518323900003452,2615,915,896
C,A,True,10.747732299991185,2721,915,896
A,A,True,20.96302910000668,3506,2003,1984
C,B,True,10.762562699994305,2500,979,960
C,D,True,12.9563530000014,2785,1235,1216
A,D,True,14.051588999995147,2865,1235,1216
C,A,True,7.603226300008828,2278,595,576
B,B,True,56.47154500000761,7189,5460,5440
C,"C, D",True,10.225070800006506,2410,789,768
C,C,True,17.529342399997404,3345,1619,1600
B,B,True,10.697194899999886,2703,915,896
C,D,True,4.027038099986385,1940,339,320
A,C,True,8.596496499987552,2333,787,768
A,A,True,11.156133899989072,2752,1107,1088
D,D,True,7.731863399996655,2174,595,576
D,C,True,6.642002199994749,2258,595,576
C,C,True,9.621420300012687,2591,786,768
C,C,True,12.943520100001479,2903,1171,1152
B,A,True,7.198487500005285,2259,659,640
B,A,True,22.710120800009463,3707,2067,2048
A,B,True,6.935992899991106,2457,659,640
B,A,True,23.911260199995013,3189,1619,1600
B,D,True,6.140786700008903,2297,467,448
C,D,True,9.51556569999957,2510,851,832
C,B,True,25.816787600007956,4140,2387,2368
B,A,True,44.95166910000262,6342,4627,4608
C,D,True,8.965409900003579,2492,787,768
B,C,True,17.93617549999908,3515,1683,1664
C,B,True,7.880581899997196,2458,659,640
C,C,True,12.90058709999721,2902,1235,1216
D,C,True,7.039157699997304,2173,595,576
D,D,True,24.381486700003734,3993,2259,2240
C,D,True,7.977488400007132,2441,595,576
A,C,True,11.228567700003623,2610,979,960
A,A,True,12.749997299993993,2994,1299,1280
D,D,True,9.311601300010807,2553,723,704
D,A,True,7.829587000000174,2084,531,512
A,D,True,23.69087710000167,3910,2195,2176
C,C,True,28.77478579999297,3696,2131,2112
C,D,True,11.880274000010104,2500,851,832
C,B,True,24.780114299996058,3790,2067,2048
D,B,True,17.672312099995906,3229,1555,1536
B,B,True,13.714266699986183,2872,1235,1216
C,C,True,12.181105900002876,3056,1235,1216
C,C,True,11.565420899991295,2734,1043,1024
B,B,True,18.092303700002958,3391,1427,1408
D,A,True,8.92882169999939,2575,595,576
A,D,True,7.691999000002397,1978,467,448
D,A,True,15.132479299994884,3013,1235,1216
D,D,True,16.170155800005887,3041,1491,1472
D,D,True,9.33518809999805,2366,723,704
B,C,True,12.92484289999993,3107,1171,1152
D,C,True,15.135437599994475,3153,1426,1408
B,C,True,7.12257320000208,2510,595,576
A,C,True,17.504246000011335,3192,1492,1472
A,A,True,12.165863500005798,2674,915,896
A,B,True,15.206624700003886,3069,1299,1280
C,C,True,18.07776780000131,3267,1619,1600
B,A,True,18.323402499998338,3304,1555,1536
B,A,True,7.874979999993229,2333,659,640
A,D,True,11.535313999993377,2602,915,896
D,D,True,23.248951300003682,3912,2131,2112
D,B,True,8.721523499989416,2438,595,576
A,C,True,16.789913600005093,3163,1555,1536
B,B,True,5.31474880001042,2075,467,448
B,A,True,11.730133999997634,2506,851,832
A,D,True,7.947200599999633,2449,659,640
B,B,True,24.298870500002522,3945,2259,2240
D,A,True,7.004462400000193,2214,467,448
C,C,True,10.125495700005558,3020,787,768
B,A,True,11.156173199997284,2740,979,960
B,C,True,11.770610000006855,2612,1043,1024
B,B,True,9.212163900010637,2460,916,896
C,B,True,11.25508180000179,2790,1043,1024
C,C,True,10.447846600000048,2457,785,768
D,C,True,15.142539799999213,2927,1235,1216
B,C,True,15.353923100003158,3064,1427,1408
C,C,True,13.720385799999349,2944,1235,1216
A,B,True,10.53534309999668,2518,979,960
B,C,True,6.343507199999294,2244,531,512
A,C,True,8.618937600011122,2731,851,832
A,B,True,10.109125700008008,3071,1043,1024
C,B,True,6.75453479999851,2482,659,640
A,D,True,8.83187629999884,2567,787,768
D,C,True,5.361572300011176,2465,595,576
C,C,True,11.723818700003903,3256,1363,1344
B,B,True,7.342085800002678,2361,723,704
D,D,True,7.062279799996759,2732,723,704
D,D,True,16.7971292000002,3458,1683,1664
B,D,True,13.856519599998137,3239,1363,1344
C,D,True,6.564176800005953,2243,595,576
C,D,True,16.390265900001395,3434,1810,1792
C,B,True,7.290428800013615,2459,723,704
B,D,True,7.763382200006163,2273,595,576
C,D,True,9.904714500007685,2666,979,960
D,B,True,13.855696300001,3131,1363,1344
C,D,True,9.709877700006473,2914,979,960
A,A,True,4.921886299998732,2097,339,320
B,D,True,8.69774079999479,3485,787,768
B,B,True,12.132980000009411,2679,979,960
B,D,True,7.927122799999779,2594,787,768
C,A,True,11.869249499999569,3020,1300,1280
A,A,True,6.447345900000073,2209,660,640
B,A,True,16.173227899998892,3473,1747,1728
C,C,True,12.589969199994812,3045,1364,1344
B,B,True,6.877479000002495,2230,531,512
D,C,True,14.209084599991911,3257,1236,1216
B,D,True,11.24515240000619,2753,979,960
A,A,True,10.056604600002174,2405,851,832
C,D,True,28.65087080000376,4540,2516,2496
B,B,True,13.972613399993861,2961,1235,1216
C,A,True,10.89668590000656,2652,979,960
C,C,True,10.746710399995209,2479,915,896
C,D,True,7.060817600009614,2160,531,512
A,A,True,33.68285329999344,4717,2900,2880
B,C,True,43.51358009999967,4867,3218,3200
B,C,True,8.88890689999971,2181,531,512
D,B,True,9.63826190000691,2341,531,512
D,B,True,7.3457867999968585,2083,467,448
D,C,True,11.379986899992218,2445,851,832
A,C,True,9.108946099993773,2437,723,704
D,A,True,14.340575099995476,3146,1299,1280
C,D,True,8.291733299993211,2219,595,576
B,D,True,9.710464900010265,2993,851,832
D,D,True,12.281788099993719,3135,1043,1024
D,D,True,9.401193099998636,2530,723,704
C,B,True,8.279036300009466,2260,659,640
D,A,True,18.619956299997284,3274,1554,1536
D,B,True,13.136300300000585,2685,1043,1024
B,C,True,10.439942600001814,2788,915,896
C,B,True,16.4224516999966,3157,1171,1152
C,A,True,18.587891199989826,2956,1363,1344
C,B,True,12.767164899996715,2610,915,896
A,C,True,9.727575600001728,2520,723,704
D,D,True,9.644029300005059,2558,723,704
D,A,True,8.190598500004853,2419,659,640
B,D,True,5.675029100006213,1834,339,320
