answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,C,True,14.214525499992305,2272,428,543
A,D,True,10.854956499999389,2320,344,431
D,D,True,18.524596499992185,2663,816,835
C,A,True,7.999114699996426,2281,358,367
A,B,True,8.542220000002999,2086,318,335
D,D,True,16.538822599992272,2463,664,780
B,B,True,3.5854564999899594,2079,318,319
C,D,True,8.77155339998717,2805,1027,1052
A,C,True,3.4382042000070214,2251,414,494
B,C,True,10.540397799995844,2227,406,440
D,A,True,6.968381099999533,2695,825,857
D,B,True,16.21056169999065,2274,504,572
A,C,True,12.817326599993976,11757,304,350
B,B,True,16.044729000001098,2467,575,553
D,A,True,50.2311178999953,3670,1741,2015
B,C,True,10.26006359999883,2283,451,498
D,B,True,13.416994400002295,2271,391,479
A,D,True,8.695640900012222,2238,315,346
C,B,True,4.365640199990594,1945,1,0
B,B,True,20.98281240000506,2648,736,941
D,C,True,17.328047500006505,2839,832,867
A,D,True,54.83502060000319,3779,2015,2291
D,C,True,13.83852659999684,2596,473,569
D,B,True,2.560380700000678,2106,1,0
C,B,True,2.2095374000055017,1978,1,0
D,C,True,18.723365400001057,2582,638,674
A,D,True,2.7305335999990348,2184,224,257
B,,True,87.35986900000717,6172,4000,4596
C,D,True,4.804320199997164,1872,1,0
B,B,True,9.987301299988758,2193,394,402
B,B,True,26.168464100002893,2821,817,886
B,B,True,2.4630337999988114,1949,1,0
D,C,True,11.428049299996928,2315,372,432
C,A,True,18.69895189999079,2696,710,783
A,C,True,5.3964126000064425,2366,314,406
B,C,True,5.5393718000123044,2410,301,432
C,A,True,8.987225699995179,2675,566,654
C,B,True,8.827407299992046,2435,533,613
C,D,True,3.969294499998796,2527,314,405
B,B,True,13.472718500008341,2610,554,627
D,D,True,15.108714800007874,3288,647,672
C,B,True,10.685094300002675,2247,399,424
B,C,True,3.0577654000080656,1843,1,0
C,A,True,6.417497900009039,2454,403,533
B,C,True,13.495429400005378,2653,484,643
C,B,True,11.597536400004174,2456,478,596
C,B,True,9.132678499998292,2468,481,621
C,A,True,7.162068100005854,2466,327,427
A,C,True,18.753239600002416,2412,652,791
C,A,True,4.670234799996251,2164,387,472
C,D,True,14.124366300005931,2325,513,625
A,C,True,14.36946750000061,2356,457,520
C,B,True,10.399535000004107,2537,567,725
B,B,True,21.112191899999743,2766,731,868
C,,True,95.2243024000054,5891,4000,4633
C,C,True,28.075639899994712,2944,911,945
B,B,True,8.622384799993597,2379,306,330
C,B,True,9.287821199992322,2177,308,411
A,A,True,14.543797900012578,2289,476,531
A,D,True,77.73508640000364,4704,2797,2887
D,B,True,21.440945399997872,2649,792,889
D,D,True,10.77096850000089,2275,336,369
C,A,True,10.567688499999349,2537,419,507
C,D,True,10.988749800002552,2484,443,576
B,D,True,2.4213900999893667,2152,290,392
B,D,True,11.974072400000296,2299,381,443
A,B,True,7.734522799990373,2443,342,421
B,C,True,11.260569500009296,2374,535,601
B,D,True,8.843499099995825,2531,388,516
C,D,True,66.96594399999594,4383,2450,3082
C,B,True,21.102728600002592,3074,1042,1316
B,D,True,31.824447299994063,3886,1869,1715
C,C,True,8.53402890000143,2459,464,526
B,B,True,9.67217000000528,2607,469,521
C,D,True,17.30874569999287,2663,549,536
C,B,True,36.247685499998624,3566,1615,1631
D,B,True,29.895152199998847,2728,878,856
D,B,True,28.629920700012008,3035,1005,1110
C,A,True,10.787646199998562,2577,409,541
A,D,True,13.405718900001375,2411,492,592
A,B,True,12.48552760000166,2483,506,551
D,B,True,17.609714299993357,2642,491,716
D,B,True,14.103318800000125,2286,463,555
A,B,True,17.116951200005133,2553,554,623
C,B,True,31.4435705000069,3013,1174,1366
C,D,True,9.50963669999328,2897,968,1199
C,B,True,10.746153699990828,2429,424,550
D,C,True,8.493277900008252,2265,295,399
B,B,True,9.134152900005574,2326,405,550
C,B,True,13.747094000005745,2771,649,757
C,D,True,22.463974800004507,2563,598,642
B,C,True,17.59577650000574,2891,575,724
D,C,True,53.709176000003936,3685,1354,1500
A,C,True,29.817613999999594,2534,765,860
D,D,True,2.613956600005622,2078,1,0
D,D,True,8.523055999990902,2117,313,330
D,B,True,15.604152100000647,2649,730,774
B,B,True,2.773525399999926,2262,1,0
D,B,True,32.95775810000487,3072,1042,1237
B,B,True,16.821174800003064,2738,510,596
A,D,True,13.719983500006492,2512,522,534
A,B,True,13.584845400007907,2492,441,570
A,D,True,5.652395400000387,2716,631,723
C,B,True,13.473432999991928,2531,598,666
B,D,True,26.356954799994128,2999,948,1067
B,B,True,12.649250100002973,2446,489,629
A,D,True,12.897975400002906,2491,514,543
D,A,True,17.847574200000963,2917,828,1079
D,B,True,10.242475299994112,2503,355,464
A,C,True,4.6449308000010205,2275,397,407
B,B,True,12.298524300000281,2220,341,417
B,A,True,47.920273499999894,3840,1895,2349
A,D,True,9.147087400007877,2328,237,237
B,B,True,7.386331699992297,1971,1,0
D,B,True,12.325341100004152,2425,361,489
C,C,True,5.201974199997494,3533,925,1077
B,D,True,19.87774189999618,2576,500,615
B,C,True,22.62530300000799,2703,864,875
B,C,True,35.42504650000774,3284,1480,1652
C,C,True,15.241155699986848,2422,390,495
C,D,True,20.588380000001052,2727,764,976
D,B,True,14.13595979999809,2562,561,765
B,A,True,7.669207799990545,2220,303,392
C,B,True,24.611579999997048,2875,873,965
A,B,True,30.366170799999963,2808,1014,1102
B,A,True,12.895741999993334,2508,492,605
A,B,True,12.688637500003097,2843,635,792
A,B,True,6.993172600006801,2577,206,234
C,B,True,8.72202030000335,2602,466,583
A,D,True,16.365177600004245,2810,714,938
D,C,True,10.23998319999373,2625,442,606
C,C,True,12.746212400001241,2602,389,480
B,A,True,3.5278180000022985,2296,377,455
D,B,True,16.66314040000725,3045,691,769
D,B,True,13.175257700000657,2756,658,733
B,B,True,11.771817500004545,2570,374,419
C,B,True,8.038871800003108,2215,277,369
C,B,True,41.44792019999295,3276,1379,1582
C,B,True,15.725471300000208,2557,510,674
B,B,True,10.645044200005941,2326,344,463
C,A,True,6.036625499997172,2281,284,391
D,B,True,13.51718909999181,2484,415,486
C,B,True,7.671589000005042,2577,297,399
A,A,True,3.105933200000436,2084,1,0
B,D,True,11.873477900007856,3550,359,505
B,B,True,20.94599300000118,2468,481,634
B,D,True,16.601089299991145,2675,582,710
C,D,True,17.30773690000933,2603,592,737
A,C,True,2.5926674000074854,2286,473,527
B,B,True,10.11907980000251,2399,362,432
C,B,True,38.44513150000421,3384,1422,1841
B,A,True,12.346446299998206,2335,334,436
D,B,True,6.07467399998859,3267,904,1146
B,C,True,23.126176899997517,3018,944,942
A,D,True,13.526023900005384,2207,398,506
C,B,True,10.645934899992426,3701,1339,1747
B,B,True,10.738031500004581,2530,504,596
C,A,True,10.133502299999236,2285,319,412
C,C,True,27.036439799994696,2523,699,770
C,C,True,14.736003900005016,2422,526,558
A,B,True,16.925051300000632,2692,551,664
B,D,True,2.213988999996218,2248,318,394
B,A,True,2.6721562999882735,1936,1,0
D,D,True,34.794118799996795,3296,1201,1439
D,B,True,27.94983320000756,2630,733,757
D,D,True,16.347732800000813,2500,634,681
A,C,True,6.066032199989422,2791,770,955
D,C,True,19.64993919999688,2719,571,656
C,C,True,14.950355399996624,2429,519,551
B,D,True,19.860513099993113,3371,850,1020
D,A,True,21.238366800011136,3328,848,993
D,D,True,11.697079199992004,2610,469,534
C,C,True,38.426170799997635,3250,1361,1426
D,B,True,8.387900500005344,2035,1,0
D,B,True,11.286701499993796,2261,336,433
B,D,True,13.375696600007359,2834,630,736
C,B,True,3.04304289999709,2321,1,0
C,D,True,2.0718633999931626,1870,1,0
C,B,True,11.645992899997509,2397,407,493
A,C,True,10.666395099993679,2700,597,709
D,C,True,35.52556259999983,3378,1240,1471
D,D,True,17.60693269998592,2418,343,434
B,B,True,9.942774099996313,2037,296,355
