answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,C,True,11.392845200010925,2732,1,1008
A,A,True,13.962619500001892,2909,1,1050
D,D,True,9.722502400007215,2529,1,805
C,A,True,13.596011300003738,2984,1,1179
A,A,True,14.799014200005331,2829,1,1171
D,D,True,8.01041560000158,2444,1,752
B,D,True,5.855334399995627,2189,1,533
C,D,True,36.96099910000339,5566,1,3902
A,C,True,8.111366900004214,2300,1,575
B,B,True,9.569640600006096,2603,1,896
D,D,True,8.599236399997608,2489,1,742
D,D,True,7.990535699995235,2512,1,857
A,C,True,17.603158999991138,11770,1,1273
B,B,True,10.88464840000961,2790,1,1029
D,D,True,10.940533000000869,2759,1,955
B,B,True,9.34067540000251,2682,1,968
D,D,True,12.23879049999232,2960,1,1199
A,A,True,15.123574299999746,3177,1,1372
C,A,True,16.381462299992563,3387,1,1580
B,B,True,10.54120919998968,2846,1,1052
D,D,True,9.516686899994966,2748,1,880
A,C,True,9.69146339999861,2626,1,981
D,D,True,9.67996989999665,2908,1,926
D,A,True,15.857453400007216,3468,1,1514
C,C,True,23.632259200006956,4070,1,2235
D,B,True,12.461309899998014,2920,1,1104
A,C,True,37.83571679999295,5832,1,3997
B,C,True,18.110489400001825,3745,1,1717
C,C,True,16.823687500000233,3443,1,1695
B,D,True,13.13268130000506,2811,1,1126
B,B,True,11.920509199990192,3035,1,1163
B,C,True,11.587797400003183,2877,1,1059
D,D,True,12.896676899996237,3114,1,1291
C,A,True,10.111785900007817,2860,1,1005
A,A,True,14.312105299992254,3145,1,1239
B,A,True,16.740712900005747,3630,1,1658
C,C,True,12.02396459999727,3074,1,1108
C,C,True,16.34665040000982,3400,1,1617
C,C,True,11.403820799998357,3142,1,1072
B,A,True,16.07115380000323,3616,1,1690
D,D,True,13.267258099993342,3584,1,1128
C,C,True,10.39364690000366,2663,1,937
B,B,True,17.183133300000918,3331,1,1601
C,B,True,14.764482600003248,3356,1,1447
B,B,True,13.842980100002023,3335,1,1291
C,D,True,13.663664299994707,3087,1,1243
C,B,True,35.28988830000162,5244,1,3389
C,B,True,15.11005980000482,3495,1,1493
A,A,True,8.88703230000101,2441,1,794
C,C,True,10.198676499989233,2541,1,880
C,B,True,11.440667700007907,2712,1,1012
A,C,True,13.39228169999842,3165,1,1384
C,C,True,13.667884099995717,3111,1,1270
B,B,True,10.636438799992902,2862,1,968
C,C,True,9.628891999993357,2815,1,1046
C,A,True,12.767636599994148,3262,1,1362
B,B,True,12.521650599999703,3160,1,1237
C,C,True,13.933627999998862,3218,1,1475
A,A,True,8.373914600000717,2467,1,777
A,A,True,8.176778400011244,2517,1,729
D,D,True,8.980733500007773,2518,1,794
D,D,True,11.164520200007246,2901,1,1075
C,D,True,12.08373169999686,3287,1,1306
C,C,True,11.255499699997017,3025,1,1123
B,B,True,10.109198899997864,2749,1,1002
B,B,True,12.020987999989302,2886,1,1097
A,B,True,12.122773700000835,3152,1,1179
B,B,True,9.52751200000057,2571,1,856
B,B,True,15.992271199997049,3354,1,1357
C,C,True,12.171323400005349,2949,1,1138
C,C,True,15.599131599999964,3414,1,1511
B,B,True,16.077249100009794,3434,1,1557
C,B,True,11.572753700005705,2972,1,1112
B,A,True,32.71639420000429,4925,1,2924
C,C,True,11.810380299997632,3159,1,1202
C,C,True,12.198054099993897,3138,1,1316
D,D,True,10.343524399999296,2780,1,1055
D,D,True,10.763331099995412,3009,1,1114
C,D,True,11.777299900000799,3275,1,1248
A,D,True,10.19111429998884,2888,1,1088
A,B,True,10.63960059999954,2986,1,1133
D,D,True,12.225085899990518,3330,1,1324
D,A,True,11.979209299999638,2897,1,1196
A,D,True,13.039717199993902,3232,1,1360
C,C,True,8.372669000003953,2542,1,828
C,C,True,11.062776700011455,2884,1,1077
C,A,True,11.2999118000007,3139,1,1258
D,D,True,11.476404200002435,2997,1,1152
B,B,True,9.265236299994285,2720,1,932
C,C,True,9.21151349999127,2880,1,902
C,C,True,8.489749900007155,2637,1,793
B,B,True,20.582700099999784,4301,1,2163
D,A,True,15.284027899993816,3872,1,1694
A,A,True,9.726497899988317,2692,1,1036
D,A,True,15.841924199994537,3887,1,1934
D,C,True,15.404420399994706,3061,1,1372
D,D,True,14.840830800007097,3404,1,1602
B,D,True,14.020171500000288,3413,1,1292
D,C,True,19.82501400000183,3935,1,2047
B,B,True,12.577123099996243,3307,1,1201
A,A,True,17.66761679999763,3712,1,1854
A,A,True,12.318459399990388,3077,1,1164
A,B,True,13.752280400003656,3141,1,1192
C,D,True,11.46827869999106,2875,1,1068
B,B,True,12.173066699993797,3118,1,1203
B,A,True,11.098846799999592,2863,1,1018
A,D,True,24.846170999997412,4558,1,2702
D,A,True,13.26564780001354,3207,1,1253
D,D,True,12.556939100002637,3200,1,1200
A,A,True,13.592802099999972,3209,1,1457
B,C,True,12.2382501999964,2933,1,1191
B,C,True,10.54815360000066,2881,1,1064
A,A,True,12.657269799994538,3199,1,1231
B,B,True,14.29413760000898,3312,1,1470
D,D,True,10.649072800006252,3005,1,1095
C,C,True,13.221045900005265,3696,1,1222
B,B,True,11.072612199990544,3021,1,1086
B,C,True,12.329521199993906,3021,1,1308
B,A,True,8.602908899993054,2520,1,833
C,C,True,16.717074599990156,3375,1,1468
C,C,True,10.76037630000792,2954,1,1117
D,A,True,11.08377750001091,3060,1,1194
B,D,True,26.977344600003562,4670,1,2884
C,C,True,11.364264300005743,2951,1,1062
A,A,True,7.005001199999242,2345,1,667
B,B,True,12.02734829999099,3136,1,1260
A,A,True,13.609417199986638,3528,1,1465
A,A,True,16.384013700007927,4038,1,1825
C,C,True,12.696072699996876,3375,1,1378
A,A,True,11.768993799996679,3231,1,1276
D,D,True,14.234233299997868,3560,1,1531
C,C,True,18.384337399998913,3819,1,1746
B,B,True,7.655441499999142,2479,1,684
D,A,True,15.471497500009718,3908,1,1719
D,D,True,16.588443299988285,3525,1,1570
B,D,True,14.23635409999406,3571,1,1538
C,A,True,23.119132899999386,4336,1,2533
C,C,True,21.16095530000166,3906,1,2127
C,D,True,11.26221090000763,3045,1,1138
B,B,True,11.834128199989209,2903,1,1058
C,A,True,13.538721699995222,3185,1,1323
D,D,True,13.514666200004285,3283,1,1341
C,B,True,15.464077000011457,3562,1,1432
A,A,True,9.343294699996477,2890,1,961
B,B,True,13.31019699999888,4364,1,1314
B,A,True,14.33823829999892,3218,1,1361
B,C,True,16.21430700000201,3403,1,1433
C,C,True,21.763503999987734,3818,1,1939
A,A,True,8.767328800007817,2521,1,828
B,A,True,92.48179960000562,11696,1,9802
C,D,True,10.136917299998458,2786,1,948
B,B,True,12.201852199999848,2944,1,1082
D,C,True,27.79638590000104,4816,1,2606
B,B,True,13.258434199990006,3261,1,1322
A,A,True,12.19017289999465,2950,1,1251
C,A,True,19.553028000009363,4060,1,1857
B,C,True,21.045260999992024,3917,1,2025
C,C,True,13.49771999999939,3153,1,1322
C,C,True,10.09118300001137,2789,1,1084
C,D,True,14.289635900000576,3341,1,1564
A,A,True,23.347934699995676,4498,1,2502
B,D,True,30.341697700001532,5096,1,3287
B,A,True,11.579588200009312,2918,1,1110
D,D,True,11.062985199998366,3142,1,1167
D,A,True,12.78461889999744,3050,1,1280
D,B,True,10.271954999989248,2808,1,1063
A,A,True,12.690465000006952,3132,1,1251
D,D,True,12.577247699999134,3284,1,1277
C,C,True,10.139856800000416,2825,1,1044
B,D,True,15.97161719998985,4047,1,1689
D,D,True,15.431667999990168,3856,1,1556
D,D,True,11.05830910000077,3112,1,1124
C,A,True,11.467755699995905,2925,1,1165
D,D,True,9.346455299993977,2840,1,952
D,D,True,12.323748199996771,2942,1,1142
B,C,True,15.840122699999483,3522,1,1470
C,C,True,17.2247464999964,3872,1,1703
C,A,True,15.15685480000684,3113,1,1369
C,C,True,13.261727000004612,3061,1,1208
A,A,True,13.315006300006644,3240,1,1269
D,D,True,21.04879470000742,4135,1,2130
D,A,True,12.697927899993374,3129,1,1198
B,B,True,8.094103700001142,2443,1,811
