answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,1.5187123000068823,1733,2,0
A,C,True,0.5458325000072364,1868,2,0
D,B,True,1.027766100000008,1733,2,0
C,C,True,1.0699795000109589,1814,2,0
A,B,True,1.0370608000084758,1667,2,0
D,D,True,1.248855600002571,1701,2,0
B,C,True,1.008687599998666,1665,2,0
C,B,True,1.0036647000088124,1673,2,0
A,A,True,1.0001918999914778,1734,2,0
B,C,True,0.47040440001001116,1716,2,0
D,D,True,0.4967998000065563,1756,2,0
D,C,True,0.4775462000106927,1664,2,0
A,D,True,1.6725262999971164,10506,2,0
B,C,True,0.45665320000262,1770,2,0
D,A,True,0.5342963000002783,1813,2,0
B,D,True,0.45999449999362696,1723,2,0
D,C,True,0.4533901000104379,1770,2,0
A,C,True,1.0249003999924753,1814,2,0
C,A,True,0.47473839999292977,1816,2,0
B,A,True,0.5703267000062624,1803,2,0
D,D,True,0.9636600999947404,1877,2,0
A,B,True,0.5041108000004897,1654,2,0
D,D,True,0.8744261000101687,1991,2,0
D,D,True,0.5327794999902835,1963,2,0
C,D,True,0.5254083000036189,1844,2,0
D,D,True,0.7422781999921426,1825,2,0
A,D,True,0.5674972000124399,1844,2,0
B,D,True,0.8107828999927733,2037,2,0
C,D,True,0.46686939999926835,1757,2,0
B,D,True,0.5449166000034893,1694,2,0
B,B,True,0.5504587999894284,1881,2,0
B,D,True,0.5603728999994928,1827,2,0
D,C,True,0.6447778000001563,1832,2,0
C,D,True,0.7409468999976525,1864,2,0
A,A,True,0.7861396999942372,1915,2,0
B,B,True,0.5741073999961372,1981,2,0
C,D,True,0.6901818000042113,1975,2,0
C,D,True,0.6304728999966756,1792,2,0
C,A,True,0.6047380000090925,2079,2,0
B,C,True,0.5099028000113321,1935,2,0
D,D,True,0.5501296000002185,2465,2,0
C,B,True,0.5669215000089025,1735,2,0
B,C,True,0.8031793000118341,1739,2,0
C,B,True,1.0233631000010064,1918,2,0
B,D,True,0.6337576999940211,2053,2,0
C,C,True,0.49629409999761265,1853,2,0
C,D,True,0.5192105999885825,1864,2,0
C,D,True,0.7331587000080617,2011,2,0
A,C,True,0.4956679000024451,1656,2,0
C,B,True,0.569403900008183,1670,2,0
C,D,True,0.49558439999236725,1709,2,0
A,C,True,0.4899721999972826,1790,2,0
C,D,True,0.5108334999968065,1850,2,0
B,C,True,0.5242521000036504,1903,2,0
C,B,True,0.47340149999945424,1778,2,0
C,D,True,0.7000460999988718,1909,2,0
B,B,True,1.303260999993654,1932,2,0
C,B,True,0.5685916999937035,1752,2,0
A,D,True,0.4976498000032734,1699,2,0
A,B,True,0.509206600007019,1797,2,0
D,B,True,0.4986007999978028,1733,2,0
D,D,True,0.5926346000051126,1835,2,0
C,B,True,0.5074568999989424,1990,2,0
C,C,True,0.5893116000079317,1911,2,0
B,D,True,0.5275480999989668,1756,2,0
B,D,True,0.9963378999964334,1798,2,0
A,B,True,0.5140288999973563,1982,2,0
B,D,True,0.6056523000006564,1724,2,0
B,B,True,0.5177616000000853,2006,2,0
C,A,True,0.4876864999969257,1820,2,0
C,C,True,0.5329449999990175,1912,2,0
B,B,True,1.8917101999977604,1886,2,0
C,B,True,0.5032245000038529,1869,2,0
B,D,True,0.7590333999978611,2010,2,0
C,D,True,0.5577736999985063,1966,2,0
C,B,True,0.5730029000114882,1831,2,0
D,C,True,0.583446599994204,1734,2,0
D,C,True,0.5530011000082595,1904,2,0
C,A,True,0.6223116000037408,2036,2,0
A,D,True,0.5762298000045121,1809,2,0
A,D,True,0.8094025000027614,1862,2,0
D,B,True,0.6222326999995857,2015,2,0
D,B,True,0.5408662999980152,1710,2,0
A,D,True,0.5666478999919491,1881,2,0
C,D,True,0.5588618999900063,1723,2,0
C,A,True,0.5104820999986259,1816,2,0
C,C,True,0.517048200010322,1890,2,0
D,D,True,0.5874069999990752,1854,2,0
B,D,True,0.596203199995216,1797,2,0
C,C,True,0.6073766000044998,1987,2,0
C,D,True,0.7779606999974931,1853,2,0
B,C,True,0.600021200007177,2147,2,0
D,D,True,0.567049399993266,2187,2,0
A,C,True,0.5610706000006758,1665,2,0
D,D,True,0.544894699996803,1962,2,0
D,D,True,0.4970214000059059,1698,2,0
D,D,True,0.5099696999968728,1811,2,0
B,B,True,0.564827599999262,2130,2,0
D,A,True,0.5096234999946319,1897,2,0
B,B,True,0.5654338000022108,2115,2,0
A,C,True,0.5099906999967061,1867,2,0
A,B,True,0.5469923000055132,1922,2,0
A,D,True,0.5785076999891317,1958,2,0
C,D,True,0.5565705000044545,1816,2,0
B,D,True,0.551574500001152,1924,2,0
B,A,True,0.5756015999941155,1854,2,0
A,B,True,0.5377724999998463,1865,2,0
D,B,True,0.5577765999914845,1963,2,0
D,B,True,0.781841699994402,2009,2,0
A,A,True,0.5451578999927733,1761,2,0
B,C,True,0.5505755999911344,1751,2,0
B,A,True,0.7045718000008492,1826,2,0
A,D,True,0.5710343999962788,1977,2,0
B,D,True,0.5286032000003615,1851,2,0
D,C,True,0.5705294999934267,1919,2,0
C,A,True,0.6056766999972751,2483,2,0
B,B,True,0.8446546000050148,1944,2,0
B,C,True,0.5710943000012776,1722,2,0
B,D,True,0.5339840999949956,1696,2,0
C,C,True,0.6811797999980627,1916,2,0
C,C,True,0.7727153000014368,1846,2,0
D,B,True,0.8651991999940947,1875,2,0
B,D,True,0.5908086999988882,1795,2,0
C,D,True,1.2829388000100153,1898,2,0
A,C,True,0.7702106000069762,1687,2,0
B,D,True,0.5287115999963135,1885,2,0
A,B,True,0.5063345999951707,2072,2,0
A,B,True,0.5535444000124699,2222,2,0
C,C,True,0.5458921000099508,2006,2,0
A,C,True,0.5781477999989875,1964,2,0
D,B,True,0.5594484000030207,2038,2,0
C,C,True,0.5632038999901852,2082,2,0
B,B,True,0.600351100001717,1804,2,0
D,D,True,0.5450263999955496,2198,2,0
D,D,True,0.5679107000032673,1964,2,0
B,B,True,0.7123474999971222,2042,2,0
C,B,True,0.8509137000073679,1812,2,0
C,B,True,0.5168238000042038,1788,2,0
C,D,True,0.508959099999629,1916,2,0
B,C,True,0.9017031000112183,1854,2,0
C,D,True,0.649845699997968,1871,2,0
D,B,True,0.6308778999955393,1951,2,0
C,B,True,0.5408199000085006,2139,2,0
A,B,True,0.5247697000013432,1938,2,0
B,D,True,0.9824014999903738,3059,2,0
B,D,True,0.527492400011397,1866,2,0
B,D,True,0.5667123000021093,1979,2,0
C,B,True,0.5291126999945845,1888,2,0
A,C,True,1.3178348000074038,1702,2,0
B,A,True,0.5102106999984244,1903,2,0
C,D,True,0.5046820999996271,1847,2,0
B,B,True,0.47672599999350496,1871,2,0
D,A,True,0.5383001000009244,2219,2,0
B,C,True,0.5122051000071224,1948,2,0
A,D,True,0.4953876999934437,1708,2,0
C,C,True,0.5573094999999739,2212,2,0
B,D,True,0.474767099993187,1901,2,0
C,C,True,0.5239841000002343,1840,2,0
C,A,True,0.5149258999881567,1714,2,0
C,A,True,0.48802380000415724,1786,2,0
A,D,True,0.5064406000019517,2005,2,0
B,C,True,0.5291641000076197,1818,2,0
B,D,True,0.5130959999951301,1817,2,0
D,B,True,1.0014175999967847,1984,2,0
D,C,True,0.520345199998701,1779,2,0
D,B,True,0.5230276000074809,1754,2,0
A,D,True,0.49926419999974314,1890,2,0
D,D,True,0.5337954999995418,2016,2,0
C,D,True,0.5752133000059985,1790,2,0
B,B,True,0.5829732999991393,2367,2,0
D,D,True,1.406763899998623,2309,2,0
D,D,True,0.551813799989759,1997,2,0
C,D,True,1.1041165999922669,1769,2,0
D,D,True,1.2651723000017228,1897,2,0
D,C,True,0.5179424999951152,1809,2,0
B,D,True,0.5134852999908617,2061,2,0
C,C,True,0.5118447999993805,2178,2,0
C,D,True,0.5118721000035293,1753,2,0
C,D,True,0.5459190000110539,1862,2,0
A,B,True,0.7221241999941412,1980,2,0
D,D,True,0.5603278000053251,2014,2,0
D,A,True,0.6115143000060925,1940,2,0
B,B,True,0.4975873999937903,1641,2,0
