answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,A,True,76.36457069999597,4213,2634,2624
A,C,True,22.86327829999209,2793,1097,1088
D,D,True,53.92582620000758,4276,2698,2688
C,A,True,16.192448100002366,2563,906,896
A,B,True,45.43739700000151,3780,2262,2240
D,D,True,16.556657100009033,2518,970,960
B,D,True,28.15403669999796,2799,1291,1280
C,B,True,29.67587540000386,2555,1034,1024
A,C,True,12.773460000011255,1975,394,384
B,B,True,10.516302199990605,1888,330,320
D,D,True,28.551247900002636,2502,906,896
D,D,True,27.842940100003034,2607,1100,1088
A,D,True,47.65246369999659,11292,1866,1856
B,B,True,43.448099900007946,3282,1674,1664
D,B,True,64.31969540000136,4156,2506,2496
B,B,True,69.56042880000314,4776,3211,3200
D,C,True,97.00833339999372,5839,4234,4224
A,A,True,55.70014919999812,3837,2186,2176
C,D,True,51.17023880001216,4026,2377,2368
B,B,True,16.053790899997693,2472,842,832
D,D,True,13.964879499995732,2370,650,640
A,C,True,16.37912710000819,2025,523,512
D,D,True,31.1723309999943,3035,1226,1216
D,B,True,40.068811299992376,3587,1802,1792
C,D,True,22.642464200005634,2717,1035,1024
D,A,True,46.07725249999203,3651,1994,1984
A,D,True,24.363691599995946,2593,909,896
B,B,True,22.11391210000147,2824,970,960
C,C,True,71.88953800000309,4739,3146,3136
B,D,True,33.25970549999329,3024,1482,1472
B,B,True,70.0404325999989,3055,1354,1344
B,C,True,82.32256419998885,3594,1930,1920
D,D,True,23.907082799996715,2381,714,704
C,C,True,42.844656200002646,3177,1482,1472
A,C,True,48.4325450000033,3299,1547,1536
B,C,True,43.61532500000612,3729,1930,1920
C,C,True,35.96236380000482,3040,1226,1216
C,D,True,73.27857700000459,4202,2570,2560
C,D,True,55.09929299999203,3561,1674,1664
B,B,True,45.57289139999193,3242,1482,1472
D,D,True,34.74233710000408,3324,1098,1088
C,C,True,80.02132030000212,4728,3149,3136
B,D,True,32.3681854000024,2925,1353,1344
C,B,True,30.802910699989297,3026,1290,1280
B,D,True,41.16040739999153,3156,1290,1280
C,C,True,46.535794199997326,3169,1483,1472
C,D,True,60.87249380000867,4270,2570,2560
C,B,True,26.003991999998107,3096,1290,1280
A,D,True,36.144034299999475,3178,1675,1664
C,A,True,35.71533819999604,2875,1354,1344
C,D,True,27.498157099995296,2712,1162,1152
A,B,True,32.51444569999876,3240,1610,1600
