answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,C,True,35.977690900006564,3209,1610,1600
A,A,True,26.179604800010566,3006,1290,1280
D,C,True,24.40663169999607,2696,1098,1088
C,A,True,24.366170099994633,3031,1354,1344
A,B,True,52.40061350000906,3794,2256,2240
D,D,True,13.790247600001749,2282,714,704
B,D,True,13.689435800013598,2114,586,576
C,C,True,19.89303999999538,2511,970,960
A,C,True,18.07560840000224,2443,842,832
B,B,True,12.31571179999446,2101,523,512
D,D,True,15.497417499995208,2330,714,704
D,B,True,19.207864099997096,2434,907,896
A,B,True,23.169535700013512,10544,1098,1088
B,B,True,16.54931810000562,2470,842,832
D,D,True,30.46367029999965,3152,1482,1472
B,B,True,29.46042310001212,2939,1354,1344
D,A,True,59.14012960001128,4324,2699,2688
A,A,True,32.630272599999444,3857,2186,2176
C,C,True,26.743404099994223,2895,1226,1216
B,B,True,11.381079400001909,2428,778,768
D,D,True,16.310898499999894,2582,842,832
A,C,True,15.805403799997293,2109,587,576
D,D,True,32.802214399998775,3439,1610,1600
D,B,True,13.675593000007211,2839,1034,1024
C,D,True,38.847124499996426,3440,1738,1728
D,A,True,26.923630599994794,2839,1162,1152
A,D,True,34.8525335000013,3380,1676,1664
B,B,True,36.03437730000587,3548,1674,1664
C,D,True,50.3582660999964,4119,2506,2496
B,A,True,16.686550200000056,2404,842,832
B,B,True,34.968264099996304,3075,1354,1344
B,D,True,36.02259199999389,3422,1738,1728
D,D,True,10.108981500001391,2401,714,704
C,C,True,30.17483990000619,3005,1290,1280
A,A,True,38.40764640000998,3446,1674,1664
B,C,True,26.805953800008865,3238,1419,1408
C,C,True,15.616005199990468,2612,778,768
C,C,True,24.833638700001757,2814,1162,1152
C,C,True,37.41763309999078,3709,1802,1792
B,A,True,65.63403490000928,4862,3082,3072
D,D,True,23.02945489999547,3216,970,960
C,C,True,41.376548799991724,3273,1674,1664
B,B,True,33.746495100000175,2818,1226,1216
C,B,True,40.846558100005495,3878,2122,2112
B,C,True,33.081560200007516,4392,2506,2496
C,C,True,46.530768600001466,3445,1739,1728
C,D,True,72.4579847999994,4162,2442,2432
C,B,True,27.49500930000795,2988,1162,1152
A,B,True,14.622746499997447,2109,586,576
C,C,True,21.127928999994765,2381,840,832
C,D,True,13.734116699997685,2156,586,576
A,C,True,32.76294390000112,2876,1226,1216
C,C,True,30.535598400005256,2545,842,832
B,B,True,30.062926500002504,3488,1739,1728
C,C,True,13.74769329999981,2483,842,832
C,B,True,46.02523659999133,4316,2570,2560
B,B,True,21.265366599996923,2970,1162,1152
C,B,True,21.346832499999437,2655,1034,1024
A,C,True,45.302880899995216,4008,2442,2432
A,A,True,12.495901600006619,2251,586,576
D,D,True,15.464926999993622,2377,778,768
D,D,True,31.790534899992053,3293,1610,1600
C,D,True,17.785591100007878,2859,1034,1024
C,C,True,22.89376540000376,3042,1290,1280
B,D,True,27.054925899996306,3102,1482,1472
B,B,True,30.759731900005136,3590,1930,1920
A,B,True,15.099601800000528,2660,842,832
B,B,True,29.46994260000065,3136,1546,1536
B,B,True,29.622826300008455,3268,1418,1408
C,D,True,16.18764549998741,2649,970,960
C,B,True,26.822596799989697,2999,1226,1216
B,B,True,44.729374200003804,3857,2122,2112
C,D,True,23.896064599990495,3015,1290,1280
B,A,True,47.62541169999167,4038,2186,2176
C,B,True,22.825515499993344,3045,1226,1216
C,C,True,21.231050399990636,2785,1098,1088
D,D,True,60.755682500006515,3848,2250,2240
D,D,True,40.61045490000106,3492,1738,1728
C,D,True,36.86879900000349,3348,1482,1472
A,B,True,71.28088960000605,4477,2826,2816
A,A,True,27.6344342000084,2941,1226,1216
D,D,True,32.66159350000089,3397,1547,1536
D,A,True,26.138413599997875,2415,842,832
A,A,True,27.152080299987574,3025,1290,1280
C,D,True,18.064727599994512,2491,906,896
C,D,True,21.288918400008697,2895,1226,1216
C,D,True,41.39734259998659,3225,1482,1472
D,D,True,27.142275100006373,3176,1482,1472
B,B,True,21.44044260001101,2435,778,768
C,C,True,26.368375100006233,3003,1162,1152
C,C,True,24.560395400010748,3065,1354,1344
B,B,True,57.90484910001396,4170,2186,2176
D,D,True,49.20137850000174,4122,2122,2112
A,B,True,18.1319727999944,2629,1098,1088
D,A,True,75.44289540000318,5648,3850,3840
D,D,True,21.629703499987954,2540,970,960
D,C,True,24.574609599992982,3017,1354,1344
B,C,True,26.38870950001001,3374,1418,1408
D,C,True,25.940149300004123,3036,1289,1280
B,B,True,38.17081149999285,3481,1546,1536
A,B,True,23.553392700006953,2946,1226,1216
A,C,True,23.75174269999843,3005,1226,1216
A,B,True,20.066409799997928,2824,1034,1024
C,D,True,31.141255599999567,3598,1930,1920
B,B,True,31.43700039999385,3123,1354,1344
B,B,True,32.1886067000014,3560,1866,1856
A,D,True,21.223816099998658,3061,1354,1344
D,A,True,32.16239919999498,3667,1866,1856
D,B,True,33.98984910000581,3729,1866,1856
A,A,True,31.344369300000835,3302,1674,1664
B,B,True,26.98354869999457,3046,1418,1408
B,A,True,31.526560700003756,3349,1674,1664
A,D,True,39.726732700000866,3996,2186,2176
B,A,True,30.267648900000495,3444,1738,1728
D,C,True,28.064975200002664,3441,1674,1664
C,C,True,32.53612930000236,3351,1098,1088
B,C,True,21.71845200000098,3007,1226,1216
B,C,True,30.489693600000464,3136,1547,1536
B,B,True,25.556370399994194,2598,1034,1024
C,C,True,25.11314770000172,2865,1098,1088
C,C,True,64.05152230001113,3620,1928,1920
D,A,True,31.862095000004047,2810,1098,1088
B,B,True,64.56749220000347,5315,3658,3648
C,C,True,33.970989699999336,2827,1098,1088
A,B,True,48.84366640000371,2722,1163,1152
B,C,True,72.22918950000894,3407,1674,1664
A,A,True,57.7999906999903,3896,1996,1984
A,B,True,34.45239950000541,3850,1802,1792
C,D,True,50.34316519999993,3517,1674,1664
A,A,True,36.25420540000778,3218,1418,1408
D,D,True,56.784828300005756,3756,1866,1856
C,C,True,31.716152200009674,2819,906,896
B,B,True,12.92011310000089,2116,458,448
D,D,True,23.003841199999442,3127,1098,1088
D,B,True,16.90462179998576,2381,586,576
B,D,True,47.27664009999717,2994,1098,1088
C,A,True,53.54798489999666,4046,2378,2368
C,B,True,22.876485000000685,2742,1098,1088
C,B,True,30.638603400002467,3302,1546,1536
B,B,True,27.689345899998443,3244,1546,1536
C,C,True,22.72680260000925,2741,1034,1024
D,C,True,43.75000879999425,3590,1802,1792
C,B,True,22.628293700006907,2861,906,896
A,A,True,26.366323700000066,3004,1226,1216
B,B,True,20.667953600001056,3752,1034,1024
B,C,True,35.643788200002746,3138,1418,1408
B,B,True,68.69132450000325,5357,3530,3520
C,C,True,17.896186600002693,2966,1226,1216
A,A,True,14.294604700000491,2155,586,576
B,D,True,69.06662359999609,5660,3914,3904
C,A,True,21.269765899996855,2863,1162,1152
B,A,True,25.464990899999975,2945,1226,1216
D,C,True,44.98977770000056,4547,2506,2496
B,C,True,19.867754399994737,2892,1098,1088
A,A,True,31.04190209999797,2800,1226,1216
C,A,True,30.74994439999864,3655,1611,1600
B,B,True,20.016587600010098,2780,1034,1024
C,D,True,21.64006679999875,2919,1226,1216
C,C,True,21.48443079998833,3002,1418,1408
C,D,True,14.94041819999984,2363,714,704
A,A,True,75.71133689999988,5560,3723,3712
B,A,True,110.56914819999656,6543,4874,4864
B,C,True,27.890911299997242,2704,1034,1024
D,D,True,32.567173000003095,2992,1162,1152
D,A,True,25.787215699994704,2798,1162,1152
D,D,True,18.16690650000237,2712,1098,1088
A,A,True,27.389616799991927,2896,1162,1152
D,D,True,25.206777300001704,3029,1162,1152
C,D,True,34.194738300007884,3126,1482,1472
B,B,True,31.214768399993773,4028,1866,1856
D,D,True,16.882608300002175,2954,842,832
D,D,True,13.820231899997452,2605,778,768
C,B,True,27.042266500007827,3039,1418,1408
D,D,True,12.97045039999648,2326,586,576
D,B,True,39.72647359999246,3208,1546,1536
B,C,True,29.390021400002297,3055,1162,1152
C,A,True,35.51166100001137,4000,1994,1984
C,A,True,32.74008529999992,3351,1738,1728
C,C,True,39.36706619999313,4029,2314,2304
A,D,True,20.58863250000286,3107,1290,1280
D,D,True,18.46453549999569,3145,1290,1280
D,B,True,16.32307220000075,2750,970,960
B,B,True,9.651718699999037,1973,458,448
