answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,C,True,15.481123199999274,2321,722,712
A,A,True,8.474894200000563,1983,267,257
D,D,True,4.130456099999719,1734,136,126
C,A,True,6.425778199998604,1860,183,173
A,D,True,6.785383099999308,1794,256,246
D,D,True,3.7727493999991566,1760,192,182
B,D,True,5.138876799999707,1727,199,189
C,D,True,9.51967059999879,2036,495,485
A,C,True,3.307105899999442,1706,105,95
B,B,True,2.123856500002148,1646,68,58
D,D,True,2.8999533999995037,1705,89,79
D,D,True,5.156581399998686,1742,215,205
A,C,True,22.923146900000575,10691,1245,1235
B,B,True,8.053520599998592,1951,323,313
D,D,True,4.877159300001949,1839,169,159
B,C,True,6.832506800001283,1916,331,321
D,C,True,8.337541600001714,2066,441,431
A,A,True,8.100683699998626,2071,400,390
C,C,True,8.635254500000883,2034,365,355
B,B,True,6.213328699999693,1869,219,209
D,D,True,5.460187799999403,1962,222,212
A,C,True,2.7938667999987956,1660,138,128
D,D,True,4.287177599999268,1979,150,140
D,B,True,7.4485789999998815,2055,250,240
C,D,True,3.0318609999994806,1815,113,103
D,B,True,3.625524700000824,1801,124,114
A,D,True,10.395805800002563,2268,564,554
B,C,True,8.069969399999536,2221,347,337
C,C,True,10.955211699998472,2189,576,566
B,B,True,4.811551200000395,1853,291,281
B,B,True,5.747428799997579,1921,200,190
B,C,True,12.938771400000405,2414,730,720
D,D,True,3.037571899996692,1758,71,61
C,C,True,7.598516300000483,2099,384,374
A,A,True,3.3014705999994476,1909,137,127
B,D,True,14.79392899999948,2559,740,730
C,C,True,3.505377400000725,1970,136,126
C,C,True,3.5959597999972175,1787,135,125
C,C,True,5.390808500000276,2114,207,197
B,B,True,4.324641100000008,1964,184,174
D,D,True,3.03300020000097,2357,111,101
C,C,True,7.140879999999015,1979,380,370
B,B,True,12.343290599998,2124,532,522
C,B,True,4.109800100002758,1957,201,191
B,B,True,7.116972399999213,2213,327,317
C,D,True,7.014733099997102,2087,381,371
C,B,True,12.987672700000985,2452,732,722
C,B,True,6.467684300001565,2071,245,235
A,B,True,5.307643200001621,1775,252,242
C,A,True,4.040876099999878,1751,210,200
C,D,True,2.402567299999646,1701,131,121
A,C,True,5.2505786000001535,1916,266,256
C,C,True,4.174302400002489,1831,128,118
B,B,True,4.400324500002171,1932,183,173
C,D,True,7.54644399999961,2022,381,371
C,C,True,4.568173700001353,1903,157,147
B,B,True,5.0690211000001,2001,193,183
C,B,True,4.980748800000583,1804,183,173
A,D,True,3.400459899999987,1706,140,130
A,A,True,4.67060660000061,1868,203,193
D,D,True,3.172708000001876,1748,149,139
D,D,True,4.693390099997487,1879,196,186
C,D,True,3.378643899999588,1958,133,123
C,A,True,3.8931340999988606,1885,133,123
B,C,True,4.8243263000003935,1823,203,193
B,B,True,3.673557099999016,1831,171,161
A,B,True,3.502515099997254,1961,143,133
B,B,True,5.575403999999253,1808,218,208
B,B,True,4.469268200002261,2048,198,188
C,D,True,8.445386399998824,2237,558,548
C,C,True,4.027598900000157,1927,154,144
B,B,True,6.37123050000082,2049,314,304
C,D,True,5.464747499998339,1943,218,208
B,B,True,9.563980200000515,2362,510,500
C,C,True,7.875322100000631,2137,318,308
C,C,True,4.088109699998313,1861,174,164
D,B,True,4.575765000001411,1818,220,210
D,D,True,3.272880000000441,1854,100,90
C,D,True,2.7523992999995244,1938,72,62
A,D,True,4.341392300000734,1904,253,243
A,A,True,7.375344799998857,2079,364,353
D,C,True,7.72387240000171,2231,381,371
D,A,True,3.783451100000093,1728,155,145
A,D,True,4.796854100000928,1966,231,221
C,C,True,4.115389499998855,1792,207,197
C,B,True,4.269869099996868,1872,203,193
C,D,True,4.00336459999744,1904,161,151
D,D,True,4.569932600003085,1866,172,162
B,B,True,4.316885699998238,1849,192,182
C,C,True,3.097042199999123,1978,137,127
C,C,True,4.508788099999947,1823,112,102
B,B,True,3.143262699999468,2097,113,103
D,D,True,6.172019100002217,2283,283,273
A,A,True,2.663200799997867,1628,97,87
D,B,True,11.249585000001389,2499,701,691
D,D,True,2.8478594000007433,1652,82,72
D,D,True,4.059832500002813,1858,195,185
B,D,True,2.558978199998819,2023,67,57
D,D,True,4.283178699999553,1956,209,199
B,B,True,2.620501299999887,2006,71,61
A,B,True,11.745749699999578,2378,658,648
A,A,True,4.6715493999981845,1970,191,181
A,B,True,4.425587000001542,1976,186,176
C,D,True,5.565045200000895,2006,338,328
B,B,True,7.16330569999991,2104,335,325
B,B,True,3.7844283999984327,1828,134,124
A,D,True,7.270580700002029,2107,400,390
D,D,True,10.241112600000633,2368,567,557
D,B,True,3.518194799999037,1981,118,108
A,A,True,2.619573700001638,1728,100,90
B,A,True,6.068822999997792,1980,352,342
B,C,True,4.1021011999982875,1847,172,162
A,C,True,7.916482199998427,2261,451,441
B,C,True,5.817694599998504,2050,344,334
D,C,True,4.970957699999417,1939,172,162
C,C,True,7.226878199999192,2640,387,377
B,C,True,4.2932354000004125,1998,217,207
B,C,True,4.776012799997261,1829,240,230
B,B,True,3.0904283999989275,1699,135,125
C,C,True,4.775568599998223,2028,261,251
C,C,True,3.9235781999996107,1798,106,96
D,A,True,4.788015900001483,1916,204,194
B,D,True,7.253625800000009,2037,380,370
C,C,True,3.226668899998913,1861,132,122
A,A,True,7.852891200000158,2039,480,470
B,C,True,8.31879349999872,2139,406,396
A,A,True,8.257510999999795,2351,451,441
A,B,True,3.6639611999999033,2207,159,149
C,C,True,4.740864899998996,2047,204,194
A,C,True,3.2774887999985367,1947,147,137
D,D,True,6.694840600001044,2168,278,268
C,C,True,5.211936899999273,2146,233,223
B,B,True,2.7510722000006353,1717,59,49
D,D,True,3.7420378000024357,2165,136,126
D,B,True,4.155876000000717,2007,212,202
B,D,True,1.4898300999993808,1929,33,23
