answers,resps,success
D,"Ninkwetegereza ekibuuzo:

Omwegyesa agyenda kutandika omutwe ogurikukwata aha **mugasho gw'ebicweka by'obwire oburikugarukamu** aha bintu ebiriho n'obusingye.

Ninkwetegyereza buri ky'okugarukamu:

A. Enki ekiita oba kyabaire nikirengwa omumaiso gw'akasheeshe? - Eki kirikukwata aha kugarukamu kw'emisana n'ekiro (obwire)

B. Ahabwaki ebiro birikutyoora omu bwire bw'obutiti? - Eki kirikukwata aha kugarukamu kw'ebiro/amasheshe (obwire)

C. Ahabantu ahabuurizi ki nibakuratira embeera ezi bamanyire omu bwiire? - Eki kirikukwata aha mbeera z'omu bwire (obwire)

D. Ahabwaki orikureeba abantu abarikwingana barara omu kasheeshe? - Eki tikyikurataho obwire oburikugarukamu, kirikukwata aha mbeera y'abantu

Ekibuuzo ekirikusingaho kwikiriza omutwe ogurikukwata aha **mugasho gw'ebicweka by'obwire oburikugarukamu** aha bintu ebiriho n'obusingye nikyo:

**B**",True
A,"Nkwetegereza ekibuuzo:

Omwegyesa akateekateeka ekigyendererwa: ""Kworeka ekirikukira kubaho aha miti y'ebibala omu bwire bw'ebiro.""

Turikwetaaga kumanya kikugu ki ekirikukira kuhikira kwongyera kumanya obwengye bw'abanaishomero aha miti y'ebibala n'ebiro.

Nkareeba ebigaruzo:

A. Kushushanya omuti gwabo - Eki nikireeta obumanyisi bw'omubiri ahariho, kyonka tikireeta obumanyisi bw'ebiro by'omwaka.

B. Kureeba ebishushani by'emiti etari emwe - Eki nikireeta okwegyeta emiti, kyonka tikireeta obumanyisi bw'enkyukakyuka z'ebiro.

C. Ebishushani by'emiti y'ebibala eby'ebiro by'omwaka - Eki nikireeta obumanyisi bw'enkyukakyuka z'emiti omu biro by'omwaka ebitari bimwe.

D. Kukwatanisa omuti n'ekijuma - Eki nikireeta obumanyisi bw'okukwatanisa, kyonka tikireeta obumanyisi bw'enkyukakyuka z'ebiro.

Ekigyendererwa kirikugamba aha ""ekirikukira kubaho aha miti y'ebibala omu bwire bw'ebiro"" - eki nikireeta kumanya enkyukakyuka z'emiti omu biro ebitari bimwe.

Eky'okugarukamu C nikireeta obumanyisi bw'emiti y'ebibala omu biro by'omwaka ebitari bimwe.

**C**",True
D,"Nkwetegereza ekibuuzo:

Omwegyesa ari kwegyesa aha mutwe gw'omutima omu kiraasi ey'abana. Abeeshuri abamwe baine enshobyo (misconceptions/misunderstandings) aha mutwe ogwo. Ekibuuzo nikigamba: Niki ekirikwohereza enshobyo aha mutima?

Nkureeba ebigaruzo:

A. Omutima gukomera kurabira omu mizano - Eki ni ky'enshobyo (misconception) - omutima tigukomerera omu mizano.

B. Omutima gw'omuntu guringana n'enkumu ye - Eki ni ky'enshobyo - omutima tiguringa enkumu.

C. Omutima nigwija kureetera eshagama kutwara omwaka omu mubiri - Eki ni ky'enshobyo - omutima tigureeta eshagama.

D. Omutima nigwo gukora eshagazi erikugenda omu mubiri gwona - Eki ni kya mazima (this is TRUE) - omutima nikwo kukora eshagazi omu mubiri.

Ekibuuzo nikigamba ekirikwohereza ENSHOBYO (misconception), noobu D ni kya mazima, tigwa enshobyo.

Omu bigaruzo A, B, na C - byona ni by'enshobyo, ariko B (omutima guringana n'enkumu) ni enshobyo erikumanyikana munonga omu bana.

**B**",True
C,"Nkwetegereza ekibuuzo:

Omwegyesa akoresa obwega bw'abaana aha bishushani n'amabara g'ebimera by'omutaano omu lugya. Abaana:
1. Bakusanya amakooko g'ebimera
2. Bagyerengyereza ebishushani n'amabara
3. Bashubamu ekibuuzo: ""Kiki ekirikubaaho twabiteeka omu maizi?""
4. Bateeka amakooko omu maizi

Ekibuuzo nikigamba: Obureezi ki bw'okuteekateeka obw'obwomeezi omwegyesa arikukoresa n'ekibuuzo eki arikubuza abaana omu bwire bw'omurimo ogu?

Omwegyesa arikubuza abaana ""Kiki ekirikubaaho twabiteeka omu maizi?"" mbere y'okubiteeka omu maizi. Eki nikyo kubaasa abaana kuteekateeka/kugereranya ekirikubaaho - nikyo **okutebeekanisa ebiragiro** (making predictions/hypotheses).

**C**",True
A,"Nkurata empandiika eno:

Omwegyesa naashukamu amaizi, amafuta, na giriseriini omu cuupa. Yaahugura ecuupa, amafuta na giriseriini birikwambuka (biija omu iguru), amaizi gaashigara ahansi.

Eki kirikworeka **okushaanuuka** kw'ebintu - obwo ebintu ebirikushanuuka bityo biija omu iguru, n'ebi birikushanuuka bwingi bishigara ahansi omu maizi.

Eky'okugarukamu:

**B**",True
D,"Ninkuteekateeka ekibuuzo eki:

Omwegyesa ariyo nashoborra abaana enkyukakyuka eziraba omu mbeera y'amaizi. Ni engyenderwaho ki aha ezirikubaasa kworeka eky'okurugaanira hamwe (condensation)?

Okurugaanira hamwe (condensation) ni engyendero y'omwika okuhinduka omu maizi (liquid) kuraba omu kuhoza.

Ninkwetegereza buri ky'okugarukamu:

A. Okugwa kw'omuzinga gw'omushana omu maizi g'omugyera - Eki tikiri okurugaanira hamwe

B. Okuhindura omunyinya gukahinduka omwika kuraba omu maani g'eizooba - Eki ni okuhinguka (evaporation), tikiri okurugaanira hamwe

C. Okutahoza amaizi g'enyanja n'okugihindura omu barafu - Eki ni okuganda (freezing), tikiri okurugaanira hamwe

D. Okutohaaza amabaare agarikworekwa omwoyo gw'ekyanga ky'amaizi g'omuriro - Eki kirikworeka omwika (omu mwoyo) okuhinduka omu mabaare (amaizi) kuraba omu kuhoza - eki ni okurugaanira hamwe

**D**",True
B,"Ekibuuzo kiri kukwata aha muhinduko gw'omumbeera y'ekintu erikuhinduka kuruga omu gasi omukaka.

Omu by'omumbeera y'ebintu:
- **Gasi** → **Mukaka** = Okuhinduka omuyonga (condensation)
- **Mukaka** → **Gasi** = Okuhinduka omwika (evaporation)
- **Mukaka** → **Kikaro** = Okuhungaanisa (freezing)
- **Kikaro** → **Mukaka** = Okuhinduka kuruga omu kikaro (melting)

Ekibuuzo kigamba ""kuruga omu gasi omukaka"" - obu ni omuhinduko kuruga omu gasi okugenda omu mukaka.

Eky'okugarukamu ni:

**A**",True
C,"Ekibuuzo kiri kukwata aha bintu ebi omuhendiki w'omwanya ashemereire kushoboorora abaana ebiri omu biteera obwire oburikwenda kukyuka.

Ninkwetegyereza ebibuuzo by'obwire obukira kukyuka:

- **Obwire** ni kimwe aha bintu ebikuru ebirikukyuka buri kiro (omusana, enkuba, omuyaga)
- **Omuyaga** ni kimwe aha bintu ebirikukyuka omu bwire
- **Enkuba** ni kimwe aha bintu ebirikukyuka omu bwire

Eky'okugarukamu **D** kiri n'ebintu byona ebirikukyuka buri kiro omu biteera obwire: obwire, omuyaga, hamu n'enkuba.

Ebiindi:
- A: Omuheeru n'ebiro by'omwaka tibikyuka buri kiro
- B: Ebiro by'omwaka tibikyuka buri kiro
- C: Emburu n'oburimbo tibikyuka buri kiro

**D**",True
A,"Ninkuteekateeka ekibuuzo eki:

Omwegyesa n'abana barikwegyesa ebikwaata aha nyanja omu mutwe gw'ebintu ebiriho n'obusingye bwabyo. Omwana abuuza ahabw'enki omuyaga guriyo omu nyanja.

Ensonga enkuru erikureeta omuyaga omu nyanja ni:

**C. Enshuranisho omu bwokukama bw'obushuushu omu bwengyerero**

Omuyaga gurikuruga omu nshuranisho z'obushuushu hagati y'emwanya (omwanya gw'omu nsi n'ogw'omu maizi). Omwanya ogurikukama gushinduka gukwata omu iguru, n'ogw'omuheho gushinduka gwijamu, ekyo nikireeta omuyaga.

**C**",True
B,"Nkutegeeza ekibuuzo:

Omwegyesa areeta vidiyo erikwoleka okutengaana kw'omutwe gw'ensi. Okutengaana oku kureetera ebicweka by'aha muhemisfera y'obukiizi n'oburaaya kutamurikwa omusana omu muringo oguringanire obwire obu ensi erikugyenda negyenda okurikurunga izooba.

Ekibuuzo: Ni kintu ki ky'ensi omwegyesa orikugeza kworekyera?

Eky'okugarukamu:

Okutengaana kw'omutwe gw'ensi (axis tilt) n'okugyenda kw'ensi okurikurunga izooba ni byo bireetera **ebiseera by'omwaka** (seasons). Okutengaana oku kureetera ebicweka by'ensi kutamurikwa omusana omu buryo obutari bumwe omu biseera by'omwaka ebitari bimwe - omu biseera bimwe ebicweka bitamurikwa omusana mungi (ekiseera ky'ekyanda), omu bindi bitamurikwa omusana muke (ekiseera ky'omushana).

**B**",True
