answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,3.7519087999971816,2377,1.0,628
A,A,True,9.928219300010824,3604,1.0,1720
D,D,True,3.023388799992972,2178,1.0,429
C,A,True,305.1999858999916,64740,1.0,62910
A,D,True,9.910832399997162,3236,,1554
D,D,True,3.3767873000033433,2190,,474
B,A,True,8.420232999997097,2982,1.0,1301
C,B,True,15.113575900002616,3974,1.0,2285
A,C,True,4.241057699997327,2435,1.0,685
B,B,True,4.983464999997523,2511,1.0,779
D,D,True,4.110595199992531,2385,1.0,613
D,D,True,2.940577100001974,2120,1.0,440
A,C,True,8.808979800000088,11796,1.0,1274
B,B,True,4.653872499999125,2505,1.0,719
D,D,True,4.534257400009665,2513,1.0,684
B,B,True,3.838661999994656,2295,,557
D,C,True,11.191971699998248,3550,1.0,1764
A,A,True,3.921574200008763,2402,1.0,572
C,A,True,5.060534400006873,2589,1.0,757
B,B,True,4.94211780000478,2592,1.0,773
D,D,True,4.212225800001761,2598,1.0,705
A,C,True,4.113525200009462,2271,1.0,601
D,D,True,3.5871535999904154,2550,1.0,543
D,B,True,4.862773200002266,2697,1.0,718
C,D,True,3.8491242000018246,2434,1.0,574
D,B,True,4.522995899998932,2545,1.0,704
A,C,True,8.22698420000961,2312,1.0,452
B,B,True,3.5053257000108715,2509,1.0,456
C,C,True,7.791783900000155,2975,1.0,1202
B,A,True,52.42530160000024,10587,1.0,8877
B,B,True,3.9047196000028634,2495,1.0,598
B,C,True,7.391469199996209,2898,1.0,1055
D,D,True,3.9759122999967076,2458,1.0,610
C,C,True,4.464013200005866,2495,1.0,615
A,A,True,7.757772099997965,3108,1.0,1177
B,A,True,8.102060399993206,3336,1.0,1339
C,C,True,5.776637100003427,2979,1.0,988
C,C,True,20.984940900001675,5280,,3473
C,C,True,4.508314999999129,2738,1.0,643
B,A,True,5.047477100000833,2812,1.0,861
D,D,True,5.06492089999665,3201,1.0,720
C,C,True,43.55597289999423,9176,,7426
B,A,True,19.864357999991626,4940,1.0,3185
C,B,True,8.574218900001142,3480,1.0,1546
B,B,True,3.6901383999938844,2593,1.0,524
C,C,True,6.778954000008525,2881,1.0,1012
C,C,True,42.23129009999684,8694,1.0,6814
C,B,True,4.397696300002281,2710,1.0,683
A,A,True,8.453159500000766,3033,1.0,1361
C,C,True,3.5549838000006275,2216,1.0,530
C,C,True,4.064030900000944,2366,1.0,641
A,C,True,9.693347899999935,3413,1.0,1607
C,C,True,4.849954599994817,2663,1.0,797
B,B,True,3.3127834999904735,2381,1.0,462
C,C,True,2.8988796999910846,2188,1.0,394
C,A,True,9.084398599996348,3325,1.0,1400
B,B,True,3.573729399999138,2474,1.0,526
C,C,True,10.472469800006365,3407,1.0,1639
A,C,True,7.830494200010435,2822,1.0,1107
A,A,True,7.126778999998351,2890,1.0,1077
D,D,True,6.04098079999676,2685,,937
D,D,True,4.454218600003514,2493,1.0,642
C,D,True,7.027581699992879,3037,1.0,1031
C,C,True,3.7172092999971937,2446,1.0,519
B,B,True,4.186954100005096,2411,,640
B,C,True,29.609150600008434,6351,1.0,4537
A,B,True,8.263227600007667,3321,1.0,1323
B,B,True,3.751545899998746,2323,1.0,583
B,A,True,17.71584070000972,4888,1.0,2866
C,C,True,4.126876199996332,2513,1.0,677
C,C,True,5.162575400012429,2715,1.0,787
B,B,True,4.352070599998115,2576,1.0,674
C,D,True,3.62041180000233,2451,1.0,566
B,C,True,19.852212700003292,5291,1.0,3265
C,C,True,5.191837600010331,2794,1.0,812
C,C,True,4.9642309000046225,2613,1.0,766
D,D,True,5.238912999993772,2517,1.0,767
D,D,True,2.858797200009576,2309,,390
C,D,True,5.736551399997552,3023,1.0,971
A,B,True,10.588646899996093,3552,1.0,1727
A,A,True,8.780357700001332,3378,1.0,1500
D,A,True,13.196366399992257,4222,1.0,2191
D,D,True,7.519337300007464,2853,1.0,1127
A,D,True,6.390182999995886,2904,1.0,1007
C,C,True,4.234041600007913,2380,1.0,641
C,C,True,5.251729300012812,2671,1.0,839
C,D,True,3.729360599987558,2476,1.0,570
D,D,True,4.934348800001317,2667,1.0,797
B,B,True,4.923443699997733,2530,1.0,717
C,C,True,4.505628400002024,2742,1.0,739
C,B,True,19.351358100000652,4853,1.0,2984
B,B,True,4.4709412999945926,2774,1.0,611
D,A,True,8.308995999992476,3502,1.0,1299
A,A,True,3.436750299995765,2153,1.0,472
D,A,True,6.558227599991369,3151,1.0,1173
D,D,True,10.025564999989001,3221,1.0,1507
D,D,True,9.32404440001119,3325,1.0,1498
B,B,True,11.728221900004428,3855,1.0,1709
D,D,True,3.2336552000051597,2351,,439
B,B,True,4.378954100000556,2712,1.0,581
A,D,True,8.687357199989492,3320,1.0,1437
A,C,True,4.98129159999371,2826,1.0,888
A,B,True,8.759373399996548,3350,1.0,1376
C,B,True,5.80797480000183,2756,1.0,924
B,B,True,5.006287600001087,2736,1.0,796
B,B,True,5.491909999997006,2722,,853
A,A,True,51.675883200005046,10519,1.0,8638
D,D,True,8.127262000009068,3302,1.0,1323
D,D,True,5.3185494000063045,2813,1.0,788
A,A,True,4.795111499988707,2506,1.0,729
B,B,True,7.425277500005905,2959,1.0,1192
B,C,True,13.962389600012102,4231,1.0,2389
A,D,True,10.514976299993577,3667,1.0,1674
B,D,True,5.729243800000404,2797,1.0,930
D,C,True,3.923775100003695,2484,1.0,549
C,C,True,3.919329199998174,3011,1.0,512
B,B,True,5.052939200002584,2776,1.0,816
B,C,True,3.8762408000038704,2307,1.0,569
B,C,True,8.292253299994627,3050,1.0,1338
C,C,True,4.451863199996296,2650,1.0,718
C,C,True,4.206305800005794,2531,1.0,669
D,A,True,11.494178100008867,3830,1.0,1939
B,B,True,10.997080100001767,3520,,1710
C,D,True,45.976691700008814,9707,,7794
A,A,True,3.365941299998667,2160,1.0,457
B,B,True,4.863830400005099,2590,,690
A,A,True,5.30538420000812,2981,1.0,893
A,A,True,13.116690399998333,4358,1.0,2120
C,C,True,49.95448360001319,10257,1.0,8235
A,A,True,24.34247649999452,5821,1.0,3841
D,B,True,19.257964799995534,5116,1.0,3062
C,C,True,4.223801999993157,2607,1.0,509
B,B,True,3.1138235999969766,2268,1.0,448
D,D,True,2.9796154999930877,2628,1.0,414
D,D,True,11.435075900008087,3860,1.0,1880
B,D,True,2.8981730000086827,2500,1.0,442
