answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,C,True,13.648978299999726,2667,1.0,918
A,A,True,32.7231283000001,4509,,2626
D,D,True,11.52145549999841,2585,1.0,836
C,C,True,34.60581649999949,4394,,2565
A,A,True,68.2343449,7356,1.0,5673
D,D,True,25.863280900000973,3547,1.0,1830
B,D,True,17.331063800000265,2846,1.0,1165
C,B,True,26.245932300000277,3787,1.0,2098
A,A,True,46.9162139,5562,1.0,3812
B,B,True,9.122163400003046,2387,1.0,655
D,D,True,13.12167120000231,2677,1.0,905
D,D,True,14.0402310999998,2905,1.0,1225
A,C,True,48.95183629999883,13875,1.0,3353
B,B,True,15.946780800000852,2934,1.0,1148
D,D,True,14.775915400001395,2837,,1009
B,B,True,11.657561799998803,2538,1.0,799
D,D,True,52.062674299999344,5612,1.0,3826
A,A,True,19.756202900000062,3357,1.0,1527
C,C,True,22.783741600000212,3472,1.0,1640
B,B,True,17.297610499997973,2972,1.0,1153
D,D,True,15.786724400000821,3127,1.0,1234
A,C,True,10.138166199998523,2418,,749
D,D,True,13.180686700001388,2993,1.0,986
D,B,True,17.826688599998306,3294,1.0,1315
C,C,True,24.376706999999442,3596,1.0,1736
D,D,True,39.011283699997875,4650,1.0,2809
A,A,True,35.93204130000231,4881,1.0,3021
B,C,True,25.404371900000115,3854,1.0,1801
C,C,True,20.305263099999138,3317,,1545
B,B,True,93.8422685000005,8659,,6950
B,B,True,17.61943379999866,3235,1.0,1338
B,C,True,13.38303100000121,2767,,925
D,D,True,15.127913200001785,3119,1.0,1271
C,C,True,13.017088300002797,2801,1.0,921
A,A,True,16.68637839999792,3059,1.0,1128
B,B,True,19.5923838000017,3575,,1579
C,C,True,11.911872000000585,2770,,780
C,C,True,16.17412509999849,3072,1.0,1264
C,C,True,24.83136519999971,4005,1.0,1910
B,B,True,16.77193299999999,3198,1.0,1247
D,D,True,12.738014999998995,3488,,1008
C,C,True,38.74062140000024,4912,,3162
B,B,True,15.92636230000062,2806,1.0,1051
C,C,True,52.11851639999804,5842,1.0,3908
B,B,True,26.627490200000466,3825,1.0,1756
C,C,True,26.221730199999,3879,1.0,2010
C,B,True,147.97630840000056,15109,1.0,13229
C,B,True,25.764974300000176,4148,1.0,2121
A,A,True,12.019861900000251,2515,1.0,843
C,C,True,9.687863999999536,2434,1.0,748
C,D,True,21.704496299997118,3411,1.0,1686
A,B,True,19.73783639999965,3324,,1519
C,C,True,13.207235600002605,3016,1.0,1150
B,B,True,44.83008150000023,5585,1.0,3666
C,C,True,12.316594600000826,2770,1.0,976
C,A,True,26.646730299999035,3904,1.0,1979
B,B,True,13.16675309999846,2992,1.0,1044
C,C,True,11.844815699998435,2709,1.0,941
A,A,True,10.790062899999612,2475,,761
A,A,True,11.944223200000124,2689,1.0,876
D,D,True,23.04729800000132,3577,1.0,1828
D,D,True,13.222326299997803,2864,,1014
C,D,True,17.109334999997373,3250,,1245
C,C,True,12.413080599999375,2986,1.0,1059
B,B,True,14.01908039999762,2784,1.0,1012
B,C,True,52.35456770000019,5470,1.0,3656
A,B,True,17.465638499998022,3147,1.0,1149
B,B,True,17.043802700001834,2956,1.0,1216
B,B,True,14.61656159999984,3019,1.0,997
C,C,True,17.349771900000633,3168,1.0,1332
C,C,True,17.770417100000486,3250,1.0,1322
B,B,True,18.626715800000966,3478,1.0,1576
C,C,True,41.985041199997795,5307,1.0,3422
B,D,True,33.87853069999983,4587,1.0,2561
C,C,True,16.772990800000116,3416,1.0,1434
C,C,True,13.669526500001666,2948,1.0,1101
D,D,True,12.611919800001488,2727,1.0,977
D,D,True,31.52320519999921,4344,1.0,2424
C,B,True,73.6812314000017,7808,1.0,5756
A,D,True,47.414774699998816,5635,1.0,3810
A,A,True,74.95339460000105,8037,1.0,6159
D,A,True,18.11366469999848,3492,1.0,1461
D,A,True,43.15896910000083,5154,1.0,3428
A,D,True,24.306134099999326,3811,,1915
C,C,True,13.660439300001599,2801,1.0,1062
C,C,True,13.208146599998145,2742,1.0,910
C,C,True,20.220146399999066,3582,1.0,1676
D,D,True,17.368245800000295,3416,1.0,1546
B,B,True,11.109567899999092,2728,1.0,915
C,C,True,9.86398260000351,2877,1.0,874
C,C,True,18.142397499999788,3239,1.0,1370
B,B,True,9.52275599999848,2714,1.0,551
D,D,True,28.556290399999853,4383,1.0,2180
A,A,True,32.51073299999916,4236,1.0,2555
D,A,True,19.399954800002888,3696,1.0,1718
D,C,True,26.71099729999696,3822,1.0,2108
D,D,True,19.53707680000298,3194,1.0,1367
B,B,True,10.20974650000062,2808,1.0,662
D,D,True,17.524082799998723,3398,1.0,1485
B,B,True,11.09354699999676,2824,1.0,693
A,B,True,20.397073299998738,3542,1.0,1659
A,C,True,55.44017779999922,6224,1.0,4286
A,A,True,13.091535899999144,2838,1.0,864
C,C,True,43.903566100001626,5162,,3331
B,D,True,33.53724630000215,5202,1.0,3262
B,C,True,55.293052799999714,5883,1.0,4013
A,A,True,16.40835049999805,3036,1.0,1155
D,A,True,21.50084269999934,3705,1.0,1726
D,D,True,25.820573399996647,3869,1.0,1844
A,A,True,23.522789199996623,3886,1.0,2109
B,B,True,18.890635499999917,3294,1.0,1527
B,C,True,24.829330799999298,3672,1.0,1830
A,A,True,23.110610399999132,3963,1.0,1970
B,B,True,30.554014900000766,4366,1.0,2499
D,C,True,12.646622699998261,2890,1.0,955
C,C,True,19.703674799999135,3950,1.0,1451
B,B,True,21.991715699998167,3707,1.0,1747
B,C,True,21.845798399997875,3417,1.0,1679
B,B,True,95.1325093000014,8725,1.0,7013
C,C,True,11.381306600000244,2807,1.0,875
C,B,True,13.132807599999069,2913,1.0,1051
D,A,True,33.6551681000019,4557,1.0,2666
B,B,True,13.54408599999806,2940,1.0,1129
C,C,True,22.79476810000051,3742,1.0,1828
A,A,True,10.958564900000056,2480,1.0,777
B,B,True,19.10649590000321,3429,1.0,1528
A,A,True,13.895473599997786,3209,1.0,1121
A,A,True,51.87721320000128,6446,1.0,4208
C,C,True,20.59648449999804,3788,,1767
A,A,True,19.138391899999988,3328,1.0,1348
D,B,True,77.21969559999707,8335,1.0,6281
C,C,True,14.195978199997626,3221,1.0,1123
B,B,True,13.334779999997409,2834,,1015
D,A,True,18.488405399999465,3494,1.0,1280
D,C,True,23.87347410000075,3744,1.0,1764
B,D,True,11.22297299999991,2970,1.0,912
C,D,True,75.60017229999721,7362,1.0,5534
C,C,True,17.03247210000336,3151,1.0,1347
C,D,True,23.214694499998586,3631,1.0,1699
B,B,True,17.200901399999566,3263,1.0,1393
C,C,True,15.98851580000337,3161,1.0,1274
D,D,True,13.749162900003284,3098,1.0,1131
C,C,True,41.18181349999941,5306,1.0,3151
A,A,True,12.055160600000818,2896,,943
B,B,True,13.75530439999784,4065,1.0,990
B,D,True,15.507115899999917,3124,1.0,1242
B,B,True,37.341264099999535,5108,1.0,3113
C,C,True,15.317686100002902,3048,1.0,1144
A,A,True,12.364915599999222,2634,1.0,916
B,B,True,15.767890999999508,3123,1.0,1204
C,D,True,13.370433200001571,2843,1.0,980
B,B,True,18.35363249999864,3270,,1384
D,D,True,18.415618000002723,3680,1.0,1445
B,B,True,15.044472599998699,3175,1.0,1211
A,A,True,14.017877999998746,2837,1.0,1113
C,C,True,17.91778489999706,3678,1.0,1450
B,D,True,38.2927837999996,4864,1.0,2947
C,C,True,17.32033799999772,3158,1.0,1302
C,D,True,17.203870800000004,3054,1.0,1324
C,D,True,20.684685000000172,3199,1.0,1397
A,A,True,20.27386269999988,3697,1.0,1676
B,C,True,71.66763859999992,7596,1.0,5762
B,B,True,10.876427399998647,2533,1.0,700
D,D,True,13.727251599997544,3086,1.0,1086
D,D,True,38.64302029999817,4857,1.0,3062
D,D,True,16.77884239999912,2864,1.0,1094
A,A,True,18.677240700002585,3359,1.0,1453
D,D,True,15.097481799999514,3074,1.0,1042
C,C,True,15.34124249999877,2877,1.0,1071
B,B,True,27.08010690000083,4172,1.0,1789
D,D,True,11.448918199999753,3137,1.0,812
D,D,True,15.111239200003183,3115,1.0,1102
C,A,True,29.113415499999974,4089,1.0,2304
D,D,True,16.548796899998706,3181,1.0,1268
D,B,True,17.028307900000073,3055,1.0,1230
B,D,True,19.364008499997,3581,1.0,1504
C,C,True,23.76765289999821,3777,1.0,1583
C,C,True,83.38137699999788,8553,1.0,6784
C,C,True,31.091098600001715,4199,1.0,2321
A,A,True,13.453630899999553,3217,1.0,1221
D,D,True,15.87547270000141,3349,1.0,1319
D,B,True,17.481516399999236,3263,1.0,1307
B,B,True,20.96374609999839,2488,1.0,831
