answers,resps,success
D,"Ekisubizo: B

Obusobozi: Eki kibuzo kyongera abanyeshuri okumanya n’okuwereza ebintu ebirimu obushushu obutandukanye mu mbeera z’omu buzibu bw’oyo mutwe, nga kitegeeza obushushu nga kirimu mukukora ku eby’obusingye n’obwire obukwata ku mitwe.",True
A,A,True
D,"Muri ebintu ebiri kukugarikiraho, ni kiki kihereza enshobyo z’omutima?",True
C,"D

Okubuuzo “Kiki ekirikubaaho twabiteeka omu maizi?” kusaba abaana okukozesa ebyamanyi byabwe ebyabiseera ebyayise (okotegeka engeri gye banonyaako ekisumuluzo) era bukubiriza okunyweza ebyo byamanyi mu kunoonyereza kwabwe. Kino kye kimu ku busobozi bwa Okugyeragyeranisa ebimanyiso.",True
A,B,True
D,"D

Obusobyo bwa condensation kwekuha omunyinya (amabaare) okuyuza amaizi; ekyo n’ekyo E kiraga mu ngeri gye ogunyweza amabaare (steamboiler) okuyuza amaizi.",True
B,Ekihinduka omumbeera ogu kiri okuhinduka omuyonga.,True
C,B,True
A,Enshuranisho omu bwokukama bw’obushuushu omu bwengyerero,True
B,Eizooba n’ekiro.,True
D,D. Omukago,True
D,"D. Okuhindura n’okukuumira amani

Okutegereza engeri obwolekyezi bw’obusaale mu nsingye z’eby’okurya gyohindukira n’okukuummibwa mu byokulya kye kiraga engeri y’oku­hindura n’okukuumira amani.",True
A,"Wansi w’okuyiga kwo kw’okusoma engeri ey’okusuubiza ebibuuzo by’obukadde n’okuyigiriza eby’obusomi:

1. Mu kibuuzo 1 (obw’enjawulo y’ebintu nga omubiri, obunene, n’amaanyi g’amaanyi), oluusi D kyaleeta envamu: ekifananyi ky’Omuhanda nga Soledad ayinza okutendereza “eziruma” kireeta abana okutegeera eby’enjawulo mu bukadde bw’eby’obutonde.

2. Mu kibuuzo 2 (okwekenneenya ebikozesebwa n’ensonga z’ebyo), choice C yayitamu bulungi: eby’okubuuliriza nga “ni bwengye ki obu orikukoresa kwetegyereza ngu epere ni nshumiire?” birimu enfu eya formative assessment, ebyongera okutendereza omutima okutunuulira embeera z’ebyuma.

3. Mu kibuuzo 3 (okutendereza obusobozi mu kucweka emicwe etalimu bulungi), choice B kyayamba, kubanga gye gisinzia okulagira abayizi okukola “classification rules” abazisa okukola eby’okutunuulira nga team ku miringo.

4. Mu kibuuzo eky’oluvannyuma ekyo eky’okuwandiikibwa, kiri mu bungi bw’amagambo era tekirungi mu kusaba okw’okusaba kw’essomero. Okozese ekigambo ekikyusibwa obutono:

   a) Tandika n’ekigendererwa eky’okusoma (ebyo abeyizi bakuusa ku).  
   b) Bigendereza mu mbeera ey’enjawulo ey’obusobozi (olw’ebirungo, obunene, obushushu, n’okusanyuka).  
   c) Laga obubuulizi obugenda kutenderezamu (“Bulungi oba butono” “Bulungi oba bubi”) era weereza omuntu yenna omwanya gw'okulaga ebirungo byabwe.

Olusuubira nga enyigiriza eno ya formative assessment erunga era eyongera okuwa abayizi endowooza eziyitirivu ku by’obusomi by’okusoma n’okutereera ebintu mu ngeri ya sensory.",True
B,"Obuturo bw’omubiri (T lymphocytes) oburikukwata aha antigen butandika kweyongyera, ekiri kikuru mu kurwanirira endwara.",True
D,"Ni murimo ki ogwongera okusobozesa abeeshuri okumanya ogw’okucweka kwa sitashi mu kamwa mu kusaliva (salivary amylase)?

A. Okukola ekigereso nga basaba abeeshuri okutereka ekisagazi ky’omuggo oba eby’okulya ebirimu sitashi mu kibeere (test tube) nga bafumbira wansi omusaliva ogwabwe, era okuva wansi okumanyisa nti sitashi yacwekiiddwa.  
B. Okulaba oba omusaliva guyamba mu kucweka amata mu kinyebwa ky’amafuta.  
C. Okukola ekigereso ku cwekyerra protein mu kinyebwa kya masaliva.  
D. Okutereka eddagala ly’envirye (DNA) mu masaliva n’okuwulira enjawulo mu mukwano gw’ebikolebwa.  

(Enkola A eyo eyongera okuyamba abeeshuri okumanya obuvunaanyizibwa bwa salivary amylase mu kucweka sitashi mu kamwa.)",True
B,C,True
D,B,True
A,"A. Obulungi – kyokka bwe tudyogera ku kutekateeka okukozesa ekigambo “bulijjo” oba “buli” mu luganda lw’eby’omu byalo (obutereevu).  

B. Omukwano.  

C. Eky’omugaso.  

D. Obwami.  

Eky’okukubiriza: B.  

Ekibuuzo eky’okukurukiriza (repeated‐measures) kyandibadde nkitegeka nga kigamba:  

“Okulaba enkyukakyuka mu bunene bw’ekicweka mu plasmolysis, tugenda okusindika ekicweka mu mazzi g’omunyu buli ssaawa bbiri; kyakulabikako mu bunene bwakyo, era tuddamu okutondawo omulundi ogw’okuwandiisa enkyukakyuka buli ssaawa?”  

Ndi mukwano nga nnyikiriza ekibuuzo ekirondeddwa waggulu.",True
C,"Omwegyesi arikwenda kushwijuma ekigyendererwa ky’okwegyesa ekirikukurataho: Kushoboorora ngu ebintu ebiriho bikozirwe omu butaffa bw’omubiri bumwe rundi obwingi kandi ngu obwo butaffa butebeekanisibwe omu bintu nk’ebitundu by’omubiri, endimi, n’enkora z’omubiri. Ni kirikurataho aha byorekano by’omwegi ebirikukwatana butunu n’ekigyendererwa ekirikwenda kushwijumwa?

Omukubo gwa D gusobola okugenda obulungi kunoonyereza olw’omurimo gwebwongo, kubanga gusaba abegyesa kukora ekuyomba okw’okuteeka wansi obuhangwa bw’ebintu n’ebintu byebyo, okureeta obubonero ku brewansi bw’ebintu hamwe n’omurimo gwabyo. Mukama guno omu classification abegyesa balina okukola okutondeka kantu ku kantu nga bagumizza ebiranga byebyombi n’emirimo gyabyo mu mbeera ey’okugenda omu ngeri erasa obuhangwa kubona n’okutegeera.",True
B,Eky’okugarukamu kyaffe kimeeza D: “Buzaho ebireeberezi ebyabaireho omu mwiko gw’ensi ahabw’okugyeza kw’ebipande by’omwiko gw’ensi.”,True
D,"D. 3-4-1-2

Obulondobikiro buyinza kutandikibwa n’okuyigirizibwa kwa mateeka g’akatomu (3), okusalawo n’okusaanira emirundi gya models (4), okusoma engeri atomu zezalongedde mu kitabo (1) ne kutendereza ebizibu (2).",True
A,AB,True
D,Ni enki aha bikorwa ebi Marcial ashemereire kutebeekanisa abegi be kuremesa enyikiriza zaabo ez'obuto?,True
D,"Omukozesa gwa B gala nga oguminkiriza buli mwana okukola ku nnyogovu ye bw’ennyogovu: buli omu ataddenyi obuwangwa obuli mu kefuufu, amayinja oba ebitongole eby’enjawulo, n’akutteko obusobozi bwe okukola ebipimo n’okunoonya ekyava mu kuddwaawo kw’ebintu. Kino kibaawo ng’abana bwe bereetera ekitundu ky’omu zisooka nga bwe bisinza mu musaayi, ate ne bereetera ebiragiro byabwe eby’obufunze okusobola okugenzesa obutonde bw’ebyavuddeko n’okukyusa ku mulembe ogw’ebyawandiiko bwe. Kino kyongera okumanya kwekutegereza, okukola ennyonyola ya bbugumu n’okwebulira ku by’obulungi n’ebikyamu n’okutegeera enjawulo y’ebintu mu nnyogovu.",True
C,"Omugyezibwa naayenda kukora omurimo gw'okubuuriza ogurikwebemberwa n'abeeshuri be, nukwo bategeere ngu obuhame oburikurugamu okukora ebintu nibwo bukuru omu kuzooka okumanya. Omugyezibwa yaaba naayenda kushuuruura oku ekyenderwa eki kyahikiiriziibwe, ni birikukurataho byona ebirikumworeka ebirikumwemerera kukikora butoosha?

Nibarikorera ebiragiro ebirikumanyisa ebyafunirwe omu mutendera gw'okukora ebishomeso omu kunoonyereza.",True
D,Ekibuuzo C.,True
A,D,True
B,B,True
C,C,True
B,D,True
B,"Rondookereza orutondeekye rw’ebirikurugaho omu mutumbi gw’omukazi mu bwire bw’okucwecera, eky’obusente kyeyongera n’ekikolebwa kwa progesterone.

Ekibuuzo kino kisinziira ku kwegayirira (recall) ekisaba omubegyesa okukiriza n’okurondako omutindo gwa hormonal changes mu sequence.",True
B,"C

Okuteekateeka omusingi gw’enyegyesereza (inquiry–based learning) ku kunoonyereza okwogera ku bintu ebiri kubaho using ebijanjaalo (enjaga, ebijala, ebikulizo), kusobozesa abanyeshuri okuzuula n’okutegereza embeera ez’obufaananyi mu kwega kwaabwe. Kino kibaamu okukakasa nti balina obushobozi bw’okukozesa ebyuma, okunoonya ebyawandiikibwa, n’okutegereza mu butereevu, era bikendeeza omusomo ogwahikiddwa ogw’obutonde.",True
D,"Eky’okugarukamu: D

Enyuguta y’eky’okugarukamu:
Abashutyankye bo barikwega ebireeto ebyashusha DNA nga molakuli eritwara amakuru g’obuntu n’obwengye. Friedrich Miescher yahura nuclein (DNA) mu cell, Robert Feulgen yakora eshituli eyakataanya DNA mu kabari ka cell, P. A. Levene yasomesa eby’omukakasi bya nucleotide mu DNA, Frederick Griffith yashushanya ekihingwa kya transformation, Oswald Avery yashimye DNA kuba transforming principle, era Alfred D. Hershey na Martha Chase bashimye okuba virus bikohereza DNA mu sella okwegatta omubazi. Ebyo byonna biraga ekyezo eky’obukuru eky’okuba DNA y’omukozi ogutwara amakuru g’obwenge bw’abazaire.

Nehemera enyuguta yange.",True
C,D. 2–3–1,True
A,D. Kwetegyereza ebireetera abeeshuri kukora enshobi z'ebiteekateeko ezaayorekire omu murimo ogw’okubanza,True
B,C,True
C,C,True
C,"Ekibuuzo C: Kurora omugisha gw’ekintu ekiri nk’enjuba (sphere) kurabira omuhanda ogwetegyereize nk’enjoka (U-shaped track), orore obureingwa bwaiguru obu kirikushikaaho omu bwire oburikugyenda.",True
C,"B

Mulimu guno gwegatta mu katanisa abafunzi okutangira n’okufuuka abasanyizo abaga obusinge mu kunoonyereza: balina okubuuza ebibuuzo era nga bayita mu mateeka g’okuteekateeka n’okukakasa ebiraga, era mu peer‐review balina obuvunanyizibwa okwongera ku busaayi. Guno mulamwa gutendereza ekkubo ery’obwesigwa n’obukuumi mu by’obusayansi, kubanga alina mbeera y’okwekaliriza omubiri bw’ebiraga mu kiseera ekintono, ate ngateekawo obusobozi bw’okubyaza obulungi engeziho.",True
B,"Ekibuuzo:
Omu mbeera y’iteeka rya Ohm, ekikorwa ki ekirikukurataho nikyo kirungi ahabw’ekigyendererwa eki?

A. Abashomesha nibahandiika egarafu y'amaani g'omuringo gw'omusingye kuruga omu busobozi bw'omuringo oguhikire, nibwo bareeba ngu obuzito buriho obutahinduka.  
B. Abashomesha nibahanga ekigarama kuruga omu meza erikurikira amaani g’omuriro ogurikwenda omu mutambi gw’amasanyu aha businge obutari bumwe, reero bagishoboorore.  
C. Abashomesha nibashoma obuzito bw’ebintu ebirikuhita omu bintu ebitarikumanywa; ahakyehengyerezi kyona, nibahabwa omuhendo gw’amaani g’omushana n’obwingi bw’omushana ebyapimwa omu muringo gw’okugezesa.  
D. Abashomesha nibahabwe ebipingamizi ebirikumaraana kandi bashoborore, omu kubiha omuringo gw’amaani g’omushana ogumwe ahari buri kimwe, yaaba oburinganire oburikugambwa omukozi nibwo buraikiriza.

Enyuguta y’okusubiza (akaparaafu kapaliramu):

Eky’okurungi kye B kubanga kulondoola amaani g’omuriro (V) eri buli current (I) ey’okusaba obusingye obutali bumwe, abafunyisa kushoora graph ya V ku I nga line entuufu okuva ku zero, ekiraga nti V/I kusinga kuba kusinga okutandikira obulungi obusinga mu byuma eby’obulagirizi, nga kiteeka kya Ohm kyeyogera nti voltage/current kireeta enkejjo enteekateeka.

Neeganyizza enyuguta eno yonyine.",True
D,"Yoreka omuringo omanyiso ogurikugambira aha ngyenderwaho y’okuzooka n’okukura kw’okugyenda nibakombeka obwengye, n’okukura kwabo nikuhuriirana n’embeera z’abantu n’eby’omutaano by’ebiro by’enyima.",True
