answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,1.1232585001271218,1349,1,
A,A,True,1.0239705999847502,1463,1,
D,D,True,1.0897293998859823,1376,1,
C,C,True,1.1120163998566568,1437,1,
A,A,True,1.10525989998132,1349,1,
D,B,True,1.0252186998259276,1344,1,
B,C,True,0.9938721999060363,1303,1,
C,D,True,1.2166178000625223,1364,1,
A,A,True,1.099325300194323,1381,1,
B,B,True,1.0587433001492172,1350,1,
D,D,True,1.036296300124377,1430,1,
D,B,True,1.1393713001161814,1336,1,
A,A,True,1.150526000186801,1462,1,
B,B,True,1.1175498000811785,1362,1,
D,D,True,1.054705400019884,1395,1,
B,B,True,1.0922722001560032,1348,1,
D,C,True,1.0719741999637336,1394,1,
A,A,True,1.0293338000774384,1449,1,
C,C,True,1.0255855000577867,1418,1,
B,B,True,1.1264100999105722,1456,1,
D,B,True,1.0955900000408292,1498,1,
A,A,True,0.9960799999535084,1307,1,
D,B,True,0.9898067000322044,1549,1,
D,D,True,1.1948487998452038,1606,1,
C,C,True,0.9762827001977712,1432,1,
D,D,True,1.026031400077045,1418,1,
A,A,True,1.0439201998524368,1469,1,
B,B,True,1.1487768001388758,1595,1,
C,B,True,1.1326403999701142,1370,1,
B,B,True,1.210248399991542,1338,1,
B,B,True,1.06776830018498,1462,1,
B,C,True,1.0409142000135034,1435,1,
D,D,True,1.1273165999446064,1466,1,
C,A,True,1.0362211000174284,1451,1,
A,A,True,1.1082407999783754,1517,1,
B,A,True,1.0807380999904126,1578,1,
C,C,True,1.0665845000185072,1532,1,
C,D,True,0.8262960999272764,1401,1,
C,C,True,1.1438543999101967,1620,1,
B,B,True,1.1524404000956565,1501,1,
D,D,True,1.2100628998596221,1959,1,
C,C,True,1.026700499933213,1385,1,
B,A,True,1.0697399999480695,1361,1,
C,A,True,1.1092541001271456,1494,1,
B,B,True,1.1092918999493122,1562,1,
C,A,True,1.0469508999958634,1442,1,
C,C,True,1.2041704000439495,1470,1,
C,B,True,1.106182999908924,1587,1,
A,D,True,1.0971043999306858,1295,1,
C,B,True,0.6205416000448167,1365,1,
C,D,True,0.4985972000285983,1337,1,
