answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,2.26516619999893,1679,1.0,330
A,A,True,12.486364199983655,3484,1.0,2021
D,D,True,2.2853611999889836,1671,1.0,295
C,C,True,2.217848000000231,1742,1.0,305
A,A,True,7.08229439999559,2402,1.0,1053
D,D,True,2.2573622999771032,1638,1.0,294
B,B,True,3.721039500000188,1872,1.0,569
C,D,True,304.4127655000193,64274,,62911
A,A,True,3.033683200017549,1793,,413
B,B,True,2.5072756000154186,1699,1.0,349
D,D,True,3.1135317999869585,1866,1.0,436
D,D,True,15.533075399987865,3829,,2494
A,A,True,3.8385124999913387,2055,1.0,593
B,B,True,3.15602699998999,1842,1.0,480
D,D,True,2.8727625000174157,1778,1.0,383
B,B,True,2.3252107000153046,1648,1.0,300
D,D,True,3.3132723000016995,1834,1.0,440
A,A,True,3.9578754999965895,1990,1.0,541
C,C,True,2.8405293000105303,1871,1.0,453
B,B,True,2.5304707000032067,1795,1.0,339
D,D,True,5.631770600011805,2405,1.0,907
A,A,True,11.317526700004237,3018,1.0,1711
D,D,True,11.002996399998665,3188,1.0,1639
D,D,True,6.165574500017101,2567,1.0,961
C,C,True,3.5807939999795053,1939,1.0,507
D,D,True,3.920285200001672,1977,1.0,559
A,A,True,7.673608599987347,2647,,1179
B,B,True,3.7773451000102796,2151,,557
C,C,True,9.481607499998063,2879,1.0,1509
B,B,True,2.866781599994283,1733,1.0,395
B,B,True,3.6280281000072137,2063,1.0,601
B,B,True,18.27826140000252,4335,1.0,2900
D,D,True,3.9688659999810625,2054,1.0,588
C,C,True,2.8366721000056714,1898,1.0,447
A,A,True,3.335902199993143,2037,1.0,520
B,C,True,42.50407500000438,8778,1.0,7200
C,C,True,3.413374499999918,2047,1.0,515
C,D,True,4.209629599994514,2037,1.0,636
C,C,True,4.402199300006032,2306,1.0,686
B,B,True,3.545737400010694,2035,1.0,534
D,D,True,5.373722999996971,2770,1.0,811
C,C,True,9.836694400000852,2873,1.0,1488
B,B,True,3.0295224000001326,1758,1.0,397
C,C,True,7.495151300012367,2795,1.0,1301
B,B,True,4.700760000006994,2222,1.0,660
C,C,True,3.1082733999937773,1860,1.0,418
C,C,True,2.2615902999823447,1768,1.0,298
C,B,True,17.51557829999365,4440,1.0,2853
A,A,True,5.140790899982676,2027,,733
C,C,True,3.0092678999935742,1752,,388
C,C,True,5.482283899997128,2172,1.0,835
A,A,True,6.136654999980237,2420,1.0,1036
C,C,True,3.0731626999913715,1847,1.0,395
B,B,True,3.9118190000008326,2127,1.0,615
C,C,True,2.7045656999980565,1843,1.0,409
C,C,True,15.995900000008987,3927,1.0,2404
B,B,True,6.429464399989229,2545,1.0,963
C,C,True,4.01665169998887,2001,1.0,603
A,A,True,2.7773438000003807,1681,1.0,356
A,A,True,11.747693300014362,3291,1.0,1856
D,D,True,2.5596137999964412,1725,1.0,367
D,D,True,9.628405700001167,2807,1.0,1387
C,C,True,10.003317199996673,2983,1.0,1583
C,C,True,3.6781071000150405,2053,1.0,516
B,B,True,3.1720486000122037,1823,1.0,435
B,B,True,9.099605499999598,2842,,1425
A,D,True,9.196707399998559,3009,1.0,1451
B,B,True,3.5788096000032965,1880,1.0,513
B,B,True,4.314866900007473,2313,1.0,694
C,C,True,5.6536409000109416,2415,,846
C,C,True,2.960496099985903,1920,1.0,358
B,B,True,273.4020369000209,64407,1.0,62910
C,C,True,7.210346300009405,2558,1.0,1080
B,B,True,5.259024099999806,2284,1.0,682
C,C,True,5.953457499999786,2477,1.0,924
C,C,True,5.778555900003994,2367,1.0,910
D,C,True,25.90109090000624,5452,1.0,4088
D,D,True,2.1162469999981113,1713,1.0,237
C,C,True,12.85208860001876,3665,1.0,2069
A,A,True,9.676642600010382,3123,,1702
A,A,True,7.2455967999994755,2605,1.0,1127
D,D,True,6.645095299987588,2597,1.0,1031
D,A,True,8.712488299992401,2636,1.0,1277
A,A,True,5.733607700007269,2421,1.0,919
C,C,True,3.0961679999891203,1851,1.0,451
C,C,True,4.486403100017924,2053,1.0,656
C,C,True,4.961235700000543,2279,1.0,770
D,D,True,3.0291191000142135,1915,1.0,452
B,B,True,2.594093599996995,1792,1.0,352
C,C,True,4.012106699985452,2191,1.0,606
C,C,True,3.044835000007879,1898,1.0,444
B,A,True,298.7495132999902,64617,,62911
D,D,True,5.539502100000391,2711,1.0,960
A,A,True,4.755952700012131,2071,1.0,714
D,A,True,4.281265800003894,2218,1.0,715
D,D,True,8.523055800003931,2696,,1366
D,D,True,4.249515199975576,2034,1.0,604
B,B,True,15.807861199980834,4010,1.0,2351
D,B,True,12.052870399988024,3463,1.0,1969
B,B,True,2.734367899975041,1777,1.0,374
A,A,True,22.59187600002042,5295,1.0,3798
A,A,True,3.2469006000028457,2001,1.0,488
A,A,True,4.31717490000301,2232,1.0,682
C,C,True,3.6575102000206243,1976,1.0,556
B,B,True,4.258264199976111,2118,1.0,639
B,C,True,9.83173859998351,2853,1.0,1440
A,A,True,3.4928532000049017,2060,1.0,561
D,D,True,295.83971090000705,64449,1.0,62910
D,D,True,4.1907741999893915,2213,1.0,612
A,A,True,3.9309343000059016,1964,1.0,569
B,B,True,4.109256700001424,2006,1.0,613
B,B,True,4.411473200016189,2061,1.0,633
A,A,True,4.428490899997996,2214,1.0,719
B,B,True,4.291676599998027,2069,1.0,614
D,C,True,11.027491900022142,3177,,1694
C,C,True,6.607832300011069,2552,1.0,990
B,B,True,4.939238799997838,2297,1.0,767
B,D,True,3.2900303000060376,2019,1.0,504
B,B,True,3.156558100017719,1790,1.0,447
C,C,True,4.196300900017377,2177,1.0,645
C,C,True,2.776265799999237,1759,1.0,364
D,A,True,3.6043286999920383,1969,1.0,538
B,B,True,3.41245329999947,1948,1.0,511
C,C,True,3.3249102999980096,2013,,494
A,A,True,5.864775900001405,2274,1.0,914
B,D,True,11.786016199999722,3325,1.0,1788
A,A,True,4.388096600014251,2318,1.0,714
A,A,True,6.3232891999941785,2782,1.0,1012
C,C,True,3.2197126999963075,1983,1.0,406
A,A,True,2.915067399997497,1953,1.0,412
D,D,True,7.452289200009545,2900,1.0,1259
C,C,True,4.457600099995034,2395,,733
B,B,True,2.715420599997742,1769,1.0,349
D,D,True,3.4276657000009436,2239,,470
D,D,True,9.885250599996652,3101,1.0,1603
B,D,True,4.2532523999980185,2277,1.0,697
C,B,True,10.564458099979674,3158,1.0,1762
C,C,True,3.839990000007674,1954,1.0,553
C,C,True,6.483375999989221,2617,1.0,1104
B,B,True,3.6745490999892354,2013,1.0,577
C,C,True,2.2424909000110347,1782,1.0,298
D,D,True,5.099642599991057,2371,,830
C,C,True,3.9176530999829993,2173,1.0,686
A,A,True,3.117958999995608,1982,,470
B,B,True,4.176552399992943,2194,1.0,632
B,B,True,2.7903749000106473,1881,1.0,398
B,B,True,15.3766349000216,4012,1.0,2457
C,C,True,5.248636700009229,2491,,923
A,A,True,2.5753018999821506,1699,1.0,366
B,B,True,22.488786400004756,5118,1.0,3612
C,D,True,4.790843100025086,2194,1.0,746
B,B,True,3.6994972999964375,2042,1.0,563
D,D,True,13.722655799996573,4042,1.0,2290
B,B,True,3.3362766000209376,1958,1.0,466
A,A,True,3.0563063000154216,1888,1.0,400
C,C,True,13.1998265000002,3787,1.0,1991
B,B,True,4.631882299989229,2197,1.0,710
C,C,True,4.606142999982694,2171,1.0,755
C,C,True,3.443714099994395,1843,1.0,480
C,C,True,9.563802900025621,2882,1.0,1490
A,A,True,5.2849126999790315,2436,1.0,889
B,B,True,3.803525199997239,1991,1.0,578
B,B,True,3.825748500006739,2017,1.0,600
D,D,True,4.373821399989538,2143,1.0,607
D,D,True,6.631126099993708,2432,1.0,1041
D,A,True,10.796567800018238,3137,1.0,1737
A,A,True,4.609472799987998,2099,1.0,656
D,D,True,3.0851586000062525,2034,1.0,419
C,C,True,3.5033043999865185,1948,1.0,510
B,B,True,10.17110199999297,3503,1.0,1675
D,D,True,11.95984649998718,3804,1.0,2016
D,D,True,4.168757400009781,2154,1.0,577
C,C,True,6.893199899990577,2424,1.0,1055
D,D,True,3.5337122999771964,2002,1.0,529
D,B,True,12.024442099995213,3391,,1951
B,B,True,3.167278599983547,2015,1.0,410
C,C,True,4.953219799994258,2406,1.0,650
C,A,True,84.15703850000864,16441,1.0,14979
C,A,True,9.066931800014572,2957,,1495
A,A,True,11.16398620000109,3318,1.0,1774
D,D,True,5.4473937999864575,2422,,837
D,B,True,286.71092290000524,64564,1.0,62913
B,B,True,3.468786999990698,1842,1.0,526
