answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,2.3433503000997007,1358,2,
A,D,True,0.5715719999279827,1472,2,
D,C,True,1.0846623999532312,1385,2,
C,C,True,0.6160999999847263,1446,2,
A,B,True,1.193746899953112,1358,2,
D,B,True,1.0974691999144852,1353,2,
B,C,True,1.108463800046593,1312,2,
C,D,True,1.1029691000003368,1373,2,
A,A,True,0.5225905999541283,1390,2,
B,B,True,0.5549782998859882,1359,2,
D,B,True,0.5364848000463098,1439,2,
D,B,True,1.0710130999796093,1345,2,
A,C,True,0.6099827999714762,1471,2,
B,D,True,1.1274413999635726,1371,2,
D,D,True,0.7490799999795854,1404,2,
B,C,True,0.6031713001430035,1357,2,
D,D,True,1.2310154000297189,1403,2,
A,D,True,0.5247422000393271,1458,2,
C,C,True,0.5715610999614,1427,2,
B,B,True,0.5438310999888927,1465,2,
D,B,True,0.5371566999237984,1507,2,
A,A,True,0.4986705998890102,1316,2,
D,A,True,0.6582130000460893,1558,2,
D,D,True,0.5492028000298887,1615,2,
C,C,True,0.5844922999385744,1441,2,
D,A,True,0.4998044001404196,1427,2,
A,D,True,0.621428299928084,1478,2,
B,B,True,0.7842329998966306,1604,2,
C,C,True,0.5156235999893397,1379,2,
B,C,True,0.5083490000106394,1347,2,
B,B,True,0.5542954998090863,1471,2,
B,C,True,0.5354407001286745,1444,2,
D,D,True,0.5296765000093728,1475,2,
C,A,True,0.5321761998347938,1460,2,
A,D,True,0.5148940000217408,1526,2,
B,C,True,0.5415374001022428,1587,2,
C,A,True,0.53853700007312,1541,2,
C,D,True,0.5404459999408573,1410,2,
C,C,True,0.528741099871695,1629,2,
B,B,True,0.5709398000035435,1510,2,
D,D,True,0.7144640998449177,1968,2,
C,D,True,0.5227208000142127,1394,2,
B,B,True,0.5083209997974336,1370,2,
C,A,True,0.5742426000069827,1503,2,
B,B,True,0.545289599802345,1571,2,
C,B,True,0.5367344000842422,1451,2,
C,D,True,0.5685944000724703,1479,2,
C,C,True,0.581127299927175,1596,2,
A,C,True,0.5887303999625146,1304,2,
C,B,True,0.5147255999036133,1374,2,
C,B,True,0.5012051998637617,1346,2,
A,C,True,0.5405768000055104,1393,2,
C,D,True,0.645065400050953,1461,2,
B,B,True,0.5525206001475453,1521,2,
C,B,True,0.5519344999920577,1443,2,
C,C,True,0.5295597999356687,1532,2,
B,C,True,0.5424973999615759,1591,2,
C,B,True,0.5352745000272989,1407,2,
A,A,True,0.5137548998463899,1334,2,
A,B,True,0.6134919000323862,1444,2,
D,B,True,0.5246979999355972,1367,2,
D,B,True,0.5474584999028593,1429,2,
C,B,True,0.5386755999643356,1409,2,
C,D,True,0.7803239000495523,1546,2,
B,B,True,0.49811009992845356,1397,2,
B,D,True,0.5488481000065804,1427,2,
A,D,True,0.8556306001264602,1567,2,
B,C,True,0.5780229000374675,1376,2,
B,D,True,0.5343867999035865,1628,2,
C,C,True,0.5626067998819053,1579,2,
C,D,True,0.5650294998195022,1571,2,
B,B,True,0.5362301000859588,1506,2,
C,D,True,0.6072635999880731,1487,2,
B,C,True,0.7389742000959814,1611,2,
C,B,True,0.6062682999763638,1562,2,
C,D,True,0.5116950999945402,1466,2,
D,B,True,0.6158820998389274,1373,2,
D,D,True,0.5476037000771612,1485,2,
C,C,True,0.5273433001711965,1605,2,
A,B,True,0.5511891001369804,1431,2,
A,C,True,0.5491710000205785,1487,2,
D,D,True,0.5615264000371099,1575,2,
D,C,True,0.5406675999984145,1368,2,
A,C,True,0.5075921001844108,1511,2,
C,B,True,0.5032783001661301,1409,2,
C,C,True,0.5049058001022786,1406,2,
C,B,True,0.5265440000221133,1518,2,
D,D,True,0.5210865000262856,1472,2,
B,B,True,0.5273618001956493,1449,2,
C,C,True,0.5351331999991089,1594,2,
C,B,True,0.5144415001850575,1463,2,
B,C,True,0.6173090001102537,1716,2,
D,D,True,0.542971600079909,1760,2,
A,B,True,0.5159432999789715,1366,2,
D,A,True,0.5448274000082165,1512,2,
D,D,True,0.5378500998485833,1340,2,
D,D,True,0.5612352997995913,1439,2,
B,B,True,0.5690017000306398,1668,2,
D,C,True,0.7598925000056624,1503,2,
B,C,True,0.5163143000099808,1412,2,
A,D,True,0.5392754999920726,1506,2,
A,B,True,0.5477764999959618,1522,2,
A,D,True,0.5417444000486284,1559,2,
C,B,True,0.49349469994194806,1429,2,
B,D,True,0.5418338000308722,1488,2,
B,C,True,0.5491714000236243,1422,2,
A,B,True,0.5202891998924315,1508,2,
D,D,True,0.5148557999636978,1548,2,
D,D,True,0.5607635001651943,1610,2,
A,C,True,0.535767899826169,1404,2,
B,C,True,0.5678984001278877,1402,2,
B,C,True,0.547432699939236,1437,2,
A,C,True,0.5723437000997365,1504,2,
B,D,True,0.5186770001892,1464,2,
D,D,True,0.5208809999749064,1493,2,
C,D,True,0.5470439000055194,1571,2,
B,B,True,0.5626831999979913,1539,2,
B,D,True,0.8835149998776615,1524,2,
B,D,True,0.5349484998732805,1352,2,
C,C,True,0.5782816000282764,1541,2,
C,C,True,0.5313579000066966,1404,2,
D,D,True,0.6924193999730051,1440,2,
B,B,True,0.4878829000517726,1446,2,
C,D,True,0.5694017999339849,1529,2,
A,B,True,0.5302309000398964,1369,2,
B,B,True,0.5714044999331236,1546,2,
A,A,True,0.5280418999027461,1613,2,
A,B,True,0.7892775000073016,1779,2,
C,C,True,0.5574499000795186,1586,2,
A,D,True,0.5360743999481201,1550,2,
D,B,True,0.6005704998970032,1650,2,
C,C,True,0.750535300001502,1672,2,
B,B,True,0.5323070001322776,1429,2,
D,A,True,0.5364027000032365,1779,2,
D,B,True,0.5289535999763757,1507,2,
B,D,True,0.919456500094384,1589,2,
C,C,True,0.4844703001435846,1405,2,
C,D,True,0.5211407002061605,1410,2,
C,C,True,0.5371002999600023,1522,2,
B,D,True,0.5276936001610011,1445,2,
C,C,True,0.5400269001256675,1493,2,
D,C,True,0.5425420999526978,1551,2,
C,D,True,0.94427639991045,1496,2,
A,C,True,0.6000387000385672,1522,2,
B,B,True,0.5640597001183778,1571,2,
B,D,True,0.5333432001061738,1492,2,
B,D,True,0.5871226000599563,1564,2,
C,D,True,0.5721501999069005,1578,2,
A,C,True,0.5052098000887781,1342,2,
B,D,True,0.5308811001013964,1515,2,
C,C,True,0.5458297000732273,1457,2,
B,B,True,0.5395971999969333,1488,2,
D,B,True,0.7409217001404613,1761,2,
B,C,True,0.5334938000887632,1501,2,
A,A,True,0.6297061000950634,1497,2,
C,A,True,0.5850598998367786,1805,2,
B,D,True,0.5249415999278426,1496,2,
C,A,True,0.5591345999855548,1425,2,
C,C,True,0.5293960000853986,1372,2,
C,D,True,0.5184909999370575,1401,2,
A,D,True,0.5310188999865204,1556,2,
B,D,True,0.5711358000990003,1422,2,
B,A,True,0.5791043997742236,1426,2,
D,B,True,0.8252658999990672,1545,2,
D,C,True,0.5294857998378575,1400,2,
D,C,True,0.5156173000577837,1409,2,
A,A,True,0.5130382999777794,1452,2,
D,D,True,0.5792032000608742,1624,2,
C,D,True,0.5205530000384897,1447,2,
B,D,True,0.5952643998898566,1837,2,
D,D,True,1.0719433000776917,1797,2,
D,D,True,0.6009064000099897,1586,2,
C,D,True,0.5443170999642462,1378,2,
D,B,True,0.5460959000047296,1482,2,
D,C,True,0.4880039000418037,1450,2,
B,C,True,0.5392227000556886,1614,2,
C,B,True,0.5426847001072019,1765,2,
C,B,True,0.5354343999642879,1471,2,
C,C,True,0.5540060999337584,1472,2,
A,D,True,0.49275009986013174,1553,2,
D,B,True,0.5389841999858618,1595,2,
D,D,True,0.5874675000086427,1660,2,
B,C,True,0.6534053001087159,1325,2,
