answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,7.025392999872565,2055,1,706
A,A,True,9.432154099922627,2291,1,828
D,D,True,6.348549700109288,1986,1,610
C,C,True,7.922140400158241,2121,1,684
A,A,True,9.767206799937412,2235,1,886
D,D,True,5.888631799956784,1938,1,594
B,B,True,6.653024199884385,1911,1,608
C,C,True,7.883720200043172,2258,1,894
A,A,True,8.498192599974573,2200,1,819
B,B,True,7.31468900013715,2099,1,749
D,D,True,7.481096200179309,1990,1,560
D,D,True,7.685039199888706,2058,1,722
A,A,True,10.976895899977535,2353,1,891
B,B,True,9.50853450014256,2264,1,902
D,D,True,11.619365900056437,2471,1,1076
B,B,True,8.052686000009999,2129,1,781
D,D,True,9.983154800022021,2331,1,937
A,A,True,11.053452300140634,2594,1,1145
C,C,True,10.22294310014695,2355,1,937
B,B,True,9.111944899894297,2170,1,714
D,D,True,10.425381199922413,2533,1,1035
A,A,True,8.270437899976969,2115,1,808
D,D,True,8.48485799995251,2315,1,766
D,D,True,22.839895199984312,4091,1,2485
C,C,True,10.481986500089988,2406,1,974
D,D,True,9.441853699972853,2347,1,929
A,A,True,11.536908300127834,2633,1,1164
B,B,True,11.910789200104773,2812,1,1217
C,A,True,14.649535099975765,2840,1,1470
B,B,True,7.653722399845719,2069,1,731
B,B,True,15.078982099890709,2965,1,1503
B,B,True,11.170950599946082,2566,1,1131
D,D,True,9.960170399863273,2445,1,979
C,C,True,10.649650999810547,2538,1,1087
A,A,True,10.335311600007117,2529,1,1012
B,B,True,18.31843169988133,3413,1,1835
C,C,True,11.286795999854803,2603,1,1071
C,D,True,12.90161220007576,2657,1,1256
C,C,True,11.817846500081941,2882,1,1262
B,B,True,17.441373500041664,3200,1,1699
D,D,True,9.436803600052372,2751,1,792
C,C,True,8.543540199985728,2182,1,797
B,B,True,8.706165600102395,2080,1,719
C,B,True,10.142342000035569,2585,1,1091
B,B,True,10.449575399979949,2641,1,1079
C,C,True,8.00678260019049,2135,1,693
C,C,True,6.584517700131983,2102,1,632
C,B,True,16.767415799899027,3367,1,1780
A,A,True,11.817367600044236,2401,1,1106
C,C,True,8.914287799969316,2187,1,822
C,B,True,9.846625700127333,2418,1,1081
A,A,True,9.477259800070897,2371,1,987
C,C,True,10.308101400034502,2466,1,1014
B,B,True,8.056768900016323,2458,1,946
C,C,True,8.135898400098085,2259,1,825
C,A,True,12.881483200006187,2687,1,1164
B,B,True,10.967645999975502,2802,1,1220
C,C,True,14.61444259993732,2908,1,1510
A,A,True,9.834416599944234,2327,1,1002
A,A,True,14.743653299985453,2914,1,1479
D,D,True,6.964516600128263,2117,1,759
D,D,True,9.065450499998406,2422,1,1002
C,B,True,11.026406100019813,2493,1,1093
C,C,True,7.373137700138614,2361,1,824
B,B,True,8.63685640017502,2247,1,859
B,B,True,18.953783300006762,3634,1,2216
A,A,True,11.776424300158396,2818,1,1260
B,B,True,7.987304999958724,2213,1,846
B,B,True,10.894776900066063,2785,1,1166
C,C,True,9.971342300064862,2680,1,1110
C,C,True,10.370000299997628,2705,1,1143
B,B,True,10.240533699980006,2576,1,1079
C,B,True,11.412849099840969,2705,1,1227
B,B,True,9.38479460007511,2504,1,902
C,C,True,9.158200399950147,2526,1,973
C,C,True,10.03507520002313,2480,1,1023
D,C,True,7.476941900094971,2152,1,788
D,D,True,9.158079399960116,2444,1,968
C,C,True,9.691405000165105,2638,1,1042
A,A,True,13.182946199784055,2959,1,1537
A,A,True,10.244568499969319,2604,1,1126
D,D,True,9.568164700176567,2637,1,1071
D,D,True,14.709077800158411,2794,1,1435
A,A,True,10.961394000099972,2535,1,1033
C,C,True,7.987317899940535,2278,1,878
