answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,4.807837100001052,1410,202,192
A,A,True,9.508545799879357,1764,458,448
D,D,True,11.058092500083148,1890,650,640
C,C,True,6.0358548001386225,1432,138,128
A,A,True,10.455739700002596,1666,458,448
D,C,True,41.759927900042385,3198,1995,1984
B,B,True,27.451358400052413,2842,1676,1664
C,C,True,7.3100028000772,1619,394,384
A,A,True,3.3692614999599755,1376,138,128
B,B,True,2.7610192999709398,1285,74,64
D,D,True,7.4438160001300275,1809,522,512
D,D,True,8.06191819999367,1593,394,384
A,A,True,8.08620320004411,1828,522,512
B,B,True,10.116196800023317,1750,522,512
D,D,True,8.614904599962756,1709,458,448
B,B,True,11.163837700150907,1738,522,512
D,D,True,6.141580999828875,1574,330,320
A,A,True,13.994901200057939,2145,842,832
C,C,True,6.236473700031638,1610,330,320
B,B,True,7.297437499975786,1638,330,320
D,D,True,5.833432800136507,1683,330,320
A,B,True,7.669445399893448,1508,330,320
D,D,True,13.87221119995229,2040,651,640
D,D,True,13.361995999934152,2154,714,704
C,C,True,6.104578800033778,1550,266,256
D,D,True,4.944413899909705,1536,266,256
A,A,True,15.01322069996968,2293,970,960
B,B,True,9.617132999934256,1892,458,448
C,A,True,15.939911399967968,2270,1034,1024
B,B,True,3.9773673000745475,1403,202,192
B,B,True,6.680179900024086,1714,394,384
B,C,True,10.506025100126863,1934,650,640
D,D,True,5.388103200122714,1648,330,320
C,A,True,6.404381399974227,1642,330,320
A,A,True,6.1240314999595284,1690,330,320
B,B,True,24.93349050008692,2901,1482,1472
C,C,True,5.958869899855927,1768,394,384
C,D,True,8.156448200112209,1719,458,448
C,C,True,6.988498900085688,1780,330,320
B,B,True,7.404524799901992,1809,458,448
D,D,True,6.4347957000136375,2209,458,448
C,C,True,21.233150099869817,2668,1418,1408
B,B,True,8.126065399963409,1740,522,512
C,B,True,5.519601600011811,1805,458,448
B,B,True,7.277900899993256,1677,266,256
C,C,True,3.7357435999438167,1438,138,128
C,C,True,5.904933599987999,1585,266,256
C,D,True,17.980116699822247,2320,906,896
A,D,True,7.470767500111833,1621,458,448
C,C,True,7.778805500129238,1618,394,384
C,B,True,6.261420999886468,1660,458,448
A,A,True,6.23152819997631,1713,458,448
C,C,True,5.711504600010812,1570,266,256
B,B,True,4.641985200112686,1615,266,256
C,C,True,5.554473199881613,1687,394,384
C,C,True,20.89349799999036,2717,1354,1344
B,B,True,9.43223339994438,2022,586,576
C,B,True,7.889631099998951,1824,586,576
A,A,True,5.531118399929255,1457,266,256
A,A,True,16.53915650001727,2264,970,960
D,D,True,4.661138500086963,1485,266,256
D,D,True,10.467567499959841,1790,522,512
C,B,True,6.9185725001152605,1590,330,320
C,C,True,6.454911999870092,1626,266,256
B,B,True,5.4107925000134856,1507,266,256
B,B,True,15.443963099969551,2178,906,896
A,D,True,8.610621699830517,1862,458,448
B,B,True,7.008748699910939,1620,394,384
B,B,True,6.299285100074485,1783,330,320
C,C,True,11.081356699811295,1977,586,576
C,C,True,7.504667100030929,1790,394,384
B,B,True,20.413628100184724,2713,1354,1344
C,C,True,11.821172599913552,2026,714,704
B,B,True,12.152642600005493,2220,778,768
C,C,True,8.465268000029027,1861,458,448
C,C,True,7.547894400078803,1763,458,448
D,D,True,16.347829399863258,2133,906,896
D,D,True,5.7438994001131505,1594,266,256
C,C,True,9.267169900005683,1885,458,448
A,A,True,14.340744199929759,2117,842,832
A,A,True,11.483056799974293,1903,586,576
D,D,True,10.004947000183165,1992,586,576
D,D,True,7.164776900084689,1617,394,384
A,A,True,12.657067799940705,1942,586,576
C,C,True,21.647424599854276,2810,1546,1536
C,C,True,5.644152300199494,1519,266,256
C,C,True,5.3981961000245064,1617,266,256
D,D,True,8.355176000157371,1764,458,448
B,B,True,6.537381700007245,1546,266,256
C,C,True,7.821598400129005,1883,458,448
C,C,True,6.857474299846217,1508,202,192
B,B,True,24.73608749988489,2755,1226,1216
D,D,True,16.188824800075963,2739,1162,1152
A,A,True,5.0366491000168025,1423,202,192
D,A,True,7.162391699850559,1752,394,384
D,D,True,3.680798599962145,1401,202,192
D,D,True,18.53043150017038,2383,1098,1088
B,B,True,19.06257369997911,2514,1034,1024
D,B,True,12.979295700090006,2301,970,960
B,B,True,5.105292599881068,1402,138,128
A,A,True,36.92195300012827,3661,2314,2304
A,A,True,13.046382199972868,2008,650,640
A,A,True,5.012814299901947,1582,202,192
C,C,True,7.317265999969095,1736,458,448
B,B,True,7.161917200079188,1656,330,320
B,A,True,6.810581000056118,1669,394,384
A,A,True,6.849249300081283,1677,330,320
D,D,True,15.874955500010401,2478,1098,1088
D,B,True,13.548829899867997,2155,714,704
A,A,True,6.410554499831051,1647,394,384
B,B,True,15.853527900064364,1722,458,448
B,B,True,12.603829699801281,1742,458,448
A,A,True,15.494785299990326,2326,970,960
B,B,True,8.047807399882004,1702,394,384
D,C,True,15.257530400063843,2236,906,896
C,C,True,11.768373399972916,1984,586,576
B,D,True,35.11432910012081,2986,1610,1600
B,B,True,5.137510100146756,1551,202,192
B,B,True,7.987854500068352,1665,458,448
C,C,True,13.921281900024042,2155,778,768
C,C,True,8.170221500098705,1641,394,384
D,A,True,7.388974000001326,1748,458,448
B,B,True,5.49329030001536,1555,266,256
C,C,True,6.85409149993211,1687,330,320
A,A,True,8.74808120005764,1676,458,448
B,B,True,15.197537000058219,2351,970,960
A,A,True,10.853733299998567,1945,522,512
A,A,True,25.594336499925703,2615,1034,1024
C,C,True,16.15088100009598,2194,778,768
A,A,True,7.916200200095773,1713,330,320
D,D,True,12.808640700066462,2117,650,640
C,C,True,9.842298900010064,2027,522,512
B,B,True,7.7111667999997735,1607,330,320
D,D,True,7.91343230009079,1923,330,320
D,B,True,6.695211499929428,1741,394,384
B,D,True,6.182294300058857,1895,458,448
C,B,True,48.220110499998555,4655,3401,3392
C,C,True,11.078666399931535,1836,586,576
C,C,True,11.03554409998469,1949,586,576
B,B,True,5.150517400121316,1427,138,128
C,C,True,7.005635800072923,1531,202,192
D,D,True,13.119704800192267,2230,842,832
C,C,True,8.699580899905413,1608,266,256
A,A,True,8.45979949994944,1698,330,320
B,B,True,6.991841400042176,1678,266,256
B,C,True,8.801775899948552,1653,330,320
B,B,True,13.637164099840447,1988,586,576
C,C,True,20.177610200131312,1851,458,448
A,A,True,7.421369400108233,1463,266,256
B,D,True,33.294409999856725,2960,1610,1600
C,D,True,11.981363999890164,1814,522,512
B,B,True,16.463231100002304,1714,394,384
D,B,True,20.412280000047758,2477,906,896
B,B,True,9.638011500006542,1611,266,256
A,A,True,6.091917600017041,1541,202,192
C,A,True,11.257638999959454,2322,714,704
B,B,True,16.212415300076827,2044,714,704
C,C,True,11.642565000103787,1805,522,512
C,C,True,9.512300600064918,1561,330,320
C,C,True,14.424651800189167,1966,712,704
A,A,True,11.610510299913585,2043,650,640
B,B,True,7.733361399965361,1664,394,384
B,B,True,17.96502470015548,2057,778,768
D,D,True,6.562764400150627,1716,330,320
D,B,True,9.002259599976242,1586,330,320
D,D,True,16.321897400077432,1713,458,448
A,A,True,9.992737000109628,1884,586,576
D,D,True,13.48393170000054,1906,458,448
C,C,True,11.469604599988088,1814,522,512
B,B,True,24.9007340001408,2794,1162,1152
D,D,True,14.498485499992967,2258,650,640
D,D,True,8.087872700067237,1883,458,448
C,C,True,10.816095600137487,1689,458,448
D,D,True,9.638695400208235,1591,266,256
D,B,True,14.203540900023654,1948,650,640
B,B,True,11.86902129999362,1761,330,320
C,C,True,8.819028900004923,1891,330,320
C,A,True,28.551726900041103,2263,970,960
